Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Eucalyptus buprestium,Eucalyptus,Longistylus,Diversiformae,,WA,0,312,16663.21,8498.7,M,31.36,,31.36,,,VU,A2b,,,22,0,,,22,,,,,
Eucalyptus burdettiana,Symphyomyrtus,Bisectae,Lehmannianae,,WA,0,12,106.26,100.9,U,,,,,,LC,,EN,EN (WA),,0,,,,3500.00,raw,,,"Restricted range, roads/utilities, too-frequent fire"
Eucalyptus burgessiana,Eucalyptus,Eucalyptus,Strictae,,NSW,0,392,19336.79,3656.1,U,14.4,,,,,LC,,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus burracoppinensis,Symphyomyrtus,Bisectae,Curviptera,,WA,0,428,40991.74,39720.9,M,33.14,,33.14,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus cadens,Symphyomyrtus,Maidenaria,Foveolatae,,Vic,0,88,508.88,94.5,P,46.39,46.39,,,,VU,A2b,VU,T (Vic),,Urbanisation; dieback; lack of recruitment,12,raw,,,,,,
Eucalyptus caesia,Symphyomyrtus,Bisectae,Caesiae,,WA,0,16,29500.33,566.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cajuputea,Symphyomyrtus,Adnataria,Buxeales,,NSW,0,452,59044.54,21271.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus calcareana,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA,0,1264,97190.3,65151.3,M,25.46,,25.46,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus calcicola,Eucalyptus,Longistylus,Calcicolae,,WA,0,96,22430.34,420,M,9.01,,9.01,,,VU,D1,,,,0,,,,500.00,raw,,,
Eucalyptus caleyi,Symphyomyrtus,Adnataria,Rhodoxylon,,NSW; Qld,0,596,55284.43,21176.7,M,18.67,,18.67,,,LC,,,,,0,,,,,,,,
Eucalyptus caliginosa,Eucalyptus,Capillulus,Pachyphloius,,NSW; Qld,0,732,42314.08,33676.6,M,19.03,,19.03,,,LC,,,,,0,,,,,,,,
Eucalyptus calycogona,Symphyomyrtus,Bisectae,Heterostemones,,WA; NSW; SA; Vic,0,2752,1110006.86,213075.7,P,54.89,54.89,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus calyerup,Symphyomyrtus,Bisectae,Erectae,DD,WA,1,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus camaldulensis,Symphyomyrtus,Exsertaria,Rostratae,,WA; ACT; NSW; NT; Qld; SA; Vic,0,10740,7836000.78,4038398,P,27.98,27.98,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus cambageana,Symphyomyrtus,Adnataria,Buxeales,,Qld,0,728,357890.59,203020.6,P,33.91,33.91,,,,VU,A2b,,,2,0,,,2,,,,,
Eucalyptus cameronii,Eucalyptus,Capillulus,Pachyphloius,,NSW; Qld,0,332,113473.48,25068.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus camfieldii,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,204,1598.4,486.9,M,32.88,,,32.88,,VU,A2b,VU,VU (NSW),,Urbanisation,31,raw,,,,,,
Eucalyptus campanulata,Eucalyptus,Cineraceae,Psathyroxylon,,NSW; Qld,0,724,150454.69,51538.3,M,12.55,,12.55,,,LC,,,,,0,,,,,,,,
Eucalyptus campaspe,Symphyomyrtus,Bisectae,Contortae,,WA,1,208,15616.48,15616.5,U,,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus camphora,Symphyomyrtus,Maidenaria,Foveolatae,,ACT; NSW; Qld; Vic,0,1012,256242.82,59097.2,P,23.61,23.61,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus canaliculata,Symphyomyrtus,Latoangulatae,Lepidotae-Fimbriatiae,,NSW,0,264,12670.13,12365.6,M,18.66,,18.66,,,LC,,,,,0,,,,,,,,
Eucalyptus canescens,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA; Vic,0,224,21105.71,19320.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus canobolensis,Symphyomyrtus,Maidenaria,Viminales,DD,NSW,0,,,,,,,,,,DD,taxonomy,EN,VU (NSW),,NA,NA,NA,,,,,,
Eucalyptus capillosa,Symphyomyrtus,Bisectae,Levispermae,,WA,0,672,195016.53,117517.3,M,23.03,,23.03,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus capitanea,Symphyomyrtus,Dumaria,Tetrapterae,,SA,0,24,10878.54,10002.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus capitellata,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,424,33057.53,7697.1,M,27.65,,,27.65,,NT,A2b,,,,Urbanisation,50--100,range,,,,,,
