Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Eucalyptus lehmannii,Symphyomyrtus,Bisectae,Lehmannianae,,WA,0,492,71581.05,32578.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus leprophloia,Symphyomyrtus,Bisectae,Accedentes,DD,WA,0,,,,,,,,,,DD,taxonomy,EN,EN (WA),,NA,NA,NA,,,,,,
Eucalyptus leptocalyx,Symphyomyrtus,Dumaria,Exsertae,,WA,0,848,59493.44,27582.1,M,26.96,,26.96,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus leptophleba,Symphyomyrtus,Maidenaria,Aquilonares,,Qld,0,1212,525839.18,287156.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus leptophylla,Symphyomyrtus,Bisectae,Porantherae,,NSW; SA; Vic,0,2944,712235.69,265441.1,M,33.22,,33.22,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus leptopoda,Symphyomyrtus,Bisectae,Curviptera,,WA,0,1892,549703.65,450798.6,M,9.18,,9.18,,,LC,,,,,0,,,,,,,,
Eucalyptus lesouefii,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,576,112464.94,86611.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus leucophloia,Symphyomyrtus,Platysperma,,,WA; NT; Qld,0,1808,1797257.19,555249.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus leucophylla,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT; Qld,0,384,75435.32,69494.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus leucoxylon,Symphyomyrtus,Adnataria,Melliodorae,,SA; Vic,0,4320,306485.37,117729,M,42.56,,42.56,,,VU,A2b,,,20,0,,,20,,,,,
Eucalyptus ligulata,Eucalyptus,Longistylus,Calcicolae,,WA,0,112,8090.86,599,U,,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus ligustrina,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,228,46666.21,1913.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus limitaris,Symphyomyrtus,Adnataria,Striolatae,DD,WA; NT,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus lirata,Eudesmia,Reticulatae,Miniatae,,WA,0,304,50602.13,40525,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus litoralis,Symphyomyrtus,Maidenaria,Globulares,,Vic,0,48,102.76,46.3,M,48.53,,,48.53,,VU,A2b,,,,Urbanisation; mining,8,raw,,,,,,
Eucalyptus litorea,Symphyomyrtus,Dumaria,Rigentes,,WA,0,56,16028.74,2357.4,M,4.6,,4.6,,,NT,D1,,,,0,,,,,,,,
Eucalyptus livida,Symphyomyrtus,Bisectae,Levispermae,,WA,0,268,36754.93,35070.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus lockyeri,Symphyomyrtus,Exsertaria,Phaeoxylon,,Qld,0,332,10268.44,3912.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus longicornis,Symphyomyrtus,Bisectae,Subulatae,,WA,0,576,191247.18,170442.3,P,52.59,52.59,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus longifolia,Symphyomyrtus,Simulares,,,NSW,0,564,49914.74,16483.5,P,30.03,30.03,,,,VU,A2b,,,5; 6; 15,Urbanisation,100--200,range,5; 6; 15,,,,,
Eucalyptus longirostrata,Symphyomyrtus,Latoangulatae,Lepidotae-Fimbriatia,,Qld,0,572,125300.74,74344.8,M,18.85,,18.85,,,LC,,,,,0,,,,,,,,
Eucalyptus longissima,Symphyomyrtus,Bisectae,Subulatae,,WA,0,584,222266.13,221912.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus loxophleba,Symphyomyrtus,Bisectae,Loxophlebae,,WA,0,3592,402768.49,300390.2,P,40.7,40.7,,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus lucasii,Symphyomyrtus,Adnataria,Buxeales,,WA,0,908,535875.45,291967.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus lucens,Symphyomyrtus,Adnataria,Heterophloiae,,WA; NT,0,156,84365.54,9705.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus luculenta,Symphyomyrtus,Bisectae,Subulatae,,WA,0,12,1617.1,1569.8,U,,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus luehmanniana,Eucalyptus,Cineraceae,Fraxinales,,NSW,0,288,3869.63,1249.3,U,40.7,,,40.7,,VU,A2b,,,,Urbanisation,30--60,range,,,,,,
Eucalyptus luteola,Symphyomyrtus,Bisectae,Levispermae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus macarthurii,Symphyomyrtus,Maidenaria,Foveolatae,,NSW,0,168,2204.41,756.9,P,23.73,23.73,,,,NT,A2b,EN,EN (NSW),,Urbanisation,protected,protected,,"4000--10,000",range,>1000,Urbanisation,
Eucalyptus mackintii,Eucalyptus,Capillulus,Pachyphloius,,NSW; Vic,0,152,5322.03,5230.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus macrandra,Symphyomyrtus,Bisectae,Cornutae,,WA,0,192,60991.22,8330.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus macrocarpa,Symphyomyrtus,Bisectae,Curviptera,,WA,0,276,40722.23,24731.3,M,49.05,,49.05,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus macrorhyncha,Eucalyptus,Capillulus,Pachyphloius,,ACT; NSW; SA; Vic,0,2228,702982.22,235564.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus magnificata,Symphyomyrtus,Adnataria,Heterophloiae,,NSW,0,40,700.76,700.8,M,13.1,,13.1,,,VU,"B1ab(i,ii,iv,v)+2ab(i,ii,iv,v)",,EN (NSW),,Active mining; lack of recruitment; fire,9,raw,,,,,Active mining; recruitment,
Eucalyptus major,Symphyomyrtus,Latoangulatae,Lepidotae-Fimbriatiae,,NSW; Qld,0,512,117051.34,34655.4,M,22.91,,22.91,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus malacoxylon,Symphyomyrtus,Maidenaria,Bridgesianae,,NSW,0,168,4754.25,4723.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus mannensis,Symphyomyrtus,Bisectae,Micrantherae,,Tas,0,1516,1222433.75,664063.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus mannifera,Symphyomyrtus,Maidenaria,Microcarpae,,ACT; NSW; Qld; Vic,0,1856,138133.33,102824.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus marginata,Eucalyptus,Longistylus,Occidentales,,WA,0,1884,118629.26,66173,M,23.32,,23.32,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus mckieana,Eucalyptus,Capillulus,Pachyphloius,,NSW; Qld,0,176,9174.02,9174,P,35.71,35.71,,,,VU,A2b,VU,VU (NSW),,0,,,,,,,,
Eucalyptus mcquoidii,Symphyomyrtus,Bisectae,Lehmannianae,,NT,1,20,49.99,35.5,U,,,,,,VU,D2,,,,Too-frequent fire,1,raw,,,,,Obligate-seeder with fire,
Eucalyptus medialis,Symphyomyrtus,Bisectae,Levispermae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus mediocris,Eucalyptus,Amentum,,,Qld,0,592,341906.51,93331.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus megacarpa,Eucalyptus,Longistylus,Preissianae,,WA,0,412,65587.19,22753.3,M,15.17,,15.17,,,LC,,,,,0,,,,,,,,
Eucalyptus megacornuta,Symphyomyrtus,Bisectae,Lehmannianae,,WA,1,88,839.49,306,M,11.87,,11.87,,,VU,D1,,,,0,,,,1000.00,maximum,,,
Eucalyptus megasepala,Eudesmia,Complanatae,Tetrodontae,,Qld,0,236,75832.84,61685.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus melanoleuca,Symphyomyrtus,Adnataria,Rhodoxylon,,Qld,0,276,139911.32,17043,M,21.3,,21.3,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus melanophitra,Symphyomyrtus,Bisectae,Levispermae,,WA,1,24,180.86,46.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus melanophloia,Symphyomyrtus,Adnataria,Siderophloiae,,NSW; Qld,0,2292,1701703.08,1066912.8,M,18.98,,18.98,,,LC,,,,,0,,,,,,,,
Eucalyptus melanoxylon,Symphyomyrtus,Dumaria,Rufispermae,,WA,0,544,166684.68,138412.1,M,11.61,,11.61,,,LC,,,,,0,,,,,,,,
Eucalyptus melliodora,Symphyomyrtus,Adnataria,Melliodorae,,ACT; NSW; Qld; Vic,0,3844,1053924.59,425282.3,P,44.95,44.95,,,,VU,A2b,,,17; 31,0,,,17; 31,,,,,
Eucalyptus merrickiae,Symphyomyrtus,Dumaria,Merrickianae,,WA,0,104,2804.35,2602,P,38.07,38.07,,,,VU,A2b,VU,VU (WA),,Active mining,19,raw,,,,,,
Eucalyptus michaeliana,Symphyomyrtus,Racemus,,,NSW; Qld,0,212,28892.2,3978.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus micranthera,Symphyomyrtus,Bisectae,Micrantherae,,WA,0,532,49299.64,21213.8,M,24.97,,24.97,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus microcarpa,Symphyomyrtus,Adnataria,Buxeales,,NSW; SA; Vic,0,1936,572996.04,242583,P,67.75,67.75,,,,EN,A2b,,,3; 13; 20; 21; 31,0,,,3; 13; 20; 21; 31,,,,,
Eucalyptus microcorys,Alveolata,,,,NSW; Qld,0,868,125459.28,56557.6,M,22.13,,,22.13,,NT,A2b,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus microneura,Symphyomyrtus,Maidenaria,Aquilonares,,Qld,0,512,71279.93,63291.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus microschema,Symphyomyrtus,Bisectae,Levispermae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus microtheca,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NSW; NT; Qld; SA,0,1552,1447147,943412.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus mimica,Symphyomyrtus,Bisectae,Erectae,,WA,1,44,1019.93,556.1,P,78.01,78.01,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus miniata,Eudesmia,Reticulatae,Miniatae,,WA; NT; Qld,0,1496,1338764.98,601351.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus minniritchi,Symphyomyrtus,Bisectae,Curviptera,,Tas,0,168,92366.07,13095.8,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus misella,Symphyomyrtus,Bisectae,Angustissimae,,WA,0,32,1103.83,279.7,M,14.66,,14.66,,,LC,,,,,0,,,,,,,,
Eucalyptus mitchelliana,Eucalyptus,Longitudinales,,,NT,0,40,91.74,85.1,U,,,,,,VU,D1,,,,0,,,,1000.00,maximum,,,
Eucalyptus moderata,Symphyomyrtus,Bisectae,Subulatae,,WA,0,644,146914.38,120880.6,P,43.55,43.55,,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus moluccana,Symphyomyrtus,Adnataria,Buxeales,,NSW; Qld,0,1608,746612.13,315219.7,P,31.15,31.15,,,,VU,A2b,,,4; 6; 9; 25; 30; 31,0,,,4; 6; 9; 25; 30; 31,,,,,
Eucalyptus molyneuxii,Eucalyptus,Aromatica,Radiatae,,NT,0,12,12.23,12.2,U,,,,,,EN,D,,T (Vic),,0,,,,100.00,maximum,,,
Eucalyptus mooreana,Symphyomyrtus,Exsertaria,Subexsertae,,Tas,0,68,1997.85,1627.1,U,,,,,,NT,D1,VU,VU (WA),,0,,,,1000.00,raw,,,"Small population (<1000), too-frequent fire, grazing"
Eucalyptus moorei,Eucalyptus,Longitudinales,,,ACT; NSW; Vic,0,372,40619.37,1973.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus morrisbyi,Symphyomyrtus,Maidenaria,Obriculares,,Tas,0,76,283.38,107.2,N,51-95,,,,51-95,CR,A2a; C2a(i); D,EN,EN (Tas),,Lack of recruitment,1,raw,,7--29,range,50--800,Lack of recruitment,
Eucalyptus morrisii,Symphyomyrtus,Exsertaria,Phaeoxylon,,NSW,0,336,48958.3,45494.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus muelleriana,Eucalyptus,Capillulus,Pachyphloius,,ACT; NSW; Vic,0,692,136225.84,45958.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus multicaulis,Eucalyptus,Cineraceae,Psathyroxylon,,NSW,0,316,24809.62,6971.3,U,15.7,,,,,LC,,,,,Urbanisation,protected,protected,,,,,,
Eucalyptus myriadena,Symphyomyrtus,Dumaria,Ovulares,,WA,0,788,122471.59,93446.9,P,74.54,74.54,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus nandewarica,Symphyomyrtus,Exsertaria,Erythroxylon,,NSW,0,44,270.21,234.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus nebulosa,Eucalyptus,Aromatica,Radiatae,,Tas,0,20,129.47,13.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus neglecta,Symphyomyrtus,Maidenaria,Neglectae,,NSW; Vic,0,232,8526.68,3455.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus neutra,Symphyomyrtus,Bisectae,Subulatae,,WA,0,328,44746.18,34136.7,P,70.56,70.56,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus newbeyi,Symphyomyrtus,Bisectae,Lehmannianae,,WA,1,8,1071.4,176.8,U,,,,,,VU,D2,,,,Too-frequent fire,2,raw,,,,,Obligate-seeder with fire,
Eucalyptus nicholii,Symphyomyrtus,Maidenaria,Acaciiformes,,NSW,0,240,11600.86,9189.1,M,31.91,,31.91,,,VU,A2b,VU,,,0,,,,,,,,
Eucalyptus nigrifunda,Symphyomyrtus,Bisectae,Levispermae,,WA,0,40,10202.75,10202.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus nitens,Symphyomyrtus,Maidenaria,Globulares,,Vic,0,168,15306.75,6604.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus nitida,Eucalyptus,Aromatica,Insulanae,,Tas,0,1564,124963.42,32235.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus nobilis,Symphyomyrtus,Maidenaria,Viminales,,NSW; Qld,0,652,89172.86,46180.8,M,18.66,,18.66,,,LC,,,,,0,,,,,,,,
Eucalyptus normantonensis,Symphyomyrtus,Adnataria,Buxeales,,WA; NT; Qld,0,924,816306.74,227579.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus nortonii,Symphyomyrtus,Maidenaria,Globulares,,NSW,0,1148,276406.01,60594.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus notabilis,Symphyomyrtus,Latoangulatae,Annulares,,NSW; Qld,0,360,64184.46,5058.4,M,10.66,,10.66,,,LC,,,,,0,,,,,,,,
Eucalyptus notactites,Symphyomyrtus,Bisectae,Falcatae,,WA,0,184,25763.61,2381.6,M,13.12,,13.12,,,LC,,,,,0,,,,,,,,
Eucalyptus nova-anglica,Symphyomyrtus,Maidenaria,Argyophyllae,,NSW; Qld,0,392,25984.83,20934.8,P,30.95,30.95,,,,VU,A2b,,,19,0,,,19,,,,,
Eucalyptus nudicaulis,Symphyomyrtus,Exsertaria,Exsertae,,Qld,0,36,2295.16,2070.5,U,,,,,,EN,C2a(i),,VU (Qld),,Active mining,6,raw,,600--1000,range,7--29,Active mining,
Eucalyptus nutans,Symphyomyrtus,Bisectae,Clinatae,,NT,1,12,1503.43,0.1,U,,,,,,VU,D2,,VU (WA),,Too-frequent fire,1,raw,,,,,Obligate-seeder with fire,
Eucalyptus obconica,Symphyomyrtus,Maidenaria,Aquilonares,,WA,0,308,169115.3,100913.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus obesa,Symphyomyrtus,Bisectae,Falcatae,,WA,0,164,63727.68,15366.7,M,24.77,,24.77,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,,ACT; NSW; Qld; SA; Tas; Vic,0,3328,1216222.46,230837,M,25.29,,25.29,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus obtusiflora,Symphyomyrtus,Dumaria,Rufispermae,,WA,0,932,145437.38,69607.1,M,30.14,,30.14,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus occidentalis,Symphyomyrtus,Bisectae,Erectae,,WA,0,956,146984.21,74702.5,P,54.5,54.5,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus ochrophloia,Symphyomyrtus,Adnataria,Coalitae,,NSW; Qld,0,524,196272.97,138023.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus odontocarpa,Eudesmia,Limbatae,Heteropterae,,WA; NT; Qld,0,1104,1395057.37,901832.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus odorata,Symphyomyrtus,Adnataria,Buxeales,,SA; Vic,0,1992,137713.08,44839.4,P,78.26,78.26,,,,EN,A2b,,,12; 16; 20,0,,,12; 16; 20,,,,,
Eucalyptus oldfieldii,Symphyomyrtus,Bisectae,Curviptera,,WA; NT,0,1108,670733.73,242201.2,M,9.65,,9.65,,,LC,,,,,0,,,,,,,,
Eucalyptus oleosa,Symphyomyrtus,Bisectae,Subulatae,,WA; NSW; SA; Vic,0,5536,1326828.95,415788.2,P,22.78,22.78,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus olida,Eucalyptus,Cineraceae,Psathyroxylon,,Tas,0,68,573.98,153.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus oligantha,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT,0,444,348992.77,93382.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus olivina,Symphyomyrtus,Bisectae,Porantherae,,WA,0,400,34719.44,30407.8,M,26.81,,26.81,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus olsenii,Eucalyptus,Nebulosa,,,NSW,0,68,1341.77,850.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus ophitica,Symphyomyrtus,Adnataria,Siderophloiae,,NSW,0,32,266.92,264.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus opimiflora,Symphyomyrtus,Bisectae,Falcatae,,WA,0,124,20601,12787.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus optima,Symphyomyrtus,Bisectae,Subulatae,,Tas,1,84,12984.34,8522.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus oraria,Symphyomyrtus,Dumaria,Ovulares,,WA,0,348,64850.29,16746.6,M,14.42,,14.42,,,LC,,,,,0,,,,,,,,
Eucalyptus orbifolia,Symphyomyrtus,Bisectae,Curviptera,,WA; NT; SA,0,180,44450.72,32707.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus ordiana,Symphyomyrtus,Platysperma,,,WA,0,48,7930.12,7887.8,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus oreades,Eucalyptus,Cineraceae,Fraxinales,,NSW; Qld,1,352,89682.55,4724.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus orgadophila,Symphyomyrtus,Adnataria,Buxeales,,NSW; Qld,0,964,397212.95,200495.4,M,20.32,,20.32,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus ornans,Eucalyptus,Aromatica,Radiatae,,Vic,0,8,0.04,0,P,90,,,,90,CR,"A2a; B1ab(i,ii,iv,v)+2ab(i,ii,iv,v); C2a(i); D",,T (Vic),,Flood,1,raw,,10.00,raw,100,Flood,
Eucalyptus ornata,Symphyomyrtus,Bisectae,Falcatae,,WA,1,28,3445.47,2591.6,P,80.37,80.37,,,,LC,,,,,0,,,,,,,,
Eucalyptus orthostemon,Symphyomyrtus,Bisectae,Erectae,,WA,0,436,56706.56,41655.7,M,51.53,,51.53,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus ovata,Symphyomyrtus,Maidenaria,Foveolatae,,ACT; NSW; SA; Tas; Vic,0,3228,825838.82,159344.8,P,47.59,47.59,,,,VU,A2b,,,11; 18; 24; 26,Urbanisation,2000--10000,range,11; 18; 24; 26,,,,,
Eucalyptus ovularis,Symphyomyrtus,Dumaria,Ovulares,,WA,0,164,16389.83,15652.4,P,19.48,19.48,,,,LC,,,,,0,,,,,,,,
Eucalyptus oxymitra,Symphyomyrtus,Bisectae,Curviptera,,Tas,0,1396,421272.23,356576.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus pachycalyx,Symphyomyrtus,Bisectae,Squamosae,,NSW; Qld,0,276,130886.27,3327.2,,,,,,,LC,,,EN (Qld); EN (NSW),,0,,,,10000.00,minimum,,,"Restricted range, roads/utilities, too-frequent fire"
Eucalyptus pachyloma,Eucalyptus,Longistylus,Diversiformae,,NSW,0,332,24629.16,11100,M,39.76,,39.76,,,LC,,,,,0,,,,,,,,
Eucalyptus pachyphylla,Symphyomyrtus,Bisectae,Curviptera,,WA; NT; Qld; SA,0,1156,1098527.4,905906.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus paedoglauca,Symphyomyrtus,Adnataria,Siderophloiae,DD,Qld,0,,,,,,,,,,DD,taxonomy,VU,VU (Qld),,NA,NA,NA,,,,,,
Eucalyptus paliformis,Eucalyptus,Eucalyptus,Strictae,,NT,1,40,69.5,69.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus paludicola,Symphyomyrtus,Incognitae,,,SA,0,184,4680.53,869,P,45.92,45.92,,,,EN,C2a(i),EN,EN (SA),,Recruitment,20--40,range,,720--750,range,10,Recruitment,
Eucalyptus panda,Symphyomyrtus,Adnataria,Rhodoxylon,,NSW; Qld,0,348,96465.65,29181.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus paniculata,Symphyomyrtus,Adnataria,Rhodoxylon,,NSW,0,928,103442.2,30146.3,P,25.56,25.56,,,,NT,A2b,,,,Urbanisation,200--400,range,,,,,,
Eucalyptus pantoleuca,Symphyomyrtus,Exsertaria,Exsertae,,WA,0,308,52761.27,32427.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus paralimnetica,Symphyomyrtus,Dumaria,Rufispermae,DD,WA,1,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus parramattensis,Symphyomyrtus,Liberivalvae,,,NSW,0,460,33584.28,20802.2,M,23.26,,,23.26,,NT,A2b,,,,Urbanisation,50--100,range,,,,,,
Eucalyptus parvula,Symphyomyrtus,Maidenaria,Obscurae,,NSW,0,168,1219.87,397.1,P,19.11,19.11,,,,LC,,VU,,,0,,,,2000.00,minimum,,,"Roads/utilities, weeds, grazing, seed collection"
Eucalyptus patellaris,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT,0,552,279682.4,256584.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus patens,Eucalyptus,Longistylus,Patentes,,WA,0,652,80689.7,37994.2,P,23.3,23.3,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus pauciflora,Eucalyptus,Cineraceae,Pauciflorae,,ACT; NSW; Qld; SA; Tas; Vic,0,4080,802645.24,240352.3,M,22.78,,22.78,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus pellita,Symphyomyrtus,Latoangulatae,Annulares,,Qld,0,296,147202.78,17225.4,M,6.72,,6.72,,,LC,,,,,0,,,,,,,,
Eucalyptus pendens,Eucalyptus,Longistylus,Muricatae,,WA,0,88,1213.87,1104.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus peninsularis,Symphyomyrtus,Bisectae,Subulatae,,SA,0,272,5637.8,4700.1,P,79.71,79.71,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus perangusta,Symphyomyrtus,Bisectae,Porantherae,,WA,0,280,17720.3,14158.9,M,24.31,,24.31,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus percostata,Symphyomyrtus,Dumaria,Rufispermae,,SA,0,68,1126.17,1097.8,M,27.79,,27.79,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus perriniana,Symphyomyrtus,Maidenaria,Obriculares,,ACT; NSW; Tas; Vic,0,500,138193.73,21444.3,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus persistens,Symphyomyrtus,Adnataria,Buxeales,,Qld,0,1024,330584.79,231344,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus petiolaris,Symphyomyrtus,Adnataria,Melliodorae,,SA,0,272,10371.8,4974.1,P,77.73,77.73,,,,EN,A2b,,,12,0,,,12,,,,,
Eucalyptus petraea,Symphyomyrtus,Adnataria,Buxeales,,WA,0,468,221961.22,193867.2,M,8.51,,8.51,,,LC,,,,,0,,,,,,,,
Eucalyptus petrensis,Symphyomyrtus,Bisectae,Falcatae,,WA,0,116,12888.14,1184.6,M,23.37,,,23.37,,EN,C2a(i),,,,Urbanisation,18,raw,,1000.00,raw,100,Urbanisation,
Eucalyptus phaenophylla,Symphyomyrtus,Bisectae,Levispermae,,WA,0,1132,79398.39,59842.6,M,37.1,,37.1,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus phenax,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA; Vic,0,2576,992607.8,188548.2,M,38.63,,38.63,,,VU,A2b,,,10; 16,0,,,10; 16,,,,,
Eucalyptus phoenicea,Eudesmia,Reticulatae,Miniatae,,WA; NT; Qld,0,784,322578.15,199237.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus phoenix,Eucalyptus,Capillulus,Pachyphloius,DD,Vic,0,,,,,,,,,,DD,taxonomy,,T (Vic),,NA,NA,NA,,,,,,
Eucalyptus pilbarensis,Symphyomyrtus,Bisectae,Accedentes,,WA,0,140,37332.97,36818.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus pileata,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA,0,1148,374221.47,92437.9,P,33.94,33.94,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus pilularis,Eucalyptus,Pseudophloius,,,NSW; Qld,0,864,289063.11,64102.6,M,23.07,,,23.07,,NT,A2b,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus pimpiniana,Symphyomyrtus,Dumaria,Exsertae,,WA; SA,0,76,137805.96,64760.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus piperita,Eucalyptus,Cineraceae,Piperitales,,NSW,0,1204,88621.23,39652.5,M,17.99,,,17.99,,LC,,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus placita,Symphyomyrtus,Adnataria,Rhodoxylon,DD,NSW,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus planchoniana,Eucalyptus,Insolitae,,,NSW; Qld,0,400,58248.49,15673.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus planipes,Symphyomyrtus,Dumaria,Connexentes,,WA; Qld; SA,0,156,15072.14,12499.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus platycorys,Symphyomyrtus,Dumaria,Exsertae,,WA,0,784,182380.94,175237.3,M,8.69,,8.69,,,LC,,,,,0,,,,,,,,
