Scientific Name,Common Name,Status,Date Listed,Profile Available
Persoonia mollis subsp. revoluta,,Vulnerable,24-Jun-21,Yes
Petrophile nivea,,Vulnerable,11-May-18,Yes
Phaius pictus,,Vulnerable,16-Jul-00,No
Phaleria biflora,,Vulnerable,16-Jul-00,Yes
Phebalium glandulosum subsp. eglandulosum,Rusty Desert Phebalium,Vulnerable,16-Jul-00,Yes
Phebalium lowanense,Lowan Phebalium,Vulnerable,16-Jul-00,Yes
Phebalium whitei,,Vulnerable,16-Jul-00,Yes
Philotheca obovatifolia,Mountain Wax-flower,Vulnerable,7-Sep-23,Yes
Philotheca papillata,,Vulnerable,7-Dec-21,Yes
Phlegmariurus lockyeri,,Vulnerable,16-Jul-00,Yes
Phlegmariurus marsupiiformis = Phlegmariurus delbrueckii,Water Tassel-fern,Vulnerable,16-Jul-00,Yes
Phlegmariurus tetrastichoides,Square Tassel Fern,Vulnerable,16-Jul-00,Yes
Phyllota humifusa,Dwarf Phyllota,Vulnerable,16-Jul-00,No
Picris evae,Hawkweed,Vulnerable,16-Jul-00,No
Pimelea curviflora var. curviflora,,Vulnerable,16-Jul-00,Yes
Pimelea leptospermoides,,Vulnerable,16-Jul-00,Yes
Pimelea pagophila,Grampians Rice-flower,Vulnerable,16-Jul-00,Yes
Pittosporum bracteolatum,Oleander,Vulnerable,25-Nov-03,No
Pityrodia augustensis,Mt Augustus Foxglove,Vulnerable,16-Jul-00,No
Plectranthus gratus = Coleus gratus,,Vulnerable,16-Jul-00,No
Plectranthus leiperi = Coleus leiperi,,Vulnerable,16-Jul-00,No
Pleuropappus phyllocalymmeus = Angianthus phyllocalymmeus,Silver Candles,Vulnerable,16-Jul-00,Yes
Poa sallacustris,Salt-lake Tussock-grass,Vulnerable,16-Jul-00,Yes
Polianthion minutiflorum,,Vulnerable,16-Jul-00,No
Polyscias bellendenkerensis,,Vulnerable,16-Jul-00,No
Pomaderris brunnea,"Rufous Pomaderris, Brown Pomaderris",Vulnerable,16-Jul-00,Yes
Pomaderris clivicola,,Vulnerable,16-Jul-00,Yes
Pomaderris halmaturina subsp. halmaturina,Kangaroo Island Pomaderris,Vulnerable,16-Jul-00,Yes
Pomaderris pallida,Pale Pomaderris,Vulnerable,16-Jul-00,Yes
Pomaderris parrisiae,Parris' Pomaderris,Vulnerable,16-Jul-00,Yes
Pomaderris pilifera subsp. talpicutica,Moleskin Dogwood,Vulnerable,26-Feb-13,Yes
Pomaderris subplicata,Concave Pomaderris,Vulnerable,16-Jul-00,Yes
Poranthera petalifera,Mountain Poranthera,Vulnerable,16-Jul-00,Yes
Prasophyllum colemaniae = Prasophyllum colemaniarum,Lilac Leek-orchid,Vulnerable,16-Jul-00,No
Prasophyllum fuscum,"Tawny Leek-orchid, Slaty Leek-orchid",Vulnerable,16-Jul-00,Yes
Prasophyllum morganii,"Mignonette Leek-orchid, Cobungra Leek-orchid, Dense Leek-orchid",Vulnerable,16-Jul-00,Yes
Prasophyllum pallidum,Pale Leek-orchid,Vulnerable,16-Jul-00,No
Prasophyllum spicatum,Dense Leek-orchid,Vulnerable,16-Jul-00,No
Prasophyllum validum,"Sturdy Leek-orchid, Mount Remarkable Leek-orchid",Vulnerable,16-Jul-00,No
Prasophyllum wallum,Wallum Leek-orchid,Vulnerable,16-Jul-00,Yes
Prostanthera calycina,"West Coast Mintbush, Limestone Mintbush, Red Mintbush",Vulnerable,16-Jul-00,No
Prostanthera cineolifera,,Vulnerable,16-Jul-00,No
Prostanthera cryptandroides subsp. cryptandroides,Wollemi Mint-bush,Vulnerable,16-Jul-00,Yes
Prostanthera densa,Villous Mintbush,Vulnerable,16-Jul-00,No
Prostanthera discolor,,Vulnerable,16-Jul-00,No
Prostanthera galbraithiae,Wellington Mintbush,Vulnerable,16-Jul-00,Yes
Prostanthera nudula,Mount Illbilie Mintbush,Vulnerable,16-Jul-00,No
Prostanthera schultzii,,Vulnerable,16-Jul-00,Yes
Prostanthera sp. Dunmore (D.M.Gordon 8A),,Vulnerable,16-Jul-00,No
Prostanthera spathulata,,Vulnerable,16-Jul-00,Yes
Prostanthera stricta,Mount Vincent Mintbush,Vulnerable,16-Jul-00,No
Pseudocephalozia paludicola,Alpine Leafy Liverwort,Vulnerable,16-Jul-00,Yes
Pterostylis arenicola,Sandhill Greenhood Orchid,Vulnerable,16-Jul-00,Yes
Pterostylis bicornis,,Vulnerable,16-Jul-00,No
Pterostylis cheraphila,Floodplain Rustyhood,Vulnerable,16-Jul-00,No
Pterostylis chlorogramma,Green-striped Greenhood,Vulnerable,16-Jul-00,No
Pterostylis cucullata,Leafy Greenhood,Vulnerable,16-Jul-00,Yes
Pterostylis mirabilis,Nodding Rufoushood,Vulnerable,16-Jul-00,Yes
Pterostylis pratensis,Liawenee Greenhood,Vulnerable,16-Oct-01,Yes
Pterostylis pulchella,Pretty Greenhood,Vulnerable,16-Jul-00,No
Pterostylis tenuissima,"Swamp Greenhood, Dainty Swamp Orchid",Vulnerable,16-Jul-00,No
Pterostylis xerophila,Desert Greenhood,Vulnerable,16-Jul-00,No
Pterostylis ziegeleri,"Grassland Greenhood, Cape Portland Greenhood",Vulnerable,26-Nov-08,Yes
Ptilotus beckerianus,Ironstone Mulla Mulla,Vulnerable,16-Jul-00,Yes
Ptychosema pusillum,Dwarf Pea,Vulnerable,16-Jul-00,No
Pultenaea aristata,,Vulnerable,16-Jul-00,No
Pultenaea glabra,"Smooth Bush-pea, Swamp Bush-pea",Vulnerable,16-Jul-00,Yes
Pultenaea parrisiae,,Vulnerable,16-Jul-00,No
Pultenaea parviflora,,Vulnerable,16-Jul-00,Yes
Pultenaea pauciflora,Narrogin Pea,Vulnerable,16-Jul-00,Yes
Pultenaea setulosa,,Vulnerable,16-Jul-00,Yes
Pultenaea villifera var. glabrescens,"Yellow Bush-pea, Splendid Bush-pea",Vulnerable,16-Jul-00,No
Pultenaea williamsoniana,Williamsons Bush-pea,Vulnerable,16-Jul-00,No
Ranunculus anemoneus,Anemone Buttercup,Vulnerable,16-Jul-00,No
Rhagodia acicularis,Wongan Rhagodia,Vulnerable,16-Jul-00,No
Rhaphidospora bonneyana,,Vulnerable,16-Jul-00,Yes
Rhaponticum australe = Leuzea australis,"Austral Cornflower, Native Thistle",Vulnerable,16-Jul-00,Yes
Rhinerrhizopsis matutina,,Vulnerable,16-Jul-00,No
Ricinocarpos gloria-medii,Glory of the Centre,Vulnerable,16-Jul-00,No
Ristantia gouldii,,Vulnerable,16-Jul-00,No
Romnalda strobilacea,,Vulnerable,16-Jul-00,No
Rutidosis heterogama,Heath Wrinklewort,Vulnerable,16-Jul-00,No
Rutidosis leiolepis,Monaro Golden Daisy,Vulnerable,16-Jul-00,No
Rytidosperma pumilum,Feldmark Grass,Vulnerable,16-Jul-00,No
Samadera bidwillii,Quassia,Vulnerable,16-Jul-00,Yes
Sannantha crenulata,Fern-leaf Baeckea,Vulnerable,16-Jul-00,Yes
Sannantha tozerensis,a shrub,Vulnerable,16-Jul-00,No
Sarcochilus fitzgeraldii,Ravine Orchid,Vulnerable,16-Jul-00,No
Sarcochilus hartmannii,"Waxy Sarcochilus, Blue Knob Orchid",Vulnerable,16-Jul-00,No
Sarcochilus hirticalcar,,Vulnerable,16-Jul-00,No
Sarcochilus weinthalii,"Blotched Sarcochilus, Weinthals Sarcanth",Vulnerable,16-Jul-00,No
Sclerolaena blakei,,Vulnerable,16-Jul-00,No
Sclerolaena walkeri,,Vulnerable,16-Jul-00,No
Selaginella andrewsii,Tallebudgera spikemoss,Vulnerable,23-Feb-13,Yes
Senecio australis,a daisy,Vulnerable,25-Nov-03,No
Senecio hooglandii,a daisy,Vulnerable,25-Nov-03,No
Senecio macrocarpus,"Large-fruit Fireweed, Large-fruit Groundsel",Vulnerable,16-Jul-00,Yes
Senecio megaglossus,Superb Groundsel,Vulnerable,16-Jul-00,Yes
Senecio psilocarpus,"Swamp Fireweed, Smooth-fruited Groundsel",Vulnerable,16-Jul-00,No
Solanum dunalianum,,Vulnerable,16-Jul-00,Yes
Solanum karsense,Menindee Nightshade,Vulnerable,16-Jul-00,Yes
Sophora fraseri,,Vulnerable,16-Jul-00,No
Spyridium coactilifolium,Butterfly Spyridium,Vulnerable,16-Jul-00,Yes
Spyridium eriocephalum var. glabrisepalum = Spyridium glabrisepalum,MacGillivray Spyridium,Vulnerable,16-Jul-00,Yes
Spyridium obcordatum,Creeping Dusty Miller,Vulnerable,16-Jul-00,Yes
Stachystemon nematophorus,Three-flowered Stachystemon,Vulnerable,18-Aug-06,Yes
Stackhousia annua,"Annual Stackhousia, Annual Candles",Vulnerable,16-Jul-00,No
Stenanthemum pimeleoides,"Spreading Stenanthemum, Propellor Plant",Vulnerable,26-Nov-08,Yes
Stylidium galioides,Yellow Mountain Triggerplant,Vulnerable,16-Jul-00,No
Swainsona murrayana,"Slender Darling-pea, Slender Swainson, Murray Swainson-pea",Vulnerable,16-Jul-00,Yes
Swainsona plagiotropis,"Red Darling-pea, Red Swainson-pea",Vulnerable,16-Jul-00,No
Swainsona pyrophila,Yellow Swainson-pea,Vulnerable,16-Jul-00,Yes
Symplocos baeuerlenii,"Small-leaved Hazelwood, Shrubby Hazelwood",Vulnerable,16-Jul-00,Yes
Syzygium hodgkinsoniae,"Smooth-bark Rose Apple, Red Lilly Pilly",Vulnerable,16-Jul-00,Yes
Syzygium moorei,"Rose Apple, Coolamon, Robby, Durobby, Watermelon Tree, Coolamon Rose Apple",Vulnerable,16-Jul-00,No
Syzygium paniculatum,"Magenta Lilly Pilly, Magenta Cherry, Daguba, Scrub Cherry, Creek Lilly Pilly, Brush Cherry",Vulnerable,16-Jul-00,Yes
Syzygium velarum,,Vulnerable,16-Jul-00,No
Taeniophyllum norfolkianum,"Minute Orchid, Ribbon-root Orchid",Vulnerable,25-Nov-03,Yes
Taraxacum cygnorum,"Coast Dandelion, Native Dandelion",Vulnerable,16-Jul-00,No
Tasmannia glaucifolia,Fragrant Pepperbush,Vulnerable,16-Jul-00,No
Tecticornia bulbosa,Large-articled Samphire,Vulnerable,16-Jul-00,Yes
Tecticornia flabelliformis,"Bead Glasswort, Bead Samphire",Vulnerable,16-Jul-00,Yes
Tephrosia leveillei,,Vulnerable,16-Jul-00,Yes
Tetraria australiensis = Morelotia australiensis,Southern Tetraria,Vulnerable,16-Jul-00,Yes
Tetratheca aphylla,Bungalbin Tetratheca,Vulnerable,16-Jul-00,Yes
Tetratheca harperi,Jackson Tetratheca,Vulnerable,16-Jul-00,No
Tetratheca juncea,Black-eyed Susan,Vulnerable,16-Jul-00,Yes
Thelymitra mackibbinii,Brilliant Sun-orchid,Vulnerable,16-Jul-00,Yes
Thelymitra psammophila,Sandplain Sun-orchid,Vulnerable,16-Jul-00,Yes
Thesium australe,"Austral Toadflax, Toadflax",Vulnerable,16-Jul-00,Yes
Thomasia glabripetala,Sandplain Thomasia,Vulnerable,16-Jul-00,No
Thomasia montana,Hill Thomasia,Vulnerable,16-Jul-00,No
Thryptomene wittweri,Mountain Thryptomene,Vulnerable,16-Jul-00,No
Tmesipteris norfolkensis,Hanging Fork-fern,Vulnerable,25-Nov-03,No
Tomophyllum walleri,,Vulnerable,16-Jul-00,No
Tribonanthes purpurea,Granite Pink,Vulnerable,16-Jul-00,No
Trichanthodium baracchianum,Dwarf Yellow-heads,Vulnerable,16-Jul-00,Yes
Triplarina nitchaga,,Vulnerable,16-Jul-00,No
Tropilis callitrophilis = Dendrobium callitrophilum,Thin Feather Orchid,Vulnerable,16-Jul-00,No
Ungeria floribunda,Bastard Oak,Vulnerable,25-Nov-03,No
Vanda hindsii,Cape York Vanda,Vulnerable,16-Jul-00,Yes
Vappodes phalaenopsis,Cooktown Orchid,Vulnerable,16-Jul-00,No
Velleia perfoliata,,Vulnerable,16-Jul-00,No
Veronica ciliolata,Ciliolate Hebe,Vulnerable,26-Nov-08,Yes
Verticordia carinata,Stirling Range Featherflower,Vulnerable,16-Jul-00,No
Verticordia crebra,Crowded Featherflower,Vulnerable,16-Jul-00,No
Verticordia fimbrilepis subsp. australis,Southern Shy Featherflower,Vulnerable,16-Jul-00,No
Verticordia helichrysantha,Coast Featherflower,Vulnerable,16-Jul-00,No
Westringia davidii,,Vulnerable,16-Jul-00,Yes
Westringia parvifolia,,Vulnerable,16-Jul-00,Yes
Westringia rupicola,,Vulnerable,16-Jul-00,No
Xanthorrhoea arenaria,Sand Grasstree,Vulnerable,16-Jul-00,Yes
Xanthostemon oppositifolius,"Penda, Southern Penda, Luya's Hardwood",Vulnerable,16-Jul-00,Yes
Xerochrysum palustre,"Swamp Everlasting, Swamp Paper Daisy",Vulnerable,16-Jul-00,Yes
Xerothamnella parvifolia,,Vulnerable,16-Jul-00,Yes
Zeuxine polygonoides,Velvet Jewel Orchid,Vulnerable,16-Jul-00,Yes
Zieria citriodora,Lemon-scented Zieria,Vulnerable,16-Jul-00,Yes
Zieria collina,,Vulnerable,16-Jul-00,Yes
Zieria involucrata,,Vulnerable,16-Jul-00,Yes
Zieria murphyi,Velvet Zieria,Vulnerable,16-Jul-00,Yes
Zieria obovata,,Vulnerable,16-Jul-00,Yes
Zieria rimulosa,,Vulnerable,16-Jul-00,Yes
Zieria tuberculata,Warty Zieria,Vulnerable,16-Jul-00,Yes
Zieria verrucosa,,Vulnerable,16-Jul-00,Yes
