taxon_name,trait_name,value,plant_spinescence
Gomphocarpus physocarpus,plant_goat_palatability,not_eaten,
Gorteria personata,plant_goat_palatability,high_palatability,
Heliotropium amplexicaule,plant_goat_palatability,toxic,
Heliotropium europaeum,plant_goat_palatability,low_palatability,
Helleborus niger,plant_goat_palatability,toxic,
Hibiscus richardsonii,plant_goat_palatability,moderate_palatability,
Hirschfeldia incana,plant_goat_palatability,moderate_palatability,
Hordeum leporinum,plant_goat_palatability,moderate_palatability,
Hyparrhenia hirta,plant_goat_palatability,high_palatability,
Hypericum androsaemum,plant_goat_palatability,low_palatability,
Hypericum perforatum,plant_goat_palatability,low_palatability,
Hypericum tetrapterum,plant_goat_palatability,moderate_palatability,
Hypericum triquetrifolium,plant_goat_palatability,moderate_palatability,
Hypochaeris radicata,plant_goat_palatability,moderate_palatability,
Ibicella lutea,plant_goat_palatability,not_eaten,
Ipomoea lonchophylla,plant_goat_palatability,moderate_palatability,
Ipomoea plebeia,plant_goat_palatability,moderate_palatability,
Ipomoea purpurea,plant_goat_palatability,high_palatability,
Iva axillaris,plant_goat_palatability,moderate_palatability,
Jatropha curcas,plant_goat_palatability,toxic,
Juncus acutus,plant_goat_palatability,moderate_palatability,
Kalanchoe tubiflora,plant_goat_palatability,toxic,
Lactuca serriola,plant_goat_palatability,high_palatability,
Lantana camara,plant_goat_palatability,high_palatability,
Lathyrus odoratus,plant_goat_palatability,toxic,
Lavandula stoechas,plant_goat_palatability,moderate_palatability,
Ligustrum lucidum,plant_goat_palatability,high_palatability,
Ligustrum sinense,plant_goat_palatability,high_palatability,
Linaria dalmatica,plant_goat_palatability,toxic,
Lolium perenne,plant_goat_palatability,high_palatability,
Lolium rigidum,plant_goat_palatability,high_palatability,
Lolium sp.,plant_goat_palatability,high_palatability,
Lonicera japonica,plant_goat_palatability,high_palatability,
Lycium ferocissimum,plant_goat_palatability,moderate_palatability,
Malva parviflora,plant_goat_palatability,low_palatability,
Malvella leprosa,plant_goat_palatability,moderate_palatability,
Marrubium vulgare,plant_goat_palatability,high_palatability,
Medicago falcata,plant_goat_palatability,high_palatability,
Medicago sativa,plant_goat_palatability,high_palatability,
Melia azedarach,plant_goat_palatability,moderate_palatability,
Melianthus comosus,plant_goat_palatability,not_eaten,
Melilotus albus,plant_goat_palatability,moderate_palatability,
Myagrum perfoliatum,plant_goat_palatability,high_palatability,
Nassella neesiana,plant_goat_palatability,moderate_palatability,
Nassella trichotoma,plant_goat_palatability,moderate_palatability,
Nerium oleander,plant_goat_palatability,toxic,
Nicandra physalodes,plant_goat_palatability,moderate_palatability,
Nicotiana glauca,plant_goat_palatability,moderate_palatability,
Oenothera curtiflora,plant_goat_palatability,moderate_palatability,
Olea europaea,plant_goat_palatability,moderate_palatability,
Olearia elliptica,plant_goat_palatability,moderate_palatability,
Oncosiphon suffruticosum,plant_goat_palatability,low_palatability,
Onopordum acanthium,plant_goat_palatability,moderate_palatability,
Onopordum acaulon,plant_goat_palatability,moderate_palatability,
Onopordum illyricum,plant_goat_palatability,moderate_palatability,
Opuntia inermis,plant_goat_palatability,low_palatability,
Opuntia stricta,plant_goat_palatability,low_palatability,
Owenia acidula,plant_goat_palatability,high_palatability,
Oxalis latifolia,plant_goat_palatability,low_palatability,
Oxalis pes-caprae,plant_goat_palatability,moderate_palatability,
Papaver somniferum,plant_goat_palatability,low_palatability,
Parthenium hysterophorus,plant_goat_palatability,moderate_palatability,
Peganum harmala,plant_goat_palatability,not_eaten,
Phalaris minor,plant_goat_palatability,high_palatability,
Phyla canescens,plant_goat_palatability,low_palatability,
Physalis crassifolia var. versicolor,plant_goat_palatability,moderate_palatability,
Physalis longifolia,plant_goat_palatability,low_palatability,
Phytolacca octandra,plant_goat_palatability,moderate_palatability,
Pinus radiata,plant_goat_palatability,high_palatability,
Polygonum aviculare,plant_goat_palatability,moderate_palatability,
Proboscidea louisianica,plant_goat_palatability,low_palatability,
Prosopis juliflora,plant_goat_palatability,high_palatability,
Prunus persica,plant_goat_palatability,high_palatability,
Raphanus raphanistrum,plant_goat_palatability,moderate_palatability,
Rapistrum rugosum,plant_goat_palatability,high_palatability,
Rhaponticum repens,plant_goat_palatability,moderate_palatability,
Ricinus communis,plant_goat_palatability,moderate_palatability,
Robinia pseudoacacia,plant_goat_palatability,moderate_palatability,
Romulea rosea,plant_goat_palatability,moderate_palatability,
Rosa canina,plant_goat_palatability,high_palatability,
Rosa rubiginosa,plant_goat_palatability,high_palatability,
Rubus anglocandicans,plant_goat_palatability,high_palatability,
Rumex acetosella,plant_goat_palatability,moderate_palatability,
Rumex conglomeratus,plant_goat_palatability,low_palatability,
Rumex crispus,plant_goat_palatability,moderate_palatability,
Rumex hypogaeus,plant_goat_palatability,moderate_palatability,
Rumex obtusifolius,plant_goat_palatability,low_palatability,
Rumex pulcher,plant_goat_palatability,moderate_palatability,
Rumex sagittatus,plant_goat_palatability,high_palatability,
Salsola australis,plant_goat_palatability,moderate_palatability,
Salvia reflexa,plant_goat_palatability,moderate_palatability,
Sclerolaena birchii,plant_goat_palatability,moderate_palatability,
Sclerolaena muricata,plant_goat_palatability,moderate_palatability,
Scolymus hispanicus,plant_goat_palatability,moderate_palatability,
Senecio jacobaea,plant_goat_palatability,low_palatability,
Senecio madagascariensis,plant_goat_palatability,high_palatability,
Senecio pterophorus,plant_goat_palatability,low_palatability,
Senecio vulgaris,plant_goat_palatability,high_palatability,
Senna artemisioides,plant_goat_palatability,low_palatability,
Senna artemisioides subsp. x coriacea,plant_goat_palatability,not_eaten,
Senna barclayana,plant_goat_palatability,moderate_palatability,
Senna septemtrionalis,plant_goat_palatability,moderate_palatability,
Sida acuta,plant_goat_palatability,moderate_palatability,
Sida cordifolia,plant_goat_palatability,moderate_palatability,
Sida rhombifolia,plant_goat_palatability,high_palatability,
Silene vulgaris,plant_goat_palatability,not_eaten,
Silybum marianum,plant_goat_palatability,high_palatability,
Sisymbrium officinale,plant_goat_palatability,high_palatability,
Solanum carolinense,plant_goat_palatability,low_palatability,
Solanum cinereum,plant_goat_palatability,not_eaten,
Solanum elaeagnifolium,plant_goat_palatability,moderate_palatability,
Solanum hermannii,plant_goat_palatability,not_eaten,
Solanum marginatum,plant_goat_palatability,not_eaten,
Solanum mauritianum,plant_goat_palatability,moderate_palatability,
Solanum nigrum,plant_goat_palatability,not_eaten,
Solanum rostratum,plant_goat_palatability,not_eaten,
Soliva sessilis,plant_goat_palatability,low_palatability,
Sorghum halepense,plant_goat_palatability,high_palatability,
Sorghum x almum,plant_goat_palatability,high_palatability,
Sporobolus africanus,plant_goat_palatability,moderate_palatability,
Sporobolus caroli,plant_goat_palatability,moderate_palatability,
Sporobolus pyramidalis,plant_goat_palatability,moderate_palatability,
Stachys arvensis,plant_goat_palatability,moderate_palatability,
Stevia eupatoria,plant_goat_palatability,low_palatability,
Stipa caudata,plant_goat_palatability,moderate_palatability,
Tagetes minuta,plant_goat_palatability,moderate_palatability,
Thunbergia grandiflora,plant_goat_palatability,moderate_palatability,
Toxicodendron radicans,plant_goat_palatability,low_palatability,
Toxicodendron succedaneum,plant_goat_palatability,moderate_palatability,
Trema tomentosa var. aspera,plant_goat_palatability,toxic,
Ulex europaeus,plant_goat_palatability,high_palatability,
Urochloa panicoides,plant_goat_palatability,high_palatability,
Vachellia farnesiana,plant_goat_palatability,moderate_palatability,
Vachellia karroo,plant_goat_palatability,low_palatability,
Vachellia nilotica,plant_goat_palatability,moderate_palatability,
Ventilago viminalis,plant_goat_palatability,high_palatability,
Verbascum thapsus,plant_goat_palatability,high_palatability,
Watsonia meriana var. bulbillifera,plant_goat_palatability,moderate_palatability,
Xanthium occidentale,plant_goat_palatability,toxic,
Xanthium orientale,plant_goat_palatability,toxic,
Xanthium spinosum,plant_goat_palatability,low_palatability,
Zantedeschia aethiopica,plant_goat_palatability,not_eaten,
