Scientific Name,Response to P cinnamomi,BC Act listing,Current habitat score (A),Future habitat score,Records (adj.),Distance (adj.),Abundance score (B),Proximity score (C),Current priority score,Future priority score
Hibbertia spathulata subsp. pleioclada,Unknown,,0.65,,10,30,1.00,0.68,44,
Asterolasia elegans,Unknown,E,0.71,,13,28,0.90,0.69,44,
Genoplesium baueri,Unknown,E,0.80,,32,16,0.66,0.83,44,
Rhodamnia whiteana  ,Unknown,,0.68,,11,30,0.96,0.68,44,
Eucalyptus camphora subsp. relicta,Unknown,E,0.74,,10,48,1.00,0.59,44,
Grevillea bemboka,Unknown,,0.55,,10,18,1.00,0.80,44,
Grevillea rhyolitica subsp. rhyolitica,Unknown,,0.70,,20,17,0.77,0.81,44,
Gentianella barringtonensis  ,Unknown,,0.78,,11,53,0.96,0.58,44,
Boronia fraseri,Unknown,,0.85,,90,10,0.51,1.00,44,
Darwinia biflora,Unknown,V,0.88,,105,10,0.49,1.00,44,
Senecio psilophyllus  ,Unknown,,0.58,,10,22,1.00,0.75,44,
Velleia lyrata  ,Unknown,,0.85,,53,13,0.58,0.88,43,
Allocasuarina glareicola,Unknown,E,0.53,,17,10,0.81,1.00,43,
Diuris curta  ,Unknown,,0.72,,15,26,0.85,0.70,43,
Melichrus gibberagee,Unknown,E,0.68,,10,37,1.00,0.64,43,
Aldrovanda vesiculosa,Unknown,E,0.72,,10,47,1.00,0.60,43,
Bertya sp. Chambigne NR (M.Fatemi 24) NE Herbarium,Unknown,E,0.62,,10,28,1.00,0.69,43,
Olearia flocktoniae,Unknown,E,0.93,,57,17,0.57,0.81,43,
Denhamia moorei  ,Unknown,,0.91,,53,17,0.58,0.81,43,
Chiloglottis chlorantha  ,Unknown,,0.77,,23,21,0.73,0.76,43,
Kunzea axillaris  ,Unknown,,0.76,,19,25,0.78,0.72,43,
Eucalyptus fracta,Unknown,V,0.59,,10,24,1.00,0.72,43,
Acacia alaticaulis  ,Unknown,,0.58,,11,21,0.96,0.76,42,
Hymenophyllum lyallii  ,Unknown,,0.92,,33,27,0.66,0.70,42,
Persoonia bargoensis,Unknown,E,0.77,,65,10,0.55,1.00,42,
Epacris muelleri,Unknown,,0.85,,76,12,0.53,0.93,42,
Grevillea parviflora subsp. supplicans,Unknown,E,0.66,,37,10,0.64,1.00,42,
Eucalyptus recurva,Unknown,CE,0.48,,10,14,1.00,0.87,42,
Triplarina nowraensis,Unknown,E,0.70,,19,20,0.78,0.77,42,
Euphrasia orthocheila subsp. peraspera,Unknown,E,0.66,,10,38,1.00,0.63,42,
Philotheca salsolifolia subsp. pedicellata,Unknown,,0.87,,18,45,0.80,0.60,42,
Philotheca buxifolia subsp. obovata,Unknown,,0.89,,67,15,0.55,0.86,42,
Plectranthus alloplectus,Unknown,E,0.55,,10,21,1.00,0.75,42,
Leptospermum subglabratum,Unknown,,0.73,,26,18,0.71,0.80,42,
Telopea mongaensis,Unknown,,0.66,,38,10,0.63,1.00,42,
Genoplesium littorale,Unknown,CE,0.62,,10,31,1.00,0.67,42,
Hibbertia marginata,Unknown,V,0.70,,10,49,1.00,0.59,41,
Leionema scopulinum,Unknown,,0.62,,18,16,0.80,0.83,41,
Leptospermum thompsonii,Unknown,V,0.63,,17,18,0.81,0.80,41,
Hibbertia nitida,Unknown,,0.89,,95,12,0.51,0.92,41,
Pterostylis ventricosa,Unknown,CE,0.72,,23,19,0.73,0.78,41,
Epacris gnidioides,Unknown,V,0.73,,29,16,0.68,0.83,41,
Brachyscome mittagongensis  ,Unknown,,0.76,,39,15,0.63,0.86,41,
Pterostylis collina  ,Unknown,,0.60,,10,29,1.00,0.69,41,
Leionema lamprophyllum subsp. fractum,Unknown,CE,0.56,,10,24,1.00,0.72,41,
Prostanthera rugosa,Unknown,,0.76,,26,21,0.71,0.76,41,
Isoglossa eranthemoides,Unknown,E,0.71,,28,16,0.69,0.84,41,
Grevillea parvula,Unknown,,0.84,,41,19,0.62,0.78,41,
Grevillea acanthifolia subsp. acanthifolia,Unknown,,0.92,,76,16,0.53,0.83,41,
Grevillea juniperina subsp. trinervis,Unknown,,0.73,,18,27,0.80,0.70,40,
Rhytidosporum prostratum  ,Unknown,,0.70,,18,25,0.80,0.72,40,
Prostanthera porcata,Unknown,,0.71,,25,18,0.72,0.79,40,
Genoplesium vernale,Unknown,V,0.68,,20,20,0.77,0.77,40,
Diuris flavescens,Unknown,CE,0.62,,10,36,1.00,0.64,40,
Deyeuxia reflexa  ,Unknown,,0.79,,23,28,0.73,0.69,40,
Rhizanthella slateri,Unknown,V,0.76,,20,30,0.77,0.68,40,
Eucalyptus calidissima,Unknown,,0.58,,10,29,1.00,0.69,40,
Tetratheca glandulosa,Unknown,V,0.86,,150,10,0.46,1.00,40,
Tasmannia glaucifolia,Unknown,V,0.87,,73,15,0.54,0.85,40,
Epacris purpurascens var. onosmiflora,Unknown,,0.85,,52,18,0.58,0.79,39,
Caesalpinia bonduc,Unknown,E,0.64,,13,28,0.90,0.69,39,
Boronia rhomboidea,Unknown,,0.59,,18,16,0.80,0.84,39,
Homoranthus bruhlii,Unknown,CE,0.60,,10,34,1.00,0.65,39,
Darwinia taxifolia subsp. macrolaena,Unknown,,0.73,,34,16,0.65,0.82,39,
Doryanthes palmeri,Unknown,V,0.68,,30,15,0.68,0.85,39,
Bertya pomaderroides  ,Unknown,,0.75,,45,15,0.60,0.86,39,
Symplocos baeuerlenii,Unknown,V,0.74,,78,10,0.53,1.00,39,
Styphelia longifolia,Unknown,,0.90,,59,20,0.56,0.76,39,
Prostanthera saxicola var. montana,Unknown,,0.82,,51,18,0.59,0.80,39,
Kunzea juniperoides subsp. juniperoides,Unknown,,0.45,,10,15,1.00,0.86,39,
Eucalyptus corticosa,Unknown,V,0.68,,23,19,0.73,0.78,39,
Eucalyptus wilcoxii,Unknown,,0.58,,15,19,0.85,0.79,39,
Eucalyptus langleyi,Unknown,V,0.76,,34,20,0.65,0.77,38,
Corokia whiteana,Unknown,V,0.73,,80,10,0.53,1.00,38,
Vernicia fordii  ,Unknown,,0.60,,14,24,0.87,0.73,38,
Philotheca scabra subsp. scabra,Unknown,,0.85,,91,14,0.51,0.87,38,
Grevillea raybrownii,Unknown,V,0.84,,53,19,0.58,0.78,38,
Darwinia camptostylis,Unknown,,0.82,,56,17,0.57,0.81,38,
Dillwynia crispii,Unknown,,0.69,,28,18,0.69,0.80,38,
Pterostylis riparia,Unknown,V,0.62,,10,42,1.00,0.61,38,
Comesperma breviflorum  ,Unknown,,0.55,,10,28,1.00,0.69,38,
Juncus laeviusculus subsp. illawarrensis,Unknown,,0.84,,21,48,0.76,0.59,38,
Hymenophyllum bivalve  ,Unknown,,0.82,,31,28,0.67,0.69,38,
Hibbertia surcularis,Unknown,,0.64,,10,49,1.00,0.59,38,
Prasophyllum rogersii  ,Unknown,,0.82,,20,45,0.77,0.60,38,
Diuris praecox,Unknown,V,0.84,,25,39,0.72,0.63,38,
Bossiaea bombayensis,Unknown,E,0.48,,10,19,1.00,0.79,38,
Acacia olsenii  ,Unknown,,0.53,,12,21,0.93,0.76,38,
Melaleuca deanei,Unknown,V,0.87,,176,11,0.45,0.97,37,
Grevillea baueri subsp. baueri,Unknown,,0.78,,60,15,0.56,0.85,37,
Persoonia glaucescens,Unknown,V,0.89,,110,15,0.49,0.86,37,
Bursaria calcicola  ,Unknown,,0.65,,21,21,0.76,0.76,37,
Cassinia thinicola  ,Unknown,,0.79,,21,40,0.76,0.63,37,
Acacia blayana  ,Unknown,,0.59,,17,19,0.81,0.78,37,
Pterostylis gibbosa,Unknown,E,0.72,,26,24,0.71,0.73,37,
Diploglottis campbellii,Unknown,E,0.64,,25,17,0.72,0.81,37,
Leptospermum argenteum,Unknown,,0.83,,26,38,0.71,0.64,37,
Phyllota humifusa,Unknown,V,0.78,,46,19,0.60,0.78,37,
Corybas dowlingii,Unknown,E,0.75,,19,39,0.78,0.63,37,
Grevillea linsmithii,Unknown,,0.65,,21,22,0.76,0.75,37,
Darwinia grandiflora,Unknown,,0.94,,97,19,0.50,0.78,37,
Prostanthera stenophylla,Unknown,,0.51,,10,24,1.00,0.72,37,
Boronia umbellata,Unknown,V,0.88,,104,15,0.50,0.84,37,
Boronia hapalophylla,Unknown,E,0.83,,37,28,0.64,0.69,37,
Veronica blakelyi,Unknown,V,0.84,,66,18,0.55,0.79,37,
Grevillea evansiana,Unknown,V,0.72,,44,16,0.61,0.83,37,
Persoonia mollis subsp. nectens,Unknown,,0.92,,79,21,0.53,0.75,37,
Acronychia suberosa,Unknown,,0.76,,49,17,0.59,0.81,37,
Lepyrodia oligocolea  ,Unknown,,0.69,,15,40,0.85,0.62,36,
Grevillea juniperina subsp. sulphurea,Unknown,,0.65,,22,21,0.74,0.75,36,
Hibbertia patens,Unknown,,0.57,,10,36,1.00,0.64,36,
Leucopogon exolasius,Unknown,V,0.88,,94,17,0.51,0.81,36,
Eucalyptus gregsoniana,Unknown,,0.79,,74,15,0.53,0.85,36,
Acacia chalkeri  ,Unknown,,0.51,,10,26,1.00,0.71,36,
Grevillea kedumbensis,Unknown,,0.51,,26,10,0.71,1.00,36,
Grevillea humilis subsp. maritima,Unknown,,0.81,,23,45,0.73,0.61,36,
Genoplesium ruppii  ,Unknown,,0.79,,25,37,0.72,0.64,36,
Solanum armourense,Unknown,E,0.64,,21,22,0.76,0.74,36,
Deyeuxia acuminata  ,Unknown,,0.61,,10,50,1.00,0.59,36,
Callistemon montanus  ,Unknown,,0.72,,17,44,0.81,0.61,36,
Diuris eborensis,Unknown,E,0.66,,12,50,0.93,0.59,36,
Pterostylis saxicola,Unknown,E,0.66,,44,13,0.61,0.89,36,
Davidsonia jerseyana,Unknown,E,0.61,,26,16,0.71,0.82,36,
Solanum sulphureum,Unknown,E,0.56,,10,37,1.00,0.64,36,
Philotheca scabra subsp. latifolia,Unknown,,0.77,,68,15,0.55,0.84,36,
Zieria floydii,Unknown,E,0.55,,10,36,1.00,0.64,36,
Acacia georgensis,Unknown,V,0.64,,27,19,0.70,0.79,35,
Prostanthera densa,Unknown,V,0.85,,42,30,0.62,0.67,35,
Diuris disposita,Unknown,E,0.50,,10,26,1.00,0.71,35,
Davidsonia johnsonii,Unknown,E,0.66,,54,12,0.58,0.92,35,
Eucalyptus paliformis,Unknown,,0.59,,31,13,0.67,0.89,35,
Grevillea irrasa subsp. didymochiton,Unknown,,0.64,,20,25,0.77,0.71,35,
Homoranthus lunatus,Unknown,V,0.65,,15,37,0.85,0.64,35,
Leionema carruthersii,Unknown,,0.71,,33,21,0.66,0.75,35,
Olax angulata,Unknown,V,0.84,,25,52,0.72,0.58,35,
Bursaria cayzerae  ,Unknown,,0.71,,15,52,0.85,0.58,35,
Boronia barkeriana subsp. angustifolia,Unknown,,0.83,,66,20,0.55,0.76,35,
Gentiana bredboensis,Unknown,CE,0.44,,10,18,1.00,0.80,35,
Nematolepis elliptica,Unknown,,0.45,,10,20,1.00,0.77,35,
Persoonia laurina subsp. intermedia,Unknown,,0.77,,68,16,0.55,0.82,35,
Leucopogon recurvisepalus,Unknown,,0.74,,18,50,0.80,0.59,35,
Durringtonia paludosa  ,Unknown,,0.68,,23,27,0.73,0.70,35,
Prostanthera saxicola var. major,Unknown,,0.59,,13,34,0.90,0.65,35,
Epacris lanuginosa,Unknown,,0.41,,10,16,1.00,0.84,35,
Isopogon mnoraifolius,Unknown,,0.78,,22,47,0.74,0.60,35,
Leionema lamprophyllum subsp. orbiculare,Unknown,,0.74,,43,21,0.61,0.76,34,
Myrsine richmondensis,Unknown,E,0.63,,16,33,0.83,0.66,34,
Daphnandra johnsonii,Unknown,E,0.89,,58,29,0.57,0.68,34,
Banksia penicillata,Unknown,,0.83,,91,17,0.51,0.81,34,
Leucopogon rodwayi,Unknown,,0.73,,28,31,0.69,0.67,34,
Prasophyllum wilkinsoniorum  ,Unknown,,0.38,,10,13,1.00,0.89,34,
"Quassia sp. Moonee Creek (King s.n., Nov 1949)",Unknown,E,0.88,,63,28,0.56,0.69,34,
Eucalyptus triflora,Unknown,,0.73,,57,17,0.57,0.81,34,
Korthalsella breviarticulata  ,Unknown,,0.46,,10,22,1.00,0.74,34,
Grevillea aspleniifolia,Unknown,,0.67,,53,14,0.58,0.87,34,
Eucalyptus scias subsp. apoda,Unknown,,0.69,,22,32,0.74,0.66,34,
Leptospermum epacridoideum,Unknown,,0.77,,55,21,0.57,0.76,34,
Boronia subulifolia,Unknown,,0.68,,45,17,0.60,0.82,34,
Agiortia cicatricata  ,Unknown,,0.80,,32,37,0.66,0.64,34,
Triplarina imbricata,Unknown,E,0.71,,26,31,0.71,0.67,34,
Melichrus hirsutus,Unknown,E,0.81,,42,30,0.62,0.67,33,
Persoonia mollis subsp. revoluta,Unknown,V,0.76,,46,23,0.60,0.73,33,
Pomaderris bodalla,Unknown,V,0.70,,35,23,0.65,0.73,33,
Caladenia hillmanii  ,Unknown,,0.76,,28,38,0.69,0.63,33,
Pomaderris ligustrina subsp. latifolia,Unknown,,0.55,,10,46,1.00,0.60,33,
Grevillea acerata,Unknown,,0.72,,63,16,0.56,0.82,33,
Boronia repanda,Unknown,E,0.59,,10,61,1.00,0.56,33,
Eucalyptus boliviana,Unknown,V,0.52,,10,36,1.00,0.64,33,
Eucalyptus camfieldii,Unknown,V,0.91,,117,22,0.48,0.75,33,
Eucalyptus sturgissiana,Unknown,V,0.80,,69,21,0.54,0.75,33,
Senecio esleri  ,Unknown,,0.53,,10,42,1.00,0.62,33,
Picris burbidgeae  ,Unknown,,0.62,,17,34,0.81,0.65,33,
Persoonia hirsuta,Unknown,E,0.81,,161,13,0.45,0.89,33,
Persoonia acuminata,Unknown,,0.80,,62,23,0.56,0.73,33,
Grevillea quadricauda,Unknown,V,0.67,,16,51,0.83,0.58,33,
Genoplesium formosum  ,Unknown,,0.39,,10,16,1.00,0.83,32,
Prostanthera hindii,Unknown,,0.73,,40,25,0.62,0.71,32,
Grevillea juniperina subsp. villosa,Unknown,,0.52,,21,16,0.76,0.83,32,
Pultenaea alea,Unknown,,0.73,,21,51,0.76,0.59,32,
Grevillea macleayana,Unknown,,0.74,,62,19,0.56,0.79,32,
Hibbertia tenuifolia,Unknown,E,0.48,,10,31,1.00,0.67,32,
Zieria caducibracteata,Unknown,,0.76,,84,16,0.52,0.82,32,
Eucalyptus olsenii,Unknown,,0.56,,27,17,0.70,0.82,32,
Eucalyptus expressa,Unknown,,0.57,,18,26,0.80,0.71,32,
Pomaderris crassifolia,Unknown,,0.50,,10,37,1.00,0.64,32,
Pterostylis nigricans,Unknown,V,0.80,,34,43,0.65,0.61,32,
Ricinocarpos speciosus  ,Unknown,,0.74,,38,29,0.63,0.68,32,
Homoranthus croftianus,Unknown,E,0.49,,10,35,1.00,0.65,32,
Pultenaea tarik,Unknown,,0.72,,52,20,0.58,0.76,32,
Pimelea cremnophila,Unknown,CE,0.32,,10,10,1.00,1.00,32,
Paspalidium grandispiculatum,Unknown,V,0.68,,18,51,0.80,0.58,32,
Pterostylis bicornis,Unknown,E,0.39,,10,18,1.00,0.80,32,
Grevillea divaricata,Unknown,E,0.33,,10,11,1.00,0.96,32,
Floydia praealta,Unknown,V,0.71,,70,17,0.54,0.82,32,
Persoonia oxycoccoides,Unknown,E,0.74,,62,21,0.56,0.76,31,
Eucalyptus imitans,Unknown,,0.74,,59,21,0.56,0.75,31,
Pomaderris virgata,Unknown,,0.51,,22,16,0.74,0.83,31,
Commersonia prostrata,Unknown,E,0.72,,34,32,0.65,0.67,31,
Callitris oblonga subsp. parva,Unknown,V,0.62,,15,49,0.85,0.59,31,
Acacia covenyi  ,Unknown,,0.59,,24,24,0.72,0.73,31,
Endiandra floydii,Unknown,E,0.59,,40,15,0.62,0.85,31,
Allocasuarina simulans,Unknown,V,0.64,,16,53,0.83,0.58,31,
Pultenaea robusta,Unknown,,0.79,,43,38,0.61,0.63,31,
Pultenaea maritima,Unknown,V,0.77,,38,39,0.63,0.63,31,
Plectranthus nitidus,Unknown,E,0.63,,18,43,0.80,0.61,31,
Prostanthera petraea,Unknown,,0.68,,22,46,0.74,0.60,31,
Micromyrtus minutiflora,Unknown,E,0.54,,61,10,0.56,1.00,30,
Bosistoa floydii  ,Unknown,,0.71,,37,31,0.64,0.67,30,
Acacia cangaiensis  ,Unknown,,0.62,,28,26,0.69,0.71,30,
Boronia boliviensis,Unknown,E,0.47,,10,35,1.00,0.65,30,
Leionema coxii,Unknown,,0.61,,38,19,0.63,0.78,30,
Acacia floydii  ,Unknown,,0.67,,25,39,0.72,0.63,30,
Grevillea juniperina subsp. amphitricha,Unknown,,0.54,,25,19,0.72,0.79,30,
Pomaderris brunnea,Unknown,E,0.62,,61,14,0.56,0.86,30,
Ochrosia moorei,Unknown,E,0.68,,82,16,0.52,0.84,30,
Eucalyptus olida,Unknown,,0.75,,45,33,0.60,0.66,30,
Eucalyptus baeuerlenii,Unknown,,0.67,,46,23,0.60,0.73,30,
Geranium graniticola  ,Unknown,,0.74,,47,31,0.60,0.67,30,
Pimelea venosa,Unknown,E,0.50,,10,48,1.00,0.59,30,
Homoranthus elusus,Unknown,CE,0.49,,10,44,1.00,0.61,30,
Lepyrodia imitans  ,Unknown,,0.75,,46,34,0.60,0.65,30,
Pterostylis barringtonensis  ,Unknown,,0.50,,10,49,1.00,0.59,30,
Diuris venosa,Unknown,V,0.59,,16,46,0.83,0.60,29,
Zieria granulata,Unknown,E,0.88,,102,31,0.50,0.67,29,
Pterostylis calceolus  ,Unknown,,0.50,,10,49,1.00,0.59,29,
Haloragodendron monospermum,Unknown,,0.54,,23,22,0.73,0.75,29,
Cryptocarya williwilliana  ,Unknown,,0.59,,30,23,0.68,0.73,29,
Acacia serpentinicola  ,Unknown,,0.47,,10,39,1.00,0.63,29,
Styphelia psiloclada,Unknown,,0.49,,16,25,0.83,0.72,29,
Pomaderris brogoensis,Unknown,,0.62,,36,23,0.64,0.73,29,
Allocasuarina ophiolitica  ,Unknown,,0.45,,10,36,1.00,0.64,29,
Haloragis exalata subsp. exalata,Unknown,V,0.68,,47,25,0.60,0.71,29,
Prasophyllum dossenum  ,Unknown,,0.58,,13,64,0.90,0.55,29,
Grevillea acanthifolia subsp. stenomera,Unknown,,0.73,,52,31,0.58,0.67,29,
Prasophyllum caricetum  ,Unknown,,0.38,,10,20,1.00,0.77,29,
Tylophora woollsii,Unknown,E,0.78,,57,36,0.57,0.64,29,
Grevillea baueri subsp. asperula,Unknown,,0.74,,90,21,0.51,0.75,29,
Acacia kydrensis  ,Unknown,,0.57,,27,25,0.70,0.72,28,
Hibbertia expansa,Unknown,,0.43,,10,34,1.00,0.65,28,
Allocasuarina defungens,Unknown,E,0.71,,47,32,0.60,0.66,28,
Solanum celatum,Unknown,E,0.80,,101,25,0.50,0.71,28,
Prasophyllum solstitium  ,Unknown,,0.47,,10,44,1.00,0.61,28,
Pimelea curviflora var. curviflora,Unknown,V,0.78,,123,21,0.48,0.76,28,
Acacia clunies-rossiae,Unknown,V,0.60,,90,12,0.51,0.92,28,
Coopernookia chisholmii  ,Unknown,,0.71,,54,29,0.58,0.68,28,
Conospermum burgessiorum,Unknown,,0.70,,48,31,0.59,0.67,28,
Persoonia laurina subsp. leiogyna,Unknown,,0.73,,75,24,0.53,0.72,28,
Eucalyptus hypostomatica,Unknown,,0.70,,59,26,0.56,0.70,28,
Genoplesium oliganthum  ,Unknown,,0.51,,19,26,0.78,0.70,28,
Eucalyptus moorei subsp. serpentinicola,Unknown,,0.51,,15,35,0.85,0.65,28,
Westringia sericea  ,Unknown,,0.50,,10,63,1.00,0.56,28,
Prasophyllum caudiculum  ,Unknown,,0.47,,10,50,1.00,0.59,28,
Pomaderris helianthemifolia subsp. hispida,Unknown,,0.46,,13,31,0.90,0.67,28,
Persoonia daphnoides,Unknown,,0.64,,24,48,0.72,0.60,28,
Caladenia tessellata,Unknown,E,0.64,,36,31,0.64,0.67,28,
Eucalyptus rudderi,Unknown,,0.59,,23,36,0.73,0.64,28,
Asterolasia buckinghamii,Unknown,,0.64,,16,85,0.83,0.52,28,
Persoonia katerae,Unknown,,0.59,,30,28,0.68,0.69,28,
Boronia inflexa subsp. torringtonensis,Unknown,CE,0.43,,10,37,1.00,0.64,28,
Persicaria elatior,Unknown,V,0.69,,43,34,0.61,0.65,27,
Allocasuarina rupicola  ,Unknown,,0.55,,17,43,0.81,0.61,27,
Leucopogon sp. Torrington (L.M.Copeland 3720),Unknown,,0.42,,10,36,1.00,0.64,27,
Hibbertia demissa,Unknown,,0.45,,10,45,1.00,0.60,27,
Acacia baeuerlenii  ,Unknown,,0.78,,49,52,0.59,0.58,27,
Solanum limitare,Unknown,E,0.50,,15,37,0.85,0.64,27,
Persoonia microphylla,Unknown,,0.57,,49,18,0.59,0.80,27,
Tinospora tinosporoides,Unknown,V,0.72,,221,14,0.43,0.87,27,
Veronica sobolifera  ,Unknown,,0.77,,44,57,0.61,0.57,27,
Pultenaea hartmannii,Unknown,,0.47,,10,59,1.00,0.57,27,
Pomaderris parrisiae,Unknown,V,0.40,,19,15,0.78,0.85,27,
Acacia pubescens,Unknown,V,0.71,,264,13,0.41,0.90,27,
Pseudanthus pauciflorus  ,Unknown,,0.61,,24,47,0.72,0.60,27,
Solanum curvicuspe  ,Unknown,,0.68,,52,32,0.58,0.66,26,
Leionema westonii,Unknown,CE,0.36,,10,23,1.00,0.73,26,
Bossiaea rupicola  ,Unknown,,0.38,,10,29,1.00,0.68,26,
Persoonia rufa,Unknown,,0.71,,73,29,0.54,0.68,26,
Acacia lucasii  ,Unknown,,0.45,,25,17,0.72,0.82,26,
Diospyros mabacea,Unknown,E,0.55,,40,21,0.62,0.75,26,
Cryptostylis hunteriana,Unknown,V,0.77,,81,37,0.52,0.64,26,
Eucalyptus stenostoma,Unknown,,0.58,,57,20,0.57,0.77,26,
Gossia fragrantissima,Unknown,E,0.65,,91,20,0.51,0.77,26,
Acronychia littoralis,Unknown,E,0.72,,84,29,0.52,0.68,26,
Eucalyptus kartzoffiana,Unknown,V,0.63,,66,23,0.55,0.73,25,
Solanum spirale  ,Unknown,,0.62,,42,33,0.62,0.66,25,
Spyridium burragorang  ,Unknown,,0.48,,19,30,0.78,0.68,25,
Grevillea banyabba,Unknown,V,0.69,,39,53,0.63,0.58,25,
Hakea fraseri,Unknown,V,0.35,,15,15,0.85,0.84,25,
Niemeyera whitei,Unknown,V,0.84,,624,16,0.36,0.84,25,
Endiandra hayesii,Unknown,V,0.66,,159,16,0.45,0.84,25,
Cryptocarya foetida,Unknown,V,0.65,,78,23,0.53,0.73,25,
Dodonaea serratifolia  ,Unknown,,0.57,,32,34,0.66,0.66,25,
Grevillea masonii,Unknown,E,0.61,,30,47,0.68,0.60,25,
Boronia safrolifera,Unknown,,0.76,,92,38,0.51,0.63,25,
Bossiaea oligosperma,Unknown,V,0.51,,38,21,0.63,0.76,25,
Hicksbeachia pinnatifolia,Unknown,V,0.66,,226,14,0.42,0.87,25,
Pterostylis elegans,Unknown,V,0.65,,37,50,0.64,0.59,24,
Persoonia adenantha,Unknown,,0.65,,89,24,0.51,0.72,24,
Phebalium glandulosum subsp. eglandulosum,Unknown,E,0.38,,10,37,1.00,0.64,24,
Euphrasia ciliolata,Unknown,V,0.71,,60,44,0.56,0.61,24,
Thesium australe,Unknown,V,0.26,,11,11,0.96,0.95,24,
Acianthus apprimus  ,Unknown,,0.66,,40,50,0.62,0.59,24,
Hibbertia acuminata,Unknown,,0.70,,52,51,0.58,0.59,24,
Syzygium hodgkinsoniae,Unknown,V,0.67,,230,16,0.42,0.84,24,
Cassia marksiana,Unknown,E,0.56,,62,21,0.56,0.75,24,
Pomaderris costata,Unknown,,0.51,,36,24,0.64,0.72,24,
Rhodamnia maideniana,Unknown,CE,0.61,,109,19,0.49,0.78,24,
Leiocarpa serpens  ,Unknown,,0.51,,20,45,0.77,0.61,24,
Homoranthus cernuus  ,Unknown,,0.46,,29,22,0.68,0.75,24,
Pterostylis chaetophora,Unknown,V,0.61,,56,32,0.57,0.66,23,
Eucalyptus macarthurii,Unknown,E,0.72,,214,21,0.43,0.76,23,
Pultenaea rostrata,Unknown,,0.77,,89,49,0.51,0.59,23,
Persoonia procumbens,Unknown,,0.66,,48,48,0.59,0.59,23,
Persoonia marginata,Unknown,V,0.56,,44,31,0.61,0.67,23,
Eucalyptus rummeryi,Unknown,,0.70,,79,40,0.53,0.62,23,
Eucalyptus ancophila,Unknown,,0.53,,45,25,0.60,0.71,23,
Persoonia nutans,Unknown,E,0.52,,188,10,0.44,1.00,23,
Desmodium acanthocladum,Unknown,V,0.65,,146,21,0.46,0.76,23,
Cassinia straminea  ,Unknown,,0.47,,16,52,0.83,0.58,23,
Eucalyptus scoparia,Unknown,E,0.76,,135,37,0.47,0.64,23,
Ancistrachne maidenii,Unknown,V,0.71,,68,52,0.55,0.58,23,
Angophora inopina,Unknown,V,0.78,,167,36,0.45,0.64,22,
Pterostylis tenuis  ,Unknown,,0.43,,19,32,0.78,0.66,22,
Philotheca epilosa,Unknown,,0.60,,42,45,0.62,0.60,22,
Pomaderris cotoneaster,Unknown,E,0.57,,40,39,0.62,0.63,22,
Callitris baileyi,Unknown,V,0.39,,13,38,0.90,0.64,22,
Cheiranthera borealis  ,Unknown,,0.39,,10,56,1.00,0.57,22,
Asperula asthenes,Unknown,V,0.61,,63,34,0.56,0.65,22,
Diuris aequalis,Unknown,E,0.50,,32,30,0.66,0.67,22,
Macrozamia montana  ,Unknown,,0.50,,23,45,0.73,0.60,22,
Daviesia suaveolens,Unknown,,0.55,,62,25,0.56,0.72,22,
Eucalyptus benthamii,Unknown,CE,0.48,,60,17,0.56,0.82,22,
Corchorus cunninghamii,Unknown,E,0.38,,22,20,0.74,0.77,22,
Haloragodendron baeuerlenii,Unknown,,0.48,,20,50,0.77,0.59,22,
Pultenaea parviflora,Unknown,E,0.53,,117,15,0.48,0.85,22,
Boronia chartacea,Unknown,,0.63,,49,52,0.59,0.58,22,
Acacia dangarensis,Unknown,CE,0.30,,10,23,1.00,0.73,22,
Melaleuca biconvexa,Unknown,V,0.78,,332,28,0.40,0.69,22,
Hibbertia pachynemidium,Unknown,,0.39,,10,71,1.00,0.54,21,
Clematis fawcettii,Unknown,V,0.53,,39,36,0.63,0.64,21,
Gentiana baeuerlenii,Unknown,E,0.31,,10,29,1.00,0.68,21,
Prostanthera cineolifera,Unknown,V,0.53,,27,56,0.70,0.57,21,
Acacia clandullensis  ,Unknown,,0.45,,29,29,0.68,0.69,21,
Acacia bynoeana,Unknown,E,0.76,,286,30,0.41,0.68,21,
Pimelea spicata,Unknown,E,0.60,,82,31,0.52,0.67,21,
Persoonia myrtilloides subsp. cunninghamii,Unknown,,0.52,,43,33,0.61,0.66,21,
Myriophyllum latifolium  ,Unknown,,0.62,,62,45,0.56,0.61,21,
Eucalyptus tetrapleura,Unknown,V,0.74,,142,44,0.46,0.61,21,
Owenia cepiodora,Unknown,V,0.58,,63,34,0.56,0.65,21,
Westringia kydrensis,Unknown,E,0.34,,14,26,0.87,0.70,21,
Marsdenia longiloba,Unknown,E,0.68,,212,26,0.43,0.71,21,
Macadamia tetraphylla,Unknown,V,0.68,,334,20,0.40,0.77,21,
Syzygium moorei,Unknown,V,0.63,,288,17,0.41,0.81,21,
Sannantha crassa  ,Unknown,,0.50,,43,31,0.61,0.67,21,
Maundia triglochinoides,Unknown,V,0.71,,146,38,0.46,0.63,21,
Phebalium verrucosum,Unknown,,0.45,,29,31,0.68,0.67,21,
Eucalyptus psammitica,Unknown,,0.67,,83,50,0.52,0.59,21,
Callistemon linearifolius,Unknown,V,0.75,,223,37,0.43,0.64,20,
Callistemon flavovirens  ,Unknown,,0.52,,37,45,0.64,0.61,20,
