Taxon,EPBC status,MNES_DCCEEW maps
Acacia volubilis,Endangered,724.7005508
Acacia whibleyana,Endangered,31.51374485
Acacia wilsonii,Endangered,181.8981374
Acacia woodmaniorum,Endangered,22.57592303
Acanthocladium dockeri,Critically Endangered,76.57477879
Achyranthes arborescens,Critically Endangered,37.76261859
Achyranthes margaretarum,Critically Endangered,2.518234784
Acriopsis emarginata,Vulnerable,2781.242396
Acronychia littoralis,Endangered,1107.082366
Acrophyllum australe,Vulnerable,113.0954159
Actephila foetida,Vulnerable,78.50325624
Actinotus schwarzii,Vulnerable,381.9920444
Adenanthos dobagii,Endangered,2964.432291
Adenanthos ellipticus,Vulnerable,242.5509264
Adenanthos eyrei,Endangered,1839.40994
Adenanthos pungens subsp. effusus,Endangered,2362.708068
Adenanthos pungens subsp. pungens,Vulnerable,1042.778431
Adenanthos velutinus,Endangered,0.081422689
Alectryon ramiflorus,Endangered,57.05044715
Allocasuarina defungens,Endangered,155.1279569
Allocasuarina emuina,Endangered,90.77068418
Allocasuarina fibrosa,Vulnerable,79.12440461
Allocasuarina glareicola,Endangered,599.5228484
Allocasuarina portuensis,Endangered,1.238250154
Allocasuarina robusta,Endangered,54.4266856
Allocasuarina simulans,Vulnerable,70.72496002
Allocasuarina thalassoscopica,Endangered,358.2646011
Allocasuarina tortiramula,Vulnerable,50.6477499
Alloxylon flammeum,Vulnerable,1577.431521
Almaleea cambagei,Vulnerable,500.3216808
Ammobium craspedioides,Vulnerable,12003.29763
Amphibromus fluitans,Vulnerable,51828.90028
Amyema plicatula,Endangered,263.4260125
Andersonia annelsii,Critically Endangered,128.168159
Andersonia axilliflora,Endangered,13.44579684
Andersonia gracilis,Endangered,1526.868354
Andersonia pinaster,Vulnerable,43.16683632
Androcalva adenothalia,Critically Endangered,50.0612573
Androcalva bivillosa,Critically Endangered,1061.727043
Androcalva perlaria,Endangered,27.6934688
Androcalva procumbens,Vulnerable,15269.45283
Androcalva rosea,Endangered,14.26206625
Angophora inopina,Vulnerable,1169.982392
Angophora robur,Vulnerable,1762.232803
Anigozanthos bicolor subsp. minor,Endangered,21542.49382
Anigozanthos viridis subsp. terraspectans,Vulnerable,2294.08101
Anthocercis gracilis,Vulnerable,164.8476786
Apatophyllum olsenii,Vulnerable,113.952878
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),Vulnerable,73.80653784
Aponogeton bullosus,Endangered,1299.096163
Aponogeton prolifer,Endangered,91.61180919
Archidendron lovelliae,Vulnerable,1248.507896
Archontophoenix myolensis,Endangered,11.46809779
Argyrotegium nitidulum,Vulnerable,325.1117971
Aristida annua,Vulnerable,2788.054626
Aristida granitica,Endangered,16.01167639
Arthraxon hispidus,Vulnerable,6803.943277
Asperula asthenes,Vulnerable,1970.440857
Asplenium hookerianum,Vulnerable,115.5562006
Asplenium listeri,Critically Endangered,46.61464972
Asplenium pellucidum,Vulnerable,261.0923383
Asplenium wildii,Vulnerable,410.9901732
Astelia australiana,Vulnerable,227.1664837
Asterolasia elegans,Endangered,773.7253354
Asterolasia nivea,Vulnerable,34.97609265
Asterolasia phebalioides,Vulnerable,757.8621871
Astrotricha crassifolia,Vulnerable,509.8687333
Astrotricha roddii,Endangered,916.8701332
Atalaya brevialata,Critically Endangered,37.17202618
Atalaya collina,Endangered,36.41861296
Atriplex infrequens,Vulnerable,414.547964
Atriplex yeelirrie,Endangered,199.8328872
Austrostipa bronwenae,Endangered,5.047369086
Austrostipa jacobsiana,Critically Endangered,7.652745697
Austrostipa metatoris,Vulnerable,908.1960792
Austrostipa wakoolica,Endangered,32219.3165
Azorella macquariensis,Critically Endangered,70.978761
Baeckea kandos,Endangered,1.635763894
Ballantinia antipoda,Endangered,14.8422898
Baloghia marmorata,Vulnerable,636.7693706
Baloskion longipes,Vulnerable,594.2805005
Banksia anatona,Critically Endangered,679.0608978
Banksia aurantia,Critically Endangered,184.0333839
Banksia brownii,Endangered,3401.752202
Banksia catoglypta,Vulnerable,492.5940459
Banksia cuneata,Endangered,258.0907563
Banksia fuscobractea,Critically Endangered,57.07952317
Banksia goodii,Vulnerable,309.4176837
Banksia ionthocarpa,Endangered,8.055004369
Banksia mimica,Endangered,248.5177199
Banksia montana,Endangered,5.960048907
Banksia nivea subsp. uliginosa,Endangered,2640.998014
Banksia oligantha,Endangered,8731.577238
Banksia pseudoplumosa,Endangered,3387.969725
Banksia rufa subsp. pumila,Endangered,545.4091464
Banksia serratuloides subsp. perissa,Critically Endangered,489.1220234
Banksia serratuloides subsp. serratuloides,Vulnerable,274.7595632
Banksia sphaerocarpa var. dolichostyla,Vulnerable,8482.935422
Banksia squarrosa subsp. argillacea,Vulnerable,2302.654421
Banksia verticillata,Vulnerable,425.8073669
Banksia vincentia,Critically Endangered,37.38075319
Barbarea australis,Endangered,5212.42093
Bertya calycina,Vulnerable,234.5247666
Bertya ernestiana,Vulnerable,214.0174383
Bertya granitica,Endangered,11.61338093
Bertya ingramii,Endangered,9.141628395
Bertya opponens,Vulnerable,2054.972997
Bertya pinifolia,Vulnerable,34.04334799
Bertya tasmanica subsp. tasmanica,Endangered,60.19114004
Beyeria lepidopetala,Endangered,2148.956486
Beyeria subtecta,Vulnerable,83.0866018
Blechnum norfolkianum,Endangered,8.068774152
Boehmeria australis subsp. australis,Critically Endangered,7.271613212
Boronia adamsiana,Vulnerable,3157.410822
Boronia capitata subsp. capitata,Endangered,3806.276933
Boronia clavata,Endangered,211.2678107
Boronia deanei,Vulnerable,1354.042557
Boronia exilis,Endangered,17.35071131
Boronia galbraithiae,Vulnerable,136.4829553
Boronia granitica,Endangered,1166.027964
Boronia gunnii,Vulnerable,318.0843011
Boronia hemichiton,Vulnerable,1.314921859
Boronia hippopala,Vulnerable,360.0750241
Boronia keysii,Vulnerable,77.81224929
Boronia quadrilata,Vulnerable,26.6460252
Boronia repanda,Endangered,103.6472742
Boronia revoluta,Endangered,3.556109232
Boronia umbellata,Vulnerable,216.8775807
Boronia viridiflora,Vulnerable,47.29733351
Borya mirabilis,Endangered,25.545503
Bosistoa transversa,Vulnerable,38114.69194
Bossiaea fragrans,Critically Endangered,3.46666732
Bossiaea oligosperma,Vulnerable,212.5092576
Bossiaea peninsularis,Endangered,64.751917
Bossiaea sp. Frankland (E.M.Sandiford EMS 896),Endangered,4.300551915
Bothriochloa bunyensis,Vulnerable,821.5897451
Brachychiton sp. Ormeau (L.H.Bird AQ435851),Critically Endangered,4.717349133
Brachyscias verecundus,Critically Endangered,7.360531311
Brachyscome muelleri,Endangered,1.26522176
Brachyscome muelleroides,Vulnerable,1675.06873
Brachyscome papillosa,Vulnerable,13531.5989
Bruguiera hainesii,Critically Endangered,617.4155778
Budawangia gnidioides,Vulnerable,113.3006755
Bulbophyllum globuliforme,Vulnerable,1801.074643
Bulbophyllum gracillimum,Vulnerable,93.68937932
Bulbophyllum longiflorum,Vulnerable,15.49043965
Burmannia sp. Bathurst Island (R.Fensham 1021),Endangered,2500.265628
Cadellia pentastylis,Vulnerable,161353.4558
Cajanus mareebensis,Endangered,59620.23377
Caladenia actensis,Critically Endangered,42.83247211
Caladenia amoena,Endangered,55.87004182
Caladenia anthracina,Critically Endangered,617.0970201
Caladenia arenaria,Endangered,395.8117807
Caladenia argocalla,Endangered,555.2210745
Caladenia atroclavia,Endangered,176.5354603
Caladenia attenuata,Critically Endangered,13.3506012
Caladenia audasii,Endangered,1934.772569
Caladenia barbarella,Endangered,956.6005549
Caladenia behrii,Endangered,204.7123472
Caladenia brumalis,Vulnerable,650.7155112
Caladenia bryceana subsp. bryceana,Endangered,543.2067071
Caladenia bryceana subsp. cracens,Vulnerable,538.5602639
Caladenia busselliana,Endangered,112.9320933
Caladenia caesarea subsp. maritima,Endangered,5.893041861
Caladenia calcicola,Vulnerable,75.46551024
Caladenia campbellii,Critically Endangered,32.46516376
Caladenia caudata,Vulnerable,8405.779033
Caladenia christineae,Vulnerable,3566.686819
Caladenia colorata,Endangered,6187.215284
Caladenia concolor,Vulnerable,2370.784316
Caladenia conferta,Endangered,33.44884567
Caladenia cremna,Critically Endangered,155.6949727
Caladenia dienema,Endangered,148.8703919
Caladenia dorrienii,Endangered,1353.632631
Caladenia drakeoides,Endangered,853.1988009
Caladenia elegans,Endangered,1376.769842
Caladenia excelsa,Endangered,71.53186177
Caladenia formosa,Vulnerable,1255.659639
Caladenia fulva,Endangered,59.55772908
Caladenia gladiolata,Endangered,794.1374295
Caladenia graniticola,Endangered,801.1769947
Caladenia granitora,Endangered,15.70508087
Caladenia harringtoniae,Vulnerable,7534.816466
Caladenia hastata,Endangered,119.5125191
Caladenia hoffmanii,Endangered,9284.407031
Caladenia hopperiana,Endangered,41.14203532
Caladenia huegelii,Endangered,1014.191925
Caladenia insularis,Vulnerable,120.0253644
Caladenia intuta,Critically Endangered,83.48390446
Caladenia leucochila,Endangered,219.7042469
Caladenia lindleyana,Critically Endangered,71.46346815
Caladenia lodgeana,Critically Endangered,271.6833944
Caladenia lowanensis,Endangered,158.1461428
Caladenia luteola,Critically Endangered,7.335541919
Caladenia macroclavia,Endangered,272.0419639
Caladenia melanema,Critically Endangered,662.2717769
Caladenia orientalis,Endangered,198.3141225
Caladenia ornata,Vulnerable,2109.819043
Caladenia ovata,Vulnerable,706.1314396
Caladenia pallida,Critically Endangered,341.8723248
Caladenia procera,Critically Endangered,13.35131181
Caladenia pumila,Critically Endangered,351.0159058
Caladenia richardsiorum,Endangered,184.4380477
Caladenia rigida,Endangered,629.2248428
Caladenia robinsonii,Endangered,30.47668796
Caladenia rosella,Endangered,16.54757322
Caladenia saggicola,Critically Endangered,1.365209812
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),Critically Endangered,0.525665734
Caladenia sylvicola,Critically Endangered,29.99199817
Caladenia tensa,Endangered,106759.6003
Caladenia tessellata,Vulnerable,27948.97126
Caladenia thysanochila,Endangered,12.84307264
Caladenia tonellii,Critically Endangered,183.9070506
Caladenia versicolor,Vulnerable,1358.687253
Caladenia viridescens,Endangered,40.76924401
Caladenia wanosa,Vulnerable,440.512398
Caladenia williamsiae,Endangered,0.551511704
Caladenia winfieldii,Endangered,65.30644651
Caladenia woolcockiorum,Vulnerable,198.4876713
Caladenia xanthochila,Endangered,137.1775032
Caladenia xantholeuca,Endangered,304.4146454
Calectasia cyanea,Critically Endangered,126.1196427
Calectasia pignattiana,Vulnerable,1208.824049
Callistemon forresterae,Vulnerable,21.94292621
Callistemon kenmorrisonii,Vulnerable,20.62274127
Callistemon megalongensis,Critically Endangered,9.438183736
Callistemon pungens,Vulnerable,20511.59293
Callistemon purpurascens,Critically Endangered,4.007245504
Callistemon wimmerensis,Critically Endangered,34.63068448
Callitris oblonga,Vulnerable,825.2379473
Callitris oblonga subsp. oblonga,Endangered,77.65495256
Calochilus cupreus,Critically Endangered,2.202623231
Calochilus psednus,Endangered,7.893597881
Calochilus richiae,Endangered,17.48764986
Calophyllum bicolor,Vulnerable,3261.325295
Calotis glandulosa,Vulnerable,8211.696701
Calotis moorei,Endangered,7483.551487
Calystegia affinis,Critically Endangered,7.772317461
Calytrix breviseta subsp. breviseta,Endangered,31.44036713
Calytrix gurulmundensis,Vulnerable,600.6192013
Canarium acutifolium,Vulnerable,471.2560965
Capparis thozetiana,Vulnerable,339.5622537
Carronia pedicellata,Endangered,2208.483307
Cassinia rugata,Vulnerable,57.55383521
Cassinia tegulata,Critically Endangered,117.458187
Centrolepis pedderensis,Endangered,617.8099784
Cepobaculum carronii,Vulnerable,18802.90665
Chamelaucium sp. Cataby (G.J.Keighery 11009),Vulnerable,11.49661979
Chamelaucium sp. Gingin (N.G.Marchant 6),Endangered,260.4822644
Chamelaucium sp. S coastal plain (R.D.Royce 4872),Vulnerable,467.6954292
Cheiranthera volubilis,Vulnerable,2501.941907
Chingia australis,Endangered,1769.58592
Chordifex abortivus,Endangered,631.2443469
Chorizema humile,Endangered,6936.476039
Chorizema varium,Endangered,6.0440388
Clausena excavata,Critically Endangered,0.31129494
Clematis dubia,Critically Endangered,6.722228019
Clematis fawcettii,Vulnerable,6963.642529
Codonocarpus pyramidalis,Vulnerable,47917.38997
Colobanthus curtisiae,Vulnerable,17138.71359
Comesperma oblongatum,Vulnerable,155.174221
Commersonia apella,Critically Endangered,182.5158288
Commersonia erythrogyna,Endangered,128.4390637
Commersonia prostrata,Endangered,5426.394401
Conospermum densiflorum subsp. unicephalatum,Endangered,1518.416899
Conospermum galeatum,Critically Endangered,192.4422702
Conospermum hookeri,Vulnerable,159.165607
Conospermum undulatum,Vulnerable,127.1333101
Conostylis dielsii subsp. teres,Endangered,2181.685502
Conostylis drummondii,Endangered,1064.874091
Conostylis lepidospermoides,Endangered,2478.651441
Conostylis micrantha,Endangered,620.8892472
Conostylis misera,Endangered,5154.110678
Conostylis rogeri,Vulnerable,142.2650847
Conostylis seorsiflora subsp. trichophylla,Endangered,93.26550282
Conostylis setigera subsp. dasys,Critically Endangered,9.188876058
Conostylis wonganensis,Endangered,99.37372153
Coopernookia georgei,Endangered,206.5946792
Coopernookia scabridiuscula,Vulnerable,186.039715
Coprosma baueri,Endangered,13.31082953
Coprosma pilosa,Endangered,3.070241988
Corchorus cunninghamii,Endangered,2949.648793
Cordyline obtecta,Vulnerable,6.722227085
Corokia whiteana,Vulnerable,161.3974065
Correa baeuerlenii,Vulnerable,1331.032486
Correa calycina,Vulnerable,188.1392507
Correa eburnea,Endangered,229.914722
Correa lawrenceana var. genoensis,Endangered,17.54632618
Corunastylis brachystachya,Endangered,38.03921936
Corunastylis ectopa,Critically Endangered,17.57407915
Corunastylis firthii,Critically Endangered,2.258497898
Corunastylis insignis,Critically Endangered,186.5570257
Corunastylis littoralis,Critically Endangered,112.9854649
Corunastylis sp. Charmhaven (NSW 896673),Critically Endangered,3.699741378
Corybas dentatus,Vulnerable,35.78313291
Corybas montanus,Vulnerable,22.6428287
Corybas sulcatus,Critically Endangered,37.91653649
Corymbia clandestina,Vulnerable,381.9265193
Corymbia leptoloma,Vulnerable,149.3241576
Corymbia rhodops,Vulnerable,280.0637578
Corymbia xanthope,Vulnerable,667.2022974
Corynocarpus rupestris subsp. rupestris,Vulnerable,70.60494634
Cossinia australiana,Endangered,32966.45714
Craspedia preminghana,Endangered,0.689854441
Crepidium lawleri,Endangered,68.09401722
Cryptocarya foetida,Vulnerable,1877.91338
Cryptostylis hunteriana,Vulnerable,20575.21936
Ctenopterella blechnoides,Vulnerable,36.66513824
Cupaniopsis shirleyana,Vulnerable,18841.77164
Cupaniopsis tomentella,Vulnerable,543.3636586
Cyathea exilis,Endangered,129.0705732
Cycas cairnsiana,Vulnerable,1711.966006
Cycas megacarpa,Endangered,18461.40312
Cycas ophiolitica,Endangered,35975.80941
Cycas platyphylla,Vulnerable,7409.377429
Cycas silvestris,Vulnerable,124.0626702
Cyclophyllum costatum,Vulnerable,146.9077563
Cynanchum elegans,Endangered,51696.39377
Cyperus cephalotes,Endangered,18.01731616
Cyperus semifertilis,Vulnerable,89.96042788
Cyphanthera odgersii subsp. occidentalis,Endangered,37.42341626
Daphnandra johnsonii,Endangered,327.7522122
Darwinia acerosa,Endangered,195.9924022
Darwinia apiculata,Endangered,7.909695821
Darwinia biflora,Vulnerable,771.4093769
Darwinia carnea,Endangered,182.3154738
Darwinia chapmaniana,Endangered,207.0880029
Darwinia collina,Endangered,30.44874934
Darwinia ferricola,Endangered,42.84717642
Darwinia foetida,Critically Endangered,73.23655921
Darwinia masonii,Vulnerable,7.637855037
Darwinia meeboldii,Vulnerable,131.5188699
Darwinia nubigena,Vulnerable,51.49658506
Darwinia oxylepis,Endangered,1235.331407
Darwinia polychroma,Endangered,149.2603878
Darwinia squarrosa,Vulnerable,31.88657494
Darwinia whicherensis,Endangered,20.51118613
Darwinia wittwerorum,Endangered,1339.709084
Dasymalla axillaris,Critically Endangered,1129.025857
Davidsonia jerseyana,Endangered,283.889265
Davidsonia johnsonii,Endangered,796.2160605
Daviesia bursarioides,Endangered,34.08639059
Daviesia cunderdin,Endangered,10.96107251
Daviesia dielsii,Endangered,192.3481545
Daviesia discolor,Vulnerable,1986.071118
Daviesia elongata subsp. elongata,Vulnerable,23.5701546
Daviesia euphorbioides,Endangered,3011.558583
Daviesia glossosema,Critically Endangered,20.31653978
Daviesia laevis,Vulnerable,970.5710006
Daviesia megacalyx,Endangered,239.5849794
Daviesia microcarpa,Endangered,82.70909164
Daviesia obovata,Endangered,16.45434109
Daviesia ovata,Critically Endangered,2.385138603
Daviesia pseudaphylla,Endangered,745.3892712
Daviesia speciosa,Endangered,894.713344
Decaspermum struckoilicum,Endangered,18.66171509
Dendrobium antennatum,Endangered,1712.329321
Dendrobium bigibbum,Vulnerable,6780.97198
Dendrobium brachypus,Endangered,6.722227085
Dendrobium johannis,Vulnerable,17995.89393
Dendrobium mirbelianum,Endangered,1308.96316
Dendrobium nindii,Endangered,3655.608249
Denhamia parvifolia,Vulnerable,5436.811924
Desmodium acanthocladum,Vulnerable,652.1974231
Deyeuxia appressa,Endangered,28.67247766
Deyeuxia drummondii,Endangered,514.4081922
Deyeuxia pungens,Vulnerable,65.01267159
Dianella amoena,Endangered,12020.79164
Dichanthium queenslandicum,Endangered,28374.59066
Dichanthium setosum,Vulnerable,347434.7123
Diospyros mabacea,Endangered,100.801611
Diplazium cordifolium,Vulnerable,2031.060213
Diplazium pallidum,Endangered,550.2471269
Diploglottis campbellii,Endangered,1809.143592
Diplolaena andrewsii,Endangered,628.2938466
Dipodium campanulatum,Endangered,44.964161
Dipodium pictum,Endangered,2180.266471
Dischidia litoralis,Vulnerable,50.5680768
Diuris aequalis,Vulnerable,1281.209056
Diuris basaltica,Endangered,142.0800706
Diuris drummondii,Vulnerable,1779.871974
Diuris eborensis,Endangered,6373.540009
Diuris flavescens,Critically Endangered,8.316545178
Diuris fragrantissima,Endangered,23.94002221
Diuris lanceolata,Endangered,238.5923874
Diuris micrantha,Vulnerable,9995.192317
Diuris ochroma,Vulnerable,328.0003434
Diuris pedunculata,Endangered,15056.10828
Diuris praecox,Vulnerable,1237.81806
Diuris purdiei,Endangered,2275.998877
Diuris venosa,Vulnerable,168.4858792
Dodonaea procumbens,Vulnerable,26361.20196
Dodonaea rupicola,Vulnerable,23.54470556
Dodonaea subglandulifera,Endangered,2266.897616
Drakaea concolor,Vulnerable,1818.16392
Drakaea confluens,Endangered,379.2394108
Drakaea elastica,Endangered,4610.426634
Drakaea isolata,Endangered,1.941223572
Drakaea micrantha,Vulnerable,10407.71529
Drosera prolifera,Vulnerable,188.1086857
Drosera schizandra,Vulnerable,8.28363761
Drummondita ericoides,Endangered,570.9418659
Drummondita longifolia,Vulnerable,23.22778162
Duma horrida subsp. abdita,Critically Endangered,1553.089337
Dysoxylum bijugum,Vulnerable,6.754542586
Eidothea hardeniana,Critically Endangered,15.14498885
Elaeocarpus sedentarius,Endangered,33.625981
Elaeocarpus williamsianus,Endangered,128.9208633
Elatostema montanum,Critically Endangered,6.722227085
Eleocharis keigheryi,Vulnerable,1312.594298
Eleocharis obicis,Vulnerable,1113.761765
Eleocharis papillosa,Vulnerable,451.1355674
Eleocharis retroflexa,Vulnerable,232.5274963
Elymus multiflorus subsp. kingianus,Critically Endangered,20.76455924
Endiandra cooperana,Endangered,29.2906164
Endiandra floydii,Endangered,1761.699184
Endiandra hayesii,Vulnerable,1483.199664
Epacris apsleyensis,Endangered,39.99791885
Epacris barbata,Endangered,314.8822484
Epacris exserta,Endangered,7358.533241
Epacris glabella,Endangered,40.97158413
Epacris grandis,Endangered,142.7625971
Epacris graniticola,Critically Endangered,94.53844443
Epacris hamiltonii,Endangered,43.0078626
Epacris limbata,Critically Endangered,8.777545999
Epacris sparsa,Vulnerable,16.34944884
Epacris stuartii,Critically Endangered,0.554655272
Epacris virgata,Endangered,530.4363981
Epilobium brunnescens subsp. beaugleholei,Vulnerable,4.079459947
Eremochloa muricata,Endangered,9.218148282
Eremophila ciliata,Endangered,3.164970704
Eremophila denticulata subsp. denticulata,Vulnerable,2455.94187
Eremophila denticulata subsp. trisulcata,Endangered,1166.342106
Eremophila glabra subsp. chlorella,Endangered,132.8445406
Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),Critically Endangered,
Eremophila koobabbiensis,Critically Endangered,8.049080016
Eremophila lactea,Endangered,850.3064907
Eremophila nivea,Endangered,2882.717939
Eremophila pinnatifida,Endangered,253.1211264
Eremophila prostrata,Vulnerable,241.3585837
Eremophila resinosa,Endangered,5037.516643
Eremophila rostrata,Critically Endangered,42.97480934
Eremophila scaberula,Endangered,334.1120479
Eremophila sp. Narrow leaves (J.D.Start D12-150),Critically Endangered,403.8876067
Eremophila subteretifolia,Endangered,2904.940483
Eremophila ternifolia,Endangered,45.39822654
Eremophila vernicosa,Vulnerable,24.85152955
Eremophila verticillata,Endangered,4620.695087
Eremophila virens,Endangered,5244.076284
Eremophila viscida,Endangered,18649.19573
Eriocaulon australasicum,Endangered,122.4690666
Eriocaulon carsonii,Endangered,1401.31813
Eryngium fontanum,Endangered,80.30322356
Eucalyptus absita,Endangered,1494.538617
Eucalyptus aggregata,Vulnerable,26244.0435
Eucalyptus alligatrix subsp. limaensis,Endangered,195.0196298
Eucalyptus alligatrix subsp. miscella,Vulnerable,2.59864665
Eucalyptus aquatica,Vulnerable,10.67444323
Eucalyptus argophloia,Vulnerable,347.91204
Eucalyptus argutifolia,Vulnerable,564.6787718
Eucalyptus articulata,Vulnerable,71.13225386
Eucalyptus beaniana,Vulnerable,285.1719481
Eucalyptus beardiana,Vulnerable,3550.667617
Eucalyptus benthamii,Vulnerable,218.5480855
Eucalyptus brevipes,Endangered,2556.521496
Eucalyptus burdettiana,Endangered,10.88064724
Eucalyptus cadens,Vulnerable,657.5730497
Eucalyptus caleyi subsp. ovendenii,Vulnerable,1312.222525
Eucalyptus camfieldii,Vulnerable,1669.010582
Eucalyptus canobolensis,Endangered,149.5696066
Eucalyptus ceracea,Vulnerable,243.8845806
Eucalyptus conglomerata,Endangered,423.7011947
Eucalyptus copulans,Endangered,5.739836774
Eucalyptus coronata,Vulnerable,33.55726439
Eucalyptus crenulata,Endangered,11.42186121
Eucalyptus crispata,Vulnerable,321.3550995
Eucalyptus crucis subsp. crucis,Vulnerable,179.0936939
Eucalyptus crucis subsp. praecipua,Endangered,5.184508206
Eucalyptus cuprea,Endangered,2480.399211
Eucalyptus dolorosa,Endangered,14.98009481
Eucalyptus glaucina,Vulnerable,13814.14152
Eucalyptus gunnii subsp. divaricata,Endangered,3298.731429
Eucalyptus hallii,Vulnerable,914.6509628
Eucalyptus imlayensis,Endangered,0.39276542
Eucalyptus impensa,Endangered,1698.828319
Eucalyptus infera,Vulnerable,60.50974152
Eucalyptus insularis,Endangered,85.65898309
Eucalyptus johnsoniana,Vulnerable,206.8924403
Eucalyptus kabiana,Vulnerable,2.109418377
Eucalyptus kartzoffiana,Vulnerable,48.72804928
Eucalyptus langleyi,Vulnerable,226.1686944
Eucalyptus largeana,Endangered,143.7039614
Eucalyptus lateritica,Vulnerable,535.0005093
Eucalyptus leprophloia,Endangered,1846.969171
Eucalyptus macarthurii,Endangered,2537.721141
Eucalyptus mckieana,Vulnerable,7812.291852
Eucalyptus merrickiae,Vulnerable,1064.094578
Eucalyptus mooreana,Vulnerable,334.6824332
Eucalyptus morrisbyi,Endangered,13.71609404
Eucalyptus nicholii,Vulnerable,21113.95962
Eucalyptus pachycalyx subsp. banyabba,Endangered,19.71856818
Eucalyptus paedoglauca,Vulnerable,90.2092474
Eucalyptus paludicola,Endangered,67.0728604
Eucalyptus parramattensis subsp. decadens,Vulnerable,534.8926583
Eucalyptus parvula,Vulnerable,904.5554087
Eucalyptus platydisca,Vulnerable,35.27336858
Eucalyptus pruiniramis,Endangered,400.44219
Eucalyptus pulverulenta,Vulnerable,5929.759595
Eucalyptus pumila,Vulnerable,26.70240162
Eucalyptus raveretiana,Vulnerable,6632.584766
Eucalyptus recta,Endangered,189.5599846
Eucalyptus recurva,Critically Endangered,28.71120664
Eucalyptus rhodantha,Vulnerable,607.8787921
Eucalyptus robertsonii subsp. hemisphaerica,Vulnerable,167.4206414
Eucalyptus rubida subsp. barbigerorum,Vulnerable,1071.702617
Eucalyptus scoparia,Vulnerable,144.5366567
"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954)",Critically Endangered,108.3126979
Eucalyptus sp. Howes Swamp Creek (M.Doherty 26),Endangered,91.91787453
