EPBCA no.,EPBCA sp. name,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes
10927,Acacia crombiei,1,Pink Gidgee,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
3908,Acacia curranii,1,Curly-bark Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55214,Acacia dangarensis,1,,Plant,1,CR,Critically Endangered,1,,9/25/2020,YES,Insufficient info,"CR (B1ab(iii,v), B2ab(iii,v)",not eligible,VU(D2),Insufficient info,,
20600,Acacia denticulosa,1,Sandpaper Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
5685,Acacia depressa,1,Echidna Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
12836,Acacia deuteroneura,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
17615,Acacia enterocarpa,1,Jumping-jack Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
87480,Acacia equisetifolia,1,a shrub,Plant,1,CR,Critically Endangered,1,Acacia sp. Graveside Gorge (V.J.Levitzke 806) NT Herbarium,8/18/2006,YES,EN,CR,CR,CR,CR,,
9280,Acacia eremophiloides,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
3134,Acacia flocktoniae,1,Flockton Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
17235,Acacia forrestiana,1,Forest's Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
9848,Acacia georgensis,1,Bega Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
8838,Acacia glandulicarpa,1,Hairy-pod Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
5031,Acacia gordonii,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
3566,Acacia grandifolia,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
14928,Acacia handonis,1,"Hando's Wattle, Percy Grant Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
65211,Acacia imitans,1,Gibson Wattle,Plant,1,EN,Endangered,1,,1/8/2009,YES,not eligible,EN,EN,VU,Insufficient info,,
64495,Acacia insolita subsp. recurva,0,Yornaning Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
13816,Acacia kingiana,1, ,Plant,1,EX,Extinct,,,7/16/2000,EX,,,,,,,
31652,Acacia lanigera var. gracilipes,0,,Plant,1,EN,Endangered,1,,9/7/2023,YES,Insufficient info,"EN (B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v):)",EN (C2a(i)),VU,Insufficient info,,
55575,Acacia lanuginophylla,1,Woolly Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
14275,Acacia latzii,1,Latz's Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
4165,Acacia lauta,1,Tara Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56701,Acacia leptalea,1,Chinocup Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
15610,Acacia leptoneura,1, ,Plant,1,CR,Critically Endangered,1,,9/24/2015,YES,CR [A3 (b)],"CR [B1, B2 (a)(b)(iii)]",CR [C2 (a)(i)],CR,Insufficient info,,
55567,Acacia lobulata,1,Chiddarcooping Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
10711,Acacia macnuttiana,1,McNutt's Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55608,Acacia meiantha,1, ,Plant,1,EN,Endangered,1,,5/11/2018,YES,Insufficient info,"EN [B2 (a), (b) (iii) (v)]",Insufficient info,not eligible,Insufficient info,,
9218,Acacia menzelii,1,Menzel's Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
8301,Acacia peuce,1,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
20281,Acacia pharangites,1,Wongan Gully Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
2784,Acacia phasmoides,1,Phantom Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
17259,Acacia pickardii,1,Birds Nest Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
5319,Acacia pinguifolia,1,Fat-leaved Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
55115,Acacia porcata,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
55363,Acacia praemorsa,1,Senna Wattle,Plant,1,VU,Vulnerable,1,,12/24/2009,YES,not eligible,VU,not eligible,not eligible,not eligible,,
14840,Acacia praetermissa,1,a shrub,Plant,1,VU,Vulnerable,1,,8/18/2006,YES,Insufficient info,VU,Insufficient info,VU,Insufficient info,,
19955,Acacia prismifolia,1,Diels' Wattle,Plant,1,EX,Extinct,,,7/16/2000,EX,,,,,,,
18800,Acacia pubescens,1,"Downy Wattle, Hairy Stemmed Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
19799,Acacia pubifolia,1,Velvet Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
61156,Acacia purpureopetala,1, ,Plant,1,CR,Critically Endangered,1,,1/24/2014,YES,not eligible,CR,EN,VU,not eligible,,
13415,Acacia pycnostachya,1,Bolivia Wattle,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56768,Acacia pygmaea,1,Dwarf Rock Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64825,Acacia recurvata,1,Recurved Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64659,Acacia rhamphophylla,1,Kundip Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
11282,Acacia rhetinocarpa,1,"Neat Wattle, Resin Wattle (SA)",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
7559,Acacia ruppii,1,Rupp's Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
17877,Acacia sciophanes,1,"Wundowlin Wattle, Ghost Wattle",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
34123,Acacia spilleriana,1,Spiller's Wattle,Plant,1,EN,Endangered,1,,12/24/2009,YES,Insufficient info,EN,Insufficient info,Insufficient info,Insufficient info,,
81510,Acacia splendens,1,"Splendid Wattle, Dandaragan Wattle",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64828,Acacia subflexuosa subsp. capillata,0,Hairy-stemmed Zig-Zag Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
88882,Acacia terminalis subsp. terminalis MS,0,Sunshine Wattle (Sydney region),Plant,1,EN,Endangered,1,Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126),7/16/2000,NO,,,,,,,
3073,Acacia undoolyana,1,"Undoolya Wattle, Sickle-leaf Wattle",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55592,Acacia unguicula,1,a shrub,Plant,1,CR,Critically Endangered,1,,8/18/2006,YES,CR,CR,CR,CR,CR,,
6144,Acacia vassalii,1,Vassal's Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
6476,Acacia volubilis,1,"Tangled Wattle, Tangle Wattle",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64497,Acacia whibleyana,1,Whibley Wattle,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
65228,Acacia wilsonii,1,Wilson's Wattle,Plant,1,EN,Endangered,1,,5/11/2018,YES,Insufficient info,"EN [B1ab(iii,v)+B2ab(iii,v)]",EN [C2a(i)],VU,Insufficient info,,
85026,Acacia woodmaniorum,1,Woodman's Wattle,Plant,1,EN,Endangered,1,,6/24/2019,YES,VU [A4ace],"EN [B1ab(i,ii,iii,iv,v)+B2ab(i,ii,iii,iv,v)]",not eligible,not eligible,Insufficient info,,
17632,Acanthocladium dockeri,1,"Spiny Everlasting, Spiny Daisy",Plant,1,CR,Critically Endangered,1,,11/27/2006,YES,Insufficient info,CR,Insufficient info,not eligible,Insufficient info,,
65879,Achyranthes arborescens,1,"Chaff Tree, Soft-wood",Plant,1,CR,Critically Endangered,1,,11/25/2003,YES,not eligible,CR,CR,EN,Insufficient info,,
68426,Achyranthes margaretarum,1,Phillip Island Chaffy Tree,Plant,1,CR,Critically Endangered,1,,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,,
11200,Acianthus ledwardii,1, ,Plant,1,EX,Extinct,,,7/16/2000,EX,,,,,,,
83928,Acriopsis emarginata,1,Pale Chandelier Orchid,Plant,1,VU,Vulnerable,1,Acriopsis javanica,7/16/2000,NO,,,,,,,
8582,Acronychia littoralis,1,Scented Acronychia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
3983,Acrophyllum australe,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
12078,Actephila foetida,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
18659,Actinotus schwarzii,1,Desert Flannel-flower,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21253,Adenanthos dobagii,1,Fitzgerald Woollybush,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
4570,Adenanthos ellipticus,1,Oval-leaf Adenanthos,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
7763,Adenanthos eyrei,1,Toolinna Adenanthos,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
10742,Adenanthos pungens subsp. effusus,0,Sprawling Spiky Adenanthos,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
19429,Adenanthos pungens subsp. pungens,0,Spiky Adenanthos,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21594,Adenanthos velutinus,1,Velvet Woollybush,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
6416,Alectryon ramiflorus,1,Isis Tamarind,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
21924,Allocasuarina defungens,1,Dwarf Heath Casuarina,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
21926,Allocasuarina emuina,1,"Emu Mountain Sheoak, Mt Emu She-oak",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
17455,Allocasuarina fibrosa,1,Woolly Sheoak,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21932,Allocasuarina glareicola,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
21937,Allocasuarina portuensis,1,Nielsen Park She-oak,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
16377,Allocasuarina robusta,1,Mount Compass Oak-bush,Plant,1,EN,Endangered,1,,11/27/2006,YES,Insufficient info,EN,Insufficient info,Insufficient info,Insufficient info,,
21935,Allocasuarina simulans,1,Nabiac Casuarina,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21927,Allocasuarina thalassoscopica,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
22124,Allocasuarina tortiramula,1,Twisted Sheoak,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56400,Alloxylon flammeum,1,"Red Silky Oak, Queensland Waratah, Tree Waratah",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56308,Almaleea cambagei,1,Torrington Pea,Plant,1,EN,Endangered,1,,11/15/2023,YES,Insufficient info,"EN (B1ab(iii,v)+2ab(iii,v):)",Insufficient info,not eligible,Insufficient info,,
20758,Ammobium craspedioides,1,Yass Daisy,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55225,Amperea xiphoclada var. pedicellata,0, ,Plant,1,EX,Extinct,,,7/16/2000,EX,,,,,,,
19215,Amphibromus fluitans,1,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Plant,1,VU,Vulnerable,1,,7/16/2000,YES,Insufficient info,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",
3590,Amphibromus whitei,1, ,Plant,1,EX,Extinct,,,7/16/2000,EX,,,,,,,
81879,Amyema plicatula,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
84925,Andersonia annelsii,1, ,Plant,1,CR,Critically Endangered,1,,5/11/2018,YES,Insufficient info,CR [B1ab(v)+B2ab(v)],EN [C2(ii)],not eligible,Insufficient info,,
16916,Andersonia axilliflora,1,Giant Andersonia,Plant,1,CR,Critically Endangered,1,,3/31/2023,YES,CR(A4abe),"CR(B1ab(I,ii,iii,iv,v)",CR(C1+C2a(I)),EN (D1),Insufficient info,,
14470,Andersonia gracilis,1,Slender Andersonia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
67444,Andersonia pinaster,1,Two Peoples Bay Andersonia,Plant,1,VU,Vulnerable,1,Andersonia sp. Two Peoples Bay (G.J. Keighery 8229),7/16/2000,NO,,,,,,,
86389,Androcalva adenothalia,1,,Plant,1,CR,Critically Endangered,1,,6/24/2019,YES,Insufficient info,"CR [B1ab(i,ii,iii,iv)+B2ab(i,ii,iii,iv)]",Insufficient info,CR,Insufficient info,,
87807,Androcalva bivillosa,1,Straggling Androcalva,Plant,1,CR,Critically Endangered,1,,5/11/2018,YES,Insufficient info,"EN [B1ab(iii,v) + B2ab(iii,v)]",CR [C2(a)(i)],EN,Insufficient info,,
86431,Androcalva perkinsiana,1,Headland Commersonia,Plant,1,CR,Critically Endangered,1,Commersonia perkinsiana,10/5/2022,YES,Insufficient info,CR (B1+ 2ab(v)),CR (C2a(ii)),EN (D),Insufficient info,,
86388,Androcalva perlaria,1,Pearl-like Androcalva,Plant,1,EN,Endangered,1,,6/24/2019,YES,Insufficient info,"VU [B1ab(ii,iv,v)+B2ab(ii,iv,v)]",EN [C2(a)(i)],VU,Insufficient info,,
87153,Androcalva procumbens,1, ,Plant,1,VU,Vulnerable,1,"Rulingia procumbens, Commersonia procumbens",7/16/2000,NO,,,,,,,
86861,Androcalva rosea,1,Sandy Hollow Commersonia,Plant,1,EN,Endangered,1,,1/8/2008,YES,not eligible,EN,not eligible,VU,Insufficient info,,
64832,Angophora inopina,1,Charmhaven Apple,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56088,Angophora robur,1,Sandstone Rough-barked Apple,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21241,Anigozanthos bicolor subsp. minor,0,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
3435,Anigozanthos viridis subsp. terraspectans,0,Dwarf Green Kangaroo Paw,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
11103,Anthocercis gracilis,1,Slender Tailflower,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
82413,Anthosachne kingiana subsp. kingiana,0,Phillip Island Wheat Grass,Plant,1,CR,Critically Endangered,1,Elymus multiflorus subsp. kingianus,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,,
74525,Antrophyum austroqueenslandicum,1,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Plant,1,CR,Critically Endangered,1,,11/4/2020,YES,"CR (A2, A4)","CR (B1, B2(a,b) (i-v))","CR (C1, C2ai)",CR (D),Insufficient info,,
7718,Apatophyllum olsenii,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
82019,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),0,"Fine-leaved Apium, Porongurup Celery",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
8299,Aponogeton bullosus,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
82016,Aponogeton prolifer,1,an aquatic herb,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
13451,Archidendron lovelliae,1,"Bacon Wood, Tulip Siris",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64500,Archontophoenix myolensis,1,"Myola Palm, Myola Archontophoenix",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
82043,Argyrotegium nitidulum,1,Shining Cudweed,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
17906,Aristida annua,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
4065,Aristida granitica,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
9338,Arthraxon hispidus,1,Hairy-joint Grass,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
14004,Asperula asthenes,1,Trailing Woodruff,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
3909,Asplenium hookerianum,1,Maidenhair Spleenwort,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
65865,Asplenium listeri,1,Christmas Island Spleenwort,Plant,1,CR,Critically Endangered,1,,7/23/2002,YES,Insufficient info,CR,CR,EN,Insufficient info,,
21662,Asplenium pellucidum,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
19154,Asplenium wildii,1, ,Plant,1,VU,Vulnerable,1,Hymenasplenium wildii,7/16/2000,NO,,,,,,,
10851,Astelia australiana,1,Tall Astelia,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
84573,Asterolasia asteriscophora subsp. albiflora,0,"White Star-bush, Emerald Star Bush",Plant,1,CR,Critically Endangered,1,,10/5/2022,YES,CR (A4abce),"CR (B1ab(i,ii,iii,iv,v))",VU (C1),VU (D2),Insufficient info,,
90354,Asterolasia beckersii,1,Dungowan Starbush,Plant,1,CR,Critically Endangered,1,,3/2/2021,YES,Insufficient info,EN (B1ab (iv.v)),CR (C2a(ii)),EN,Insufficient info,,
51321,Asterolasia buxifolia,1,,Plant,1,CR,Critically Endangered,1,,9/7/2023,YES,Insufficient info,"CR (B1ab(iii,v)+2ab(iii,v))",CR (C1+C2a(ii)),EN,Insufficient info,,
56780,Asterolasia elegans,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
8225,Asterolasia nivea,1,Bindoon Starbush,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
3599,Asterolasia phebalioides,1,Downy Star-bush,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
10352,Astrotricha crassifolia,1,Thick-leaf Star-hair,Plant,1,VU,Vulnerable,1,,7/16/2000,YES,Insufficient info,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",
56312,Astrotricha roddii,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
85675,Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),1,Wingan Star-hair,Plant,1,EN,Endangered,1,,9/7/2023,YES,Insufficient info,EN (B1ab(iii)+2ab(iiii)),Insufficient info,V,Insufficient info,,
86125,Atalaya brevialata,1, ,Plant,1,CR,Critically Endangered,1,,12/14/2013,YES,not eligible,CR,not eligible,not eligible,not eligible,,
55417,Atalaya collina,1,Yarwun Whitewood,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
4143,Atriplex infrequens,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
88538,Atriplex yeelirrie,1, ,Plant,1,EN,Endangered,1,,10/22/2015,YES,VU [A3 (c)],"EN [B1, B2, (a)(b)(i), (ii), (iv)]",not eligible,not eligible,Insufficient info,,
87808,Austrostipa bronwenae,1, ,Plant,1,EN,Endangered,1,Austrostipa bronweniae,2/15/2018,YES,Insufficient info,"EN [B1ab(ii,iii,v)+B2ab(ii,iii,v)]",EN [C2(a)(i)],VU,Insufficient info,,
87809,Austrostipa jacobsiana,1, ,Plant,1,CR,Critically Endangered,1,,2/15/2018,YES,Insufficient info,"CR [B2ab(ii,iii)]",VU [C2(a)(i)],VU,Insufficient info,,
66704,Austrostipa metatoris,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
66623,Austrostipa wakoolica,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
21846,Azorella macquariensis,1,"Macquarie Azorella, Macquarie Cushions",Plant,1,CR,Critically Endangered,1,,8/19/2010,YES,CR,CR,not eligible,not eligible,not eligible,,
64838,Baeckea kandos,1,a shrub,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
16173,Ballantinia antipoda,1,Southern Shepherd's Purse,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
8463,Baloghia marmorata,1,"Marbled Balogia, Jointed Baloghia",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
68511,Baloskion longipes,1,Dense Cord-rush,Plant,1,VU,Vulnerable,1,Restio longipes,7/16/2000,NO,,,,,,,
82758,Banksia anatona,1,Cactus Dryandra,Plant,1,CR,Critically Endangered,1,,5/14/2013,YES,not eligible,CR,EN,not eligible,not eligible,,
82763,Banksia aurantia,1,Orange Dryandra,Plant,1,CR,Critically Endangered,1,,5/14/2013,YES,not eligible,CR,EN,not eligible,not eligible,,
8277,Banksia brownii,1,"Brown's Banksia, Feather-leaved Banksia",Plant,1,CR,Critically Endangered,1,,3/31/2023,YES,CR(A2ace+A3ce+A4ace),"EN(B1ab(I,ii,iii,iv,v)+B2ab(I,ii,iii,iv,v)",not eligible,not eligible,Insufficient info,,
85021,Banksia catoglypta,1, ,Plant,1,VU,Vulnerable,1,,5/11/2018,YES,not eligible,not eligible,not eligible,VU,Insufficient info,,
9827,Banksia cuneata,1,"Matchstick Banksia, Quairading Banksia",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
83059,Banksia fuscobractea,1,Dark-bract Banksia,Plant,1,CR,Critically Endangered,1,,12/1/2009,YES,EN,CR,CR,EN,not eligible,,
16727,Banksia goodii,1,Good's Banksia,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
82764,Banksia ionthocarpa,1,Kamballup Dryandra,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
82765,Banksia mimica,1,Summer Honeypot,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
82696,Banksia montana,1,Stirling Range Dryandra,Plant,1,CR,Critically Endangered,1,,10/5/2022,YES,EN (A4ace),"CR (B1ab(i,ii,iii,iv,v)c(iv))",CR (C2a(i)b),EN (D1),Insufficient info,,
82766,Banksia nivea subsp. uliginosa,0,Swamp Honeypot,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
20697,Banksia oligantha,1,Wagin Banksia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
82760,Banksia pseudoplumosa,1,False Plumed-Banksia,Plant,1,EN,Endangered,1,,1/8/2009,YES,Insufficient info,EN,VU,not eligible,Insufficient info,,
85008,Banksia rufa subsp. pumila,0, ,Plant,1,EN,Endangered,1,,5/11/2018,YES,not eligible,"EN [B1ab(ii,iii,iv,v)+B2ab(ii,iii,iv,v)]",not eligible,not eligible,Insufficient info,,
82767,Banksia serratuloides subsp. perissa,0,Northern Serrate Dryandra,Plant,1,CR,Critically Endangered,1,,5/14/2013,YES,not eligible,CR,VU,not eligible,not eligible,,
82768,Banksia serratuloides subsp. serratuloides,0,Southern Serrate Dryandra,Plant,1,VU,Vulnerable,1,Dryandra serratuloides subsp. serratuloides,7/16/2000,NO,,,,,,,
10518,Banksia sphaerocarpa var. dolichostyla,0,"Ironcaps Banksia, Ironcap Banksia",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
