original_name,aligned_name,accepted_name,suggested_name,genus,family,taxon_rank,taxonomic_dataset,taxonomic_status,taxonomic_status_aligned,aligned_reason,update_reason,subclass,taxon_distribution,scientific_name,taxon_ID,taxon_ID_genus,scientific_name_ID,canonical_name,row_number,number_of_collapsed_taxa
Eucalyptus kabiana,Eucalyptus kabiana,Eucalyptus kabiana,Eucalyptus kabiana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Eucalyptus kabiana L.A.S.Johnson & K.D.Hill,https://id.biodiversity.org.au/node/apni/2908249,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/118828,Eucalyptus kabiana,596,NA
Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus kartzoffiana L.A.S.Johnson & Blaxell,https://id.biodiversity.org.au/node/apni/2894835,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/83507,Eucalyptus kartzoffiana,597,NA
Eucalyptus langleyi,Eucalyptus langleyi,Eucalyptus langleyi,Eucalyptus langleyi,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus langleyi L.A.S.Johnson & Blaxell,https://id.biodiversity.org.au/node/apni/2918889,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/118719,Eucalyptus langleyi,598,NA
Eucalyptus largeana,Eucalyptus largeana,Eucalyptus largeana,Eucalyptus largeana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus largeana Blakely,https://id.biodiversity.org.au/node/apni/2900950,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/63155,Eucalyptus largeana,599,NA
Eucalyptus lateritica,Eucalyptus x lateritica,Eucalyptus x lateritica,Eucalyptus x lateritica,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus x lateritica Brooker & Hopper,https://id.biodiversity.org.au/node/apni/2911044,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/63272,Eucalyptus x lateritica,600,NA
Eucalyptus leprophloia,Eucalyptus leprophloia,Eucalyptus leprophloia,Eucalyptus leprophloia,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus leprophloia Brooker & Hopper,https://id.biodiversity.org.au/node/apni/2896677,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/119572,Eucalyptus leprophloia,601,NA
Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,"NSW, Vic (naturalised)",Eucalyptus macarthurii H.Deane & Maiden,https://id.biodiversity.org.au/node/apni/2903954,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/97075,Eucalyptus macarthurii,602,NA
Eucalyptus mckieana,Eucalyptus mckieana,Eucalyptus mckieana,Eucalyptus mckieana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus mckieana Blakely,https://id.biodiversity.org.au/node/apni/2902415,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/99476,Eucalyptus mckieana,603,NA
Eucalyptus merrickiae,Eucalyptus merrickiae,Eucalyptus merrickiae,Eucalyptus merrickiae,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus merrickiae Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2919681,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/56206,Eucalyptus merrickiae,604,NA
Eucalyptus mooreana,Eucalyptus mooreana,Eucalyptus mooreana,Eucalyptus mooreana,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,WA,Eucalyptus mooreana W.Fitzg.,https://id.biodiversity.org.au/taxon/apni/51439842,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/56573,Eucalyptus mooreana,605,NA
Eucalyptus morrisbyi,Eucalyptus morrisbyi,Eucalyptus morrisbyi,Eucalyptus morrisbyi,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Tas,Eucalyptus morrisbyi Brett,https://id.biodiversity.org.au/node/apni/2889115,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/56699,Eucalyptus morrisbyi,606,NA
Eucalyptus nicholii,Eucalyptus nicholii,Eucalyptus nicholii,Eucalyptus nicholii,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,NSW,Eucalyptus nicholii Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2897969,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/74286,Eucalyptus nicholii,607,NA
Eucalyptus nudicaulis,Eucalyptus nudicaulis,Eucalyptus nudicaulis,Eucalyptus nudicaulis,Eucalyptus,Myrtaceae,species,APC,accepted,accepted,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-08-16),aligned name accepted by APC,Magnoliidae,Qld,Eucalyptus nudicaulis A.R.Bean,https://id.biodiversity.org.au/node/apni/2902796,https://id.biodiversity.org.au/taxon/apni/51781647,https://id.biodiversity.org.au/name/apni/117812,Eucalyptus nudicaulis,608,NA
