family,species,disease centre occurrence,relative importance in community,plant deaths,isolation of P. cinnamomi from plants,isolation of P. cinnamomi from soil,phytophthora_cinnamomi_susceptibility,phytophthora_cinnamomi_isolation_from_plant_tissue,habitat,source in manuscript
Restionaceae,Loxocarya flexuosa,16,13,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Restionaceae,Lyginia barbata,34,25,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Rubiaceae,Opercularia echinocephala,3,2,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Rutaceae,Eriostemon spicatus,16,9,,,,resistant,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_2
Anthericaceae,Thysanotus sp.,8,0,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Cyperaceae,Lepidosperma angustatum,19,16,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Haemodoraceae,Phlebocarya ciliata,14,14,3,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Mimosaceae,Acacia saligna,4,1,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Calytrix sp.,20,19,1,0,1,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Calytrix flavescens,3,1,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Hypocalymma angustifolium,10,9,1,0,1,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Melaleuca species B,4,3,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Melaleuca sp.,4,2,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Scholtzia sp.,4,3,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Myrtaceae,Scholtzia involucrata,7,5,2,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Papilionaceae,Burtonia conferta,5,1,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Pittosporaceae,Billardiera variifolia,8,0,3,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Proteaceae,Adenanthos cygnorum,9,3,2,0,2,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Proteaceae,Adenanthos cygnorum subsp. chamaephyton,4,4,1,0,1,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Proteaceae,Persoonia longifolia,4,0,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Proteaceae,Xylomelum occidentale,9,1,2,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Restionaceae,Hypolaena fastigiata,3,2,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Restionaceae,Loxocarya cinerea,10,5,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Restionaceae,Restio sp.,10,9,1,0,0,mild,phytophthora_cinnamomi_not_isolated,Banksia_woodland,Table_3
Dasypogonaceae,Dasypogon bromeliifolius,29,26,4,2,2,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Epacridaceae,Conostephium pendulum,11,3,3,2,1,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Iridaceae,Patersonia occidentalis,24,14,8,1,4,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Mimosaceae,Acacia stenoptera,13,2,1,1,1,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Myrtaceae,Hypocalymma robustum,15,9,1,1,1,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Myrtaceae,Kunzea ericifolia,18,16,5,2,3,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Papilionaceae,Bossiaea eriocarpa,23,16,3,1,3,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Proteaceae,Petrophile linearis,22,6,6,4,5,mild,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_4
Apiaceae,Platysace compressa,9,6,4,0,1,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Casuarinaceae,Allocasuarina fraseriana,11,6,5,1,1,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Mimosaceae,Acacia pulchella,31,21,20,1,1,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Myrtaceae,Calytrix fraseri,5,3,3,0,0,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Myrtaceae,Eucalyptus marginata,26,12,11,2,2,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Papilionaceae,Jacksonia horrida,4,2,3,0,1,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Papilionaceae,Viminaria juncea,3,2,2,0,0,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Proteaceae,Stirlingia latifolia,17,14,7,1,4,severe,phytophthora_cinnamomi_infrequently_isolated,Banksia_woodland,Table_5
Dilleniaceae,Hibbertia hypericoides,30,27,13,9,12,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Dilleniaceae,Hibbertia aff. subvaginata,3,3,3,1,1,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Epacridaceae,Leucopogon conostephioides,12,8,10,9,9,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Myrtaceae,Melaleuca thymoides,27,27,21,15,15,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Myrtaceae,Pericalymma ellipticum,5,4,4,1,1,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Papilionaceae,Jacksonia furcellata,15,10,7,3,3,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Papilionaceae,Jacksonia sternbergiana,17,10,12,4,4,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Proteaceae,Adenanthos obovatus,8,6,3,2,2,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Proteaceae,Banksia attenuata,40,35,38,22,28,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Proteaceae,Banksia grandis,11,4,7,3,4,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Proteaceae,Banksia ilicifolia,28,19,25,19,21,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Proteaceae,Banksia menziesii,5,5,5,4,3,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Xanthorrhoeaceae,Xanthorrhoea preissii,35,5,21,5,12,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Zamiaceae,Macrozamia riedlei,28,8,16,4,9,severe,phytophthora_cinnamomi_frequently_isolated,Banksia_woodland,Table_6
Cyperaceae,Mesomelaena tetragona,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Goodeniaceae,Dampiera linearis,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Haemodoraceae,Conostylis aculeata,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Mimosaceae,Acacia extensa,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Myrtaceae,Eucalyptus calophylla,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Papilionaceae,Kennedia prostrata,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Rubiaceae,Opercularia echinocephala,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Rutaceae,Eriostemon spicatus,,,,,,resistant,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Cyperaceae,Lepidosperma angustatum,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Dasypogonaceae,Lomandra integra,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Dilleniaceae,Hibbertia hypericoides,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Goodeniaceae,Lechenaultia biloba,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Haemodoraceae,Conostylis serrulata,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Myrtaceae,Baeckea camphorosmae,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Myrtaceae,Hypocalymma angustifolium,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Proteaceae,Hakea lissocarpha,,,,,,mild,phytophthora_cinnamomi_not_isolated,Eucalyptus_marginata_forest,Table_7
Dasypogonaceae,Lomandra sonderi,,,,,,mild,phytophthora_cinnamomi_frequently_isolated,Eucalyptus_marginata_forest,Table_7
Epacridaceae,Leucopogon propinquus,,,,,,mild,phytophthora_cinnamomi_frequently_isolated,Eucalyptus_marginata_forest,Table_7
Myrtaceae,Hypocalymma robustum,,,,,,mild,phytophthora_cinnamomi_frequently_isolated,Eucalyptus_marginata_forest,Table_7
Apiaceae,Platysace compressa,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Casuarinaceae,Allocasuarina fraseriana,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Mimosaceae,Acacia pulchella,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Myrtaceae,Eucalyptus marginata,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Proteaceae,Dryandra nivea,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Proteaceae,Persoonia longifolia,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Restionaceae,Loxocarya cinerea,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Zamiaceae,Macrozamia riedlei,,,,,,severe,phytophthora_cinnamomi_infrequently_isolated,Eucalyptus_marginata_forest,Table_7
Iridaceae,Patersonia occidentalis,,,,,,severe,phytophthora_cinnamomi_frequently_isolated,Eucalyptus_marginata_forest,Table_7
Proteaceae,Banksia grandis,,,,,,severe,phytophthora_cinnamomi_frequently_isolated,Eucalyptus_marginata_forest,Table_7
Xanthorrhoeaceae,Xanthorrhoea preissii,,,,,,severe,phytophthora_cinnamomi_frequently_isolated,Eucalyptus_marginata_forest,Table_7
