Family,Species,Plant height (m),Distribution,Susceptibility to P. cinnamomi,Susceptibility type,Seed treatment,Number seeds per punnet
Myrtaceae,Melaleuca preissiana,9,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Resistant,field,None,150--180
Myrtaceae,Melaleuca seriata,,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Resistant,field,None,150--180
Myrtaceae,Regelia ciliata,2,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Unknown,,Smoke Water,150--180
Myrtaceae,Regelia inops,2.5,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Susceptible,field,Smoke Water,150--180
Proteaceae,Banksia caleyi,2,Esperance,Susceptible,glasshouse,None,10
Proteaceae,Banksia elderiana,4,"Wheatbelt, Esperance",Susceptible,glasshouse,None,10
Proteaceae,Banksia Iemanniana,5,Esperance,Susceptible,glasshouse,None,10
Proteaceae,Banksia repens,0.4,"Jarrah Forest, Wheatbelt, Esperance",Susceptible,field,None,10
Proteaceae,Banksia sessilis,8,"Jarrah Forest, Wheatbelt, Esperance",Susceptible,field,None,15
Proteaceae,Grevillea endlicheriana,3,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Unknown,,Smoke Water,15
Proteaceae,Grevillea eriostachya,5,"Jarrah Forest, Wheatbelt, Swan Coastal Plain, Geraldton",Unknown,,Smoke Water,15
Proteaceae,Grevillea paniculata,3,"Jarrah Forest, Wheatbelt, Geraldton",Unknown,,Smoke Water,15
Proteaceae,Grevillea pterosperma,4,"Wheatbelt, Geraldton",Unknown,,Smoke Water,15
Proteaceae,Grevillea vestita,3,"Wheatbelt, Geraldton",Unknown,,Smoke Water,15
Proteaceae,Hakea anadenia,2,"Jarrah Forest, Swan Coastal Plain, Geraldton",Unknown,,None,15
Proteaceae,Hakea laurina,6,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Susceptible,field,None,8
Proteaceae,Hakea petiolaris,9,"Wheatbelt, Jarrah Forest, Swan Coastal plain",Resistant,field,N one,10
Proteaceae,Hakea ruscifolia,3,"Jarrah Forest, Wheatbelt, Esperance, Swan Coastal plain",Resistant,field,None,10
Proteaceae,Hakea trifurcata,3,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Susceptible,field,None,10
Proteaceae,Isopogon dubius,1.5,"Jarrah Forest, Wheatbelt, Esperance, Geraldton",Unknown,,Smoke Water,15
Proteaceae,Petrophile biloba,2,"Jarrah Forest, Swan Coastal Plain",Susceptible,glasshouse,Smoke Water,15
Proteaceae,Xylomelum angustifolium,7,"Jarrah Forest, Wheatbelt, Swan Coastal plain",Susceptible,field,None,4
Rhamnaceae,Trymalium ledifolium,5,"Jarrah Forest, Wheatbelt, Geraldton",Susceptible,field,Hot Water,15
Rhamnaceae,Trvmalium odoratissintum,4,"Jarrah Forest, Swan Coastal Plain",Unknown,,Hot Water,15
