Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe response,Habitat suitability,Risk,Expert change / reason for change
APIACEAE,Xanthosia atkinsoniana,"n,w",,,,"Shearer & Dillon (1996), McDougall (1997)",,,Suitable,Low,
APIACEAE,Xanthosia candida,w,,,,"Shearer & Dillon (1996), McDougall (1997)",,,Suitable,Low,
APIACEAE,Xanthosia dissecta,"n,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
APIACEAE,Xanthosia huegelii,"s,v,w",,,,"McDougall (1997), Bishop et al. (2010)",,,Suitable,Low,
APIACEAE,Xanthosia rotundifolia,w,,,,"Wills (1993), Barrett (1996)",,,Suitable,Low,
APIACEAE,Xanthosia tridentata,"n,t,v",,,Fraser (1956),,,,Suitable,Low,
APOCYNACEAE,Alstonia muelleriana,q,,,,,,Worboys et al. (2003),Suitable,Moderate,
ARALIACEAE,Hydrocotyle callicarpa,"n,s,t,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,
ARALIACEAE,Hydrocotyle hirta,"a,n,s,t,v,w",,,Cahill (pers. comm.),Groves et al. (2009),,,Suitable,Low,
ARALIACEAE,Polyscias australiana,"nt,q",,,,Worboys et al. (2003),,,Suitable,Low,
ARALIACEAE,Polyscias murrayi,"n,q,v",,,,,,Worboys et al. (2003),Suitable,Low,
ARAUCARIACEAE,Araucaria cunninghamii,"n,q",,,Shuey (pers. comm.),,,,Suitable,Low,
ARAUCARIACEAE,Wollemia nobilis ,n,CE,,"Bullock et al. (2000), Summerell (pers. comm.)",,,"Bullock et al. (2000), Summerell (pers. comm.)",Suitable,Very high,
ARECACEAE,Archontophoenix cunninghamiana,"n,q",,,Brown (1998),,,,Suitable,Low,
ARECACEAE,Oraniopsis appendiculata,q,,V,,,,Worboys et al. (2003),Suitable,Moderate,
ASPARAGACEAE ,Chamaescilla corymbosa var. corymbosa,"s,t,v,w",,,"Cahill (pers. comm.), Crone et al. (2013)",McDougall (1997),Crone et al. (2013),VNPS (1995),Suitable,Low,
ASPARAGACEAE ,Chamaexeros longicaulis,w,,E,,,,Freebury (pers. comm.),Suitable,High,
ASPARAGACEAE ,Chamaexeros serra,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
ASPARAGACEAE ,Cordyline murchisoniae,q,,,Brown (1998),,,,Suitable,Low,
ASPARAGACEAE ,Laxmannia grandiflora subsp. stirlingensis,w,,,,Barrett (pers. comm.),,,Suitable,Low,
ASPARAGACEAE ,Laxmannia jamesii,w,,,,Barrett (pers. comm.),,,Suitable,Low,
ASPARAGACEAE ,Laxmannia orientalis,"n,s,t,v",,,Weste (2001),Weste (2001),,,Suitable,Low,
ASPARAGACEAE ,Laxmannia squarrosa,w,,,,McDougall (1997),,,Suitable,Low,
ASPARAGACEAE ,Lomandra caespitosa,w,,,McDougall (1997),,,,Suitable,Low,
ASPARAGACEAE ,Lomandra confertifolia,"n,q,v",,,,"Howard et al. (2004), McDougall (pers. comm.), Groves et al. (2009)",,,Suitable,Low,
ASPARAGACEAE ,Lomandra filiformis,"a,n,q,s,v",,,Weste (2001),"Weste (2001), Groves et al. (2009)",,,Suitable,Low,
ASPARAGACEAE ,Lomandra hermaphrodita,w,,,,McDougall (1997),,,Suitable,Low,
ASPARAGACEAE ,Lomandra integra,w,,,McDougall (1997),Groves et al. (2009),,,Suitable,Low,
ASPARAGACEAE ,Lomandra longifolia,"a,n,q,s,t,v",,,Weste (2001),"Rudman (pers. comm.), Weste (2001)",,,Suitable,Low,
ASPARAGACEAE ,Lomandra nigricans,w,,,,Groves et al. (2009),,,Suitable,Low,
ASPARAGACEAE ,Lomandra obliqua,"n,q",,,,Howard et al. (2004),,,Suitable,Low,
ASPARAGACEAE ,Lomandra odora,w,,,"Shearer & Dillon (1995), DBCA (2021)",,,,Suitable,Low,
ASPARAGACEAE ,Lomandra ordii,w,,E,DBCA (2021),,,Freebury (pers. comm.),Suitable,High,
ASPARAGACEAE ,Lomandra pauciflora,w,,,,"Barrett (pers. comm.), Wills (1993)",,,Suitable,Low,
ASPARAGACEAE ,Lomandra preissii,w,,,,Wills (1993),,,Suitable,Low,
ASPARAGACEAE ,Lomandra sonderi ,w,,,"Edmiston (1989), Gardner & Rokich (1987), McDougall (1997), Shearer & Dillon (1995), DBCA (2021)",Groves et al. (2009),Edmiston (1989),"McDougall (1997), Shearer & Dillon (1995)",Suitable,Low,
ASPARAGACEAE ,Lomandra spartea,w,,,,McDougall (1997),,,Suitable,Low,
ASPARAGACEAE ,Thysanotus dichotomus,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
ASPARAGACEAE ,Thysanotus multiflorus,w,,,McDougall (1997),,,"McDougall (1997), Freebury (pers. comm.)",Suitable,Low,
ASPARAGACEAE ,Thysanotus tenellus,,,,,Groves et al. (2009),,,Suitable,Low,
ASPARAGACEAE ,Thysanotus thyrsoideus,w,,,,,,McDougall (1997),Suitable,Low,
ASTELIACEAE,Astelia australiana,v,V,E,"Burgman & Ferguson (1995), Parker (2018)",,,Parker (2018),Suitable,High,
ASTERACEAE,Allittia uliginosa,"s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
ASTERACEAE,Argentipallium obtusifolium,"n,s,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
ASTERACEAE,Brachyscome diversifolia,"a,n,q,s,t,v",,,,Kueh (2011),,,Suitable,Low,
ASTERACEAE,Cassinia aculeata,"a,n,t,v",,,Weste (2001),Weste (2001),,,Suitable,Low,
ASTERACEAE,Cymbonotus preissianus,"a,n,s,t,v,w",,,,Groves et al. (2009),,,Suitable,Low,
ASTERACEAE,Hyalosperma cotula,w,,,,McDougall (1997),,,Suitable,Low,
ASTERACEAE,Ixodia achillaeoides,"s,v",,,SARDI (pers. comm.),,,,Suitable,Low,
ASTERACEAE,Lagenophora huegelii,"s,t,v,w",,,,"Crone et al. (2013), McDougall (1997)",,,Suitable,Low,
ASTERACEAE,Microseris scapigera,"t,v",,,,Groves et al. (2009),,,Suitable,Low,
ASTERACEAE,Millotia tenuifolia,"n,s,t,v,w",,,,McDougall (1997),,,Suitable,Low,
ASTERACEAE,Olearia axillaris,"n,s,t,v,w",,,,Wills (1993),,,Suitable,Low,
ASTERACEAE,Olearia ciliata,"s,t,v,w",,,Weste (2001),Weste (2001),,,Suitable,Low,
ASTERACEAE,Olearia pannosa subsp. cardiophylla,"s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
ASTERACEAE,Olearia pannosa subsp. pannosa,s,V,,Kueh (2011),,,Kueh (2011),Suitable,Low,
ASTERACEAE,Olearia paucidentata,w,,,,McDougall (1997),,,Suitable,Low,
ASTERACEAE,Olearia teretifolia,"s,v",,,Taylor (1974),,,,Suitable,Low,
ASTERACEAE,Ozothamnus obcordatus,"n,q,t,v",,,Taylor (1974),McDougall (pers. comm.),,,Suitable,Low,
ASTERACEAE,Podolepis gracilis,w,,,,McDougall (1997),,,Suitable,Low,
ASTERACEAE,Podotheca angustifolia,"n,s,t,v,w",,,Crone et al. (2013),"Crone et al. (2013), McDougall (1997)",,,Suitable,Low,
ASTERACEAE,Pterochaeta paniculata,w,,,Crone et al. (2013),"Crone et al. (2013), McDougall (1997)",,,Suitable,Low,
ASTERACEAE,Rhodanthe citrina,"n,nt,s,w",,,,Crone et al. (2013),,,Suitable,Low,
ASTERACEAE,Senecio velleioides,"n,t,v",,,,McDougall (pers. comm.),,,Suitable,Low,
ASTERACEAE,Siloxerus multiflorus,"n,s,t,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,
ASTERACEAE,Trichocline spathulata,w,,,,Groves et al. (2009),,McDougall (1997),Suitable,Low,
ASTERACEAE,Waitzia nitida,w,,,,McDougall (1997),,,Suitable,Low,
ATHEROSPERMATACEAE,Atherosperma moschatum,"n,t,v",,,Podger et al. (1990),,,,Suitable,Low,
ATHEROSPERMATACEAE,Daphnandra repandula,q,,,,Worboys et al. (2003),,,Suitable,Low,
BALANOPACEAE,Balanops australiana,q,,,,Worboys et al. (2003),,,Suitable,Low,
BLANDFORDIACEAE,Blandfordia punicea,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,Rudman & Balmer (2008),Suitable,Low,
BLECHNACEAE,Blechnum wattsii,"a,n,q,s,t,v",,,Podger et al. (1990),McDougall (pers. comm.),,,Suitable,Low,
BORYACEAE,Borya mirabilis,v,E,CE,Weste (2001),,,Weste (2001),Suitable,Very high,
CAMPANULACEAE,Isotoma hypocrateriformis,w,,,,McDougall (1997),,,Suitable,Low,
CAMPANULACEAE,Lobelia gibbosa,"a,n,nt,q,s,t,v,w",,,,Wills (1993),,,Suitable,Low,
CAMPANULACEAE,Lobelia rhytidosperma,w,,,,McDougall (1997),,,Suitable,Low,
CARYOPHYLLACEAE,Stellaria flaccida,"a,n,q,s,t,v",,,,McDougall (pers. comm.),,,Suitable,Low,
CASUARINACEAE,Allocasuarina acutivalvis,w,,,Taylor (1974),,,,Unsuitable,Low,
CASUARINACEAE,Allocasuarina campestris,w,,,Taylor (1974),,,,Half unsuitable,Low,
CASUARINACEAE,Allocasuarina crassa,t,,E,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,"Occurs on low risk dolerite substrate, changed to moderate"
CASUARINACEAE,Allocasuarina decussata,w,,,,Barrett (pers. comm.),,,Suitable,Low,
CASUARINACEAE,Allocasuarina duncanii,t,,E,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,"Occurs on low risk dolerite substrate, changed to moderate"
CASUARINACEAE,Allocasuarina fibrosa,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,
CASUARINACEAE,Allocasuarina fraseriana,w,,,"Pratt & Heather (1973), Shearer & Dillon (1995), Podger (1968), Shearer & Dillon (1996)",,,"Wills (1993), Hart (1983), Podger (1972), McDougall (1997)",Suitable,Low,
CASUARINACEAE,Allocasuarina globosa,w,,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,
CASUARINACEAE,Allocasuarina helmsii,"s,w",,,Taylor (1974),,,,Mostly unsuitable,Low,
CASUARINACEAE,Allocasuarina humilis,w,,,"Taylor (1974), Wills (1993)","Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
CASUARINACEAE,Allocasuarina hystricosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
CASUARINACEAE,Allocasuarina lehmanniana,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
CASUARINACEAE,Allocasuarina littoralis,"a,n,q,t,v",,,,McDougall (pers. comm.),Howard et al. (2004),,Suitable,Low,
CASUARINACEAE,Allocasuarina microstachya,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
CASUARINACEAE,Allocasuarina monilifera,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),,Suitable,Low,
CASUARINACEAE,Allocasuarina muelleriana,"s,v",,,"Kueh (2011), Weste (2001)",Weste (2001),,Kueh (2011),Suitable,Low,
CASUARINACEAE,Allocasuarina paludosa,"n,s,t,v",,,Weste (2001),Weste (2001),,,Suitable,Low,
CASUARINACEAE,Allocasuarina pinaster,w,,,Taylor (1974),,,,Mostly unsuitable,Low,
CASUARINACEAE,Allocasuarina pusilla,"s,v",,,Weste (2001),Weste (2001),,,Suitable,Low,
CASUARINACEAE,Allocasuarina ramosissima,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,
CASUARINACEAE,Allocasuarina rigida,"n,q",,,Taylor (1974),,,,Suitable,Low,
CASUARINACEAE,Allocasuarina robusta,s,E,,Kueh (2011),,,Kueh (2011),Suitable,High,
CASUARINACEAE,Allocasuarina tessellata,w,,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,
CASUARINACEAE,Allocasuarina thuyoides,w,,,,,"Tynan et al. (2001), Shearer & Crane (unpub. data)",Wills (1993),Suitable,Low,
CASUARINACEAE,Allocasuarina tortiramula,w,V,E,,,,Shearer & Crane (unpub. data),Suitable,High,
CASUARINACEAE,Allocasuarina torulosa,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,
CASUARINACEAE,Allocasuarina trichodon,w,,,Taylor (1974),,Barrett (pers. comm.),Shearer & Crane (unpub. data),Suitable,Moderate,
CASUARINACEAE,Allocasuarina verticillata,"a,n,s,t,v",,,"Kueh (2011), Podger (1989), Pratt & Heather (1973)",Rudman (pers. comm.),Velzeboer (pers. comm.),Kueh (2011),Suitable,Low,
CASUARINACEAE,Casuarina cunninghamiana,"a,n,nt,q",,,"Robertson (1970), Pratt & Heather (1973)",Roleybushcare (2022),,,Suitable,Low,
CASUARINACEAE,Casuarina glauca,"n,q",,,Robertson (1970),,,,Suitable,Low,
CASUARINACEAE,Casuarina obesa,"n,v,w",,,"Belhaj et al. (2018), Gardner & Rokich (1987)",Gardner & Rokich (1987),,Belhaj et al. (2018),Suitable,Low,
CELASTRACEAE,Tripterococcus brunonis,w,,,,McDougall (1997),,,Suitable,Low,
CENTROLEPIDACEAE,Centrolepis aristata,"n,s,t,v,w",,,,McDougall (1997),,,Suitable,Low,
CENTROLEPIDACEAE,Centrolepis strigosa subsp. strigosa,"a,n,q,s,t,v,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
CHENOPODIACEAE,Atriplex nummularia subsp. spathulata,"s,w",,,,Shearer & Crane (unpub. data),,,Unsuitable,Low,
CHENOPODIACEAE,Rhagodia parabolica,"n,nt,q,s,v",,,Weste (2001),Weste (2001),,,Suitable,Low,
CHENOPODIACEAE,Tecticornia verrucosa,"nt,s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
CLUSIACEAE,Garcinia zichii,q,,,,Worboys et al. (2003),,,Suitable,Low,
COLCHICACEAE,Burchardia multiflora,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
COLCHICACEAE,Burchardia umbellata,w,,,Wills (1993),Wills (1993),,,Suitable,Low,
CRASSULACEAE,Crassula closiana,"s,t,v,w",,,Crone et al. (2013),Crone et al. (2013),,,Suitable,Low,
CUNONIACEAE,Anodopetalum biglandulosum,t,,,Podger et al. (1990),,Rudman (pers. comm.),,Suitable,Low,
CUNONIACEAE,Bauera rubioides,"n,q,s,t,v",,,Weste (2001),,Rudman & Balmer (2008),Weste (2001),Suitable,Low,
CUNONIACEAE,Eucryphia lucida,t,,V,Podger et al. (1990),,,,Suitable,Low,Widespread populations and it is also nearly all in refuge forested & higher altitude areas where it is not conducive to disease from PC; changed to low
CUNONIACEAE,Eucryphia milliganii,t,,V,"Podger et al. (1990), Taylor (1974)",,,,Suitable,Low,Widespread populations and it is also nearly all in refuge forested & higher altitude areas where it is not conducive to disease from PC; changed to low
CUNONIACEAE,Eucryphia moorei,"n,v",,,Taylor (1974),,,,Suitable,Low,
CUNONIACEAE,Gillbeea adenopetala,q,,V,,,Worboys et al. (2003),,Suitable,Low,
CUNONIACEAE,Gillbeea whypallana,q,,,,Worboys et al. (2003),,,Suitable,Low,
CUNONIACEAE,Karrabina biagiana,q,,,,Worboys et al. (2003),,,Suitable,Low,
CUPRESSACEAE,Athrotaxis selaginoides,t,,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,
CUPRESSACEAE,Callitris oblonga subsp. corangensis,n,CE,,,Wan et al. (2019),,,Suitable,Moderate,
CUPRESSACEAE,Callitris preissii,w,,,"Taylor (1974), DBCA (2021)",Barrett (pers. comm.),,,Suitable,Low,
CUPRESSACEAE,Callitris pyramidalis,w,,,,Barrett (pers. comm.),Titze & Palzer (1969),,Suitable,Low,
CUPRESSACEAE,Callitris rhomboidea,"n,q,s,t,v",,,Weste (2001),Rudman (pers. comm.),,Weste (2001),Suitable,Low,
CYPERACEAE,Caustis dioica,w,,,SARDI (pers. comm.),"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
CYPERACEAE,Caustis pentandra,"n,q,s,t,v,w",,,,Groves et al. (2009),,,Suitable,Low,
CYPERACEAE,Cyathochaeta avenacea,w,,,,"McDougall (1997), Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
CYPERACEAE,Cyathochaeta clandestina,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
CYPERACEAE,Cyathochaeta equitans,w,,,,Freebury (pers. comm.),,,Suitable,Low,
CYPERACEAE,Evandra aristata,w,,,DBCA (2021),Barrett (pers. comm.),Wills (1993),,Suitable,Low,
CYPERACEAE,Ficinia nodosa,"n,q,s,t,v,w",,,,Barrett (pers. comm.),,,Suitable,Low,
CYPERACEAE,Gahnia grandis,"n,t,v",,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,
CYPERACEAE,Gahnia radula,"n,s,t,v",,,,Roleybushcare (2022),,,Suitable,Low,
CYPERACEAE,Gahnia sieberiana,"n,q,s,t,v",,,,Roleybushcare (2022),,,Suitable,Low,
CYPERACEAE,Gahnia trifida,"s,t,v,w",,,,"Wills (1993), Freebury (pers. comm.)",,,Suitable,Low,
CYPERACEAE,Gymnoschoenus sphaerocephalus,"n,s,t,v",,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,
CYPERACEAE,Lepidosperma angustatum,w,,,,McDougall (1997),,,Suitable,Low,
CYPERACEAE,Lepidosperma concavum,"n,s,t,v",,,Podger et al. (1990),"Howard et al. (2004), Groves et al. (2009)",,,Suitable,Low,
CYPERACEAE,Lepidosperma effusum,w,,,,Freebury (pers. comm.),,,Suitable,Low,
CYPERACEAE,Lepidosperma gladiatum,"n,s,t,v,w",,,,Freebury (pers. comm.),,,Suitable,Low,
CYPERACEAE,Lepidosperma laterale,"a,n,q,s,t,v",,,Pratt & Heather (1973),"Rudman (pers. comm.), Groves et al. (2009)",,,Suitable,Low,
CYPERACEAE,Lepidosperma longitudinale,"n,q,t,v,w",,,,Barrett (pers. comm.),,,Suitable,Low,
CYPERACEAE,Lepidosperma scabrum,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
CYPERACEAE,Lepidosperma sieberi,"n,s,t,v",,,,Groves et al. (2009),,,Suitable,Low,
CYPERACEAE,Lepidosperma squamatum,w,,,,McDougall (1997),,,Suitable,Low,
CYPERACEAE,Lepidosperma tenue,w,,,Shearer & Dillon (1996),Shearer & Dillon (1996),,,Suitable,Low,
CYPERACEAE,Lepidosperma tetraquetrum,w,,,,Podger (1972),,,Suitable,Low,
CYPERACEAE,Lepidosperma urophorum,"a,n,v",,,,Howard et al. (2004),,,Suitable,Low,
CYPERACEAE,Lepidosperma viscidum,"n,q,s,t,v,w",,,,Wills (1993),,,Suitable,Low,
CYPERACEAE,Machaerina juncea,"n,q,s,t,v,w",,,,Barrett (pers. comm.),,,Suitable,Low,
CYPERACEAE,Mesomelaena graciliceps,w,,,,,McDougall (1997),,Suitable,Low,
CYPERACEAE,Mesomelaena stygia,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
CYPERACEAE,Mesomelaena tetragona,w,,,,"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
CYPERACEAE,Ptilothrix deusta,"n,q",,,,Howard et al. (2004),,,Suitable,Low,
CYPERACEAE,Reedia spathacea,w,CE,,DBCA (2021),,Freebury (pers. comm.),,Suitable,High,
CYPERACEAE,Schoenus curvifolius,w,,,,Groves et al. (2009),,,Suitable,Low,
CYPERACEAE,Schoenus efoliatus,w,,,,Barrett (pers. comm.),,,Suitable,Low,
CYPERACEAE,Schoenus imberbis,"n,v",,,,Howard et al. (2004),,,Suitable,Low,
CYPERACEAE,Schoenus pedicellatus,w,,,,Groves et al. (2009),,,Suitable,Low,
CYPERACEAE,Schoenus rigens,w,,,,Groves et al. (2009),,,Suitable,Low,
CYPERACEAE,Schoenus sp. Stirling (G.J.Keighery 3427),w,,,,Barrett (pers. comm.),,,Suitable,Low,
CYPERACEAE,Tetraria capillaris,"n,q,s,t,v,w",,,,"McDougall (1997), Wills (1993)",,,Suitable,Low,
CYPERACEAE,Tetraria octandra,w,,,,McDougall (1997),,,Suitable,Low,
CYPERACEAE,Tetraria sp. Jarrah Forest (R. Davis 7391),w,,,,Barrett (pers. comm.),,,Suitable,Low,
CYPERACEAE,Tricostularia neesii,w,,,,Barrett (pers. comm.),,,Suitable,Low,
DASYPOGONACEAE,Calectasia grandiflora,w,,,,,Barrett (pers. comm.),,Suitable,Low,
DASYPOGONACEAE,Dasypogon bromeliifolius,w,,,"Shearer & Dillon (1996), DBCA (2021)",,"Hill (1990), Wills (1993)",,Suitable,Low,
DASYPOGONACEAE,Kingia australis,w,,,DBCA (2021),"Barrett (pers. comm.), McDougall (pers. comm.)",,,Suitable,Low,
DENNSTAEDTIACEAE,Pteridium esculentum,"a,n,q,s,t,v,w",,,Pratt & Heather (1973),"Wills (1993), Barrett (pers. comm.)",McDougall (1997),,Suitable,Low,
DILLENIACEAE,Hibbertia acerosa,w,,,"Edmiston (1989), Podger (1968), Gardner & Rokich (1987), Shivas (1989)",,Edmiston (1989),,Suitable,Low,
DILLENIACEAE,Hibbertia acicularis,"n,q,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
DILLENIACEAE,Hibbertia amplexicaulis,w,,,"Shearer & Dillon (1995), Gardner & Rokich (1987)",,"McDougall (1997), Shearer & Dillon (1996), Edmiston (1989)",Shearer & Dillon (1995),Suitable,Low,
DILLENIACEAE,Hibbertia australis,"s,v",,,Cahill (pers. comm.),,,,Suitable,Low,
DILLENIACEAE,Hibbertia barrettiae,w,,CE,,,Barrett (pers. comm.),,Suitable,High,
DILLENIACEAE,Hibbertia calycina,"a,n,t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
DILLENIACEAE,Hibbertia circinata,n,CE,,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,Very high,
DILLENIACEAE,Hibbertia cistiflora,"n,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
DILLENIACEAE,Hibbertia commutata,w,,,"Gardner & Rokich (1987), McDougall (1997)",,Wills (1993),"McDougall (1997), Bishop et al. (2010)",Suitable,Low,
DILLENIACEAE,Hibbertia cunninghamii,w,,,"Podger (1968), Shivas (1989),DBCA (2021)",,,,Suitable,Low,
DILLENIACEAE,Hibbertia diamesogenos,w,,,"McDougall (1997), McDougall et al. (2001)",,McDougall (1997),,Suitable,Low,
DILLENIACEAE,Hibbertia empetrifolia,"n,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
DILLENIACEAE,Hibbertia fasciculata,"n,q,s,t,v",,,"Podger et al. (1990), Cahill (pers. comm.), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
DILLENIACEAE,Hibbertia furfuracea,w,,,,,Tynan et al. (2001),,Suitable,Low,
DILLENIACEAE,Hibbertia glomerata subsp. darlingensis,w,,E,,,,McDougall (1997),Suitable,High,
DILLENIACEAE,Hibbertia glomerata subsp. ginginensis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
DILLENIACEAE,Hibbertia huegelii,w,,,McDougall (1997),,McDougall (1997),,Suitable,Low,
DILLENIACEAE,Hibbertia humifusa subsp humifusa,v,,E,Weste (2001),,Weste (2001),,Suitable,Moderate,
DILLENIACEAE,Hibbertia hypericoides,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",,"McDougall (1997), Hill (1990)","Shearer & Dillon (1995), Wills (1993)",Suitable,Low,
DILLENIACEAE,Hibbertia inconspicua,w,,,DBCA (2021),,,,Suitable,Low,
DILLENIACEAE,Hibbertia leptotheca,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,
DILLENIACEAE,Hibbertia lineata,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",,Shearer & Dillon (1996),,Suitable,Low,
DILLENIACEAE,Hibbertia montana,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996), Edmiston (1989)",,"Shearer & Dillon (1996), Edmiston (1989)",Shearer & Dillon (1995),Suitable,Low,
DILLENIACEAE,Hibbertia obtusifolia,"a,n,q,t,v",,,Taylor (1974),,,,Suitable,Low,
DILLENIACEAE,Hibbertia porongurupensis,w,,CE,,,,Shearer & Crane (unpub. data),Suitable,Very high,
DILLENIACEAE,Hibbertia procumbens,"n,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),Rudman & Balmer (2008),Suitable,Low,
DILLENIACEAE,Hibbertia puberula subsp. glabrescens,n,CE,,,,McDougall (pers. comm.),,Suitable,High,
DILLENIACEAE,Hibbertia quadricolor,w,,,Shearer & Dillon (1995),,Shearer & Dillon (1996),"McDougall (1997), Shearer & Dillon (1995)",Suitable,Low,
DILLENIACEAE,Hibbertia racemosa,w,,,,Groves et al. (2009),,,Suitable,Low,
DILLENIACEAE,Hibbertia riparia,"n,q,s,t,v",,,Weste (2001),,,"Velzeboer (pers. comm.), Weste (2001)",Suitable,Low,
DILLENIACEAE,Hibbertia sericea,"q,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,Velzeboer (pers. comm.),Suitable,Low,
DILLENIACEAE,Hibbertia silvestris,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",Shearer & Dillon (1996),,,Suitable,Low,
