taxon_name,suggested_name,EPBCA sp. name,EPBCA status,taxon_distribution,EPBCA no.,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes,accepted_name
Acacia cretacea,Acacia cretacea,Acacia cretacea,Endangered,SA,10689,1,Chalky Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia cretacea
Acacia crombiei,Acacia crombiei,Acacia crombiei,Vulnerable,Qld,10927,1,Pink Gidgee,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia crombiei
Acacia curranii,Acacia curranii,Acacia curranii,Vulnerable,"Qld, NSW",3908,1,Curly-bark Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia curranii
Acacia dangarensis,Acacia dangarensis,Acacia dangarensis,Critically Endangered,NSW,55214,1,NA,Plant,1,CR,1,NA,9/25/2020,YES,Insufficient info,"CR (B1ab(iii,v), B2ab(iii,v)",not eligible,VU(D2),Insufficient info,NA,NA,Acacia dangarensis
Acacia denticulosa,Acacia denticulosa,Acacia denticulosa,Vulnerable,WA,20600,1,Sandpaper Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia denticulosa
Acacia depressa,Acacia depressa,Acacia depressa,Vulnerable,WA,5685,1,Echidna Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia depressa
Acacia deuteroneura,Acacia deuteroneura,Acacia deuteroneura,Vulnerable,Qld,12836,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia deuteroneura
Acacia enterocarpa,Acacia enterocarpa,Acacia enterocarpa,Endangered,"SA, Vic",17615,1,Jumping-jack Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia enterocarpa
Acacia equisetifolia,Acacia equisetifolia,Acacia equisetifolia,Critically Endangered,NT,87480,1,a shrub,Plant,1,CR,1,Acacia sp. Graveside Gorge (V.J.Levitzke 806) NT Herbarium,8/18/2006,YES,EN,CR,CR,CR,CR,NA,NA,Acacia equisetifolia
Acacia eremophiloides,Acacia eremophiloides,Acacia eremophiloides,Vulnerable,Qld,9280,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia eremophiloides
Acacia flocktoniae,Acacia flocktoniae,Acacia flocktoniae,Vulnerable,NSW,3134,1,Flockton Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia flocktoniae
Acacia forrestiana,Acacia forrestiana,Acacia forrestiana,Vulnerable,WA,17235,1,Forest's Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia forrestiana
Acacia georgensis,Acacia georgensis,Acacia georgensis,Vulnerable,NSW,9848,1,Bega Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia georgensis
Acacia glandulicarpa,Acacia glandulicarpa,Acacia glandulicarpa,Vulnerable,"SA, Vic",8838,1,Hairy-pod Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia glandulicarpa
Acacia gordonii,Acacia gordonii,Acacia gordonii,Endangered,NSW,5031,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia gordonii
Acacia grandifolia,Acacia grandifolia,Acacia grandifolia,Vulnerable,Qld,3566,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia grandifolia
Acacia handonis,Acacia handonis,Acacia handonis,Vulnerable,Qld,14928,1,"Hando's Wattle, Percy Grant Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia handonis
Acacia imitans,Acacia imitans,Acacia imitans,Endangered,WA,65211,1,Gibson Wattle,Plant,1,EN,1,NA,1/8/2009,YES,not eligible,EN,EN,VU,Insufficient info,NA,NA,Acacia imitans
Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,Acacia insolita subsp. recurva,Endangered,WA,64495,0,Yornaning Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia insolita subsp. recurva
Acacia kingiana,Acacia kingiana,Acacia kingiana,Extinct,WA,13816,1,NA,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Acacia kingiana
Acacia lanigera var. gracilipes,Acacia lanigera var. gracilipes,Acacia lanigera var. gracilipes,Endangered,"NSW, Vic",31652,0,NA,Plant,1,EN,1,NA,9/7/2023,YES,Insufficient info,"EN (B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v):)",EN (C2a(i)),VU,Insufficient info,NA,NA,Acacia lanigera var. gracilipes
Acacia lanuginophylla,Acacia lanuginophylla,Acacia lanuginophylla,Endangered,WA,55575,1,Woolly Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia lanuginophylla
Acacia latzii,Acacia latzii,Acacia latzii,Vulnerable,"NT, SA",14275,1,Latz's Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia latzii
Acacia lauta,Acacia lauta,Acacia lauta,Vulnerable,Qld,4165,1,Tara Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia lauta
Acacia leptalea,Acacia leptalea,Acacia leptalea,Endangered,WA,56701,1,Chinocup Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia leptalea
Acacia leptoneura,Acacia leptoneura,Acacia leptoneura,Critically Endangered,WA,15610,1,NA,Plant,1,CR,1,NA,9/24/2015,YES,CR [A3 (b)],"CR [B1, B2 (a)(b)(iii)]",CR [C2 (a)(i)],CR,Insufficient info,NA,NA,Acacia leptoneura
Acacia lobulata,Acacia lobulata,Acacia lobulata,Endangered,WA,55567,1,Chiddarcooping Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia lobulata
Acacia macnuttiana,Acacia macnuttiana,Acacia macnuttiana,Vulnerable,NSW,10711,1,McNutt's Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia macnuttiana
Acacia meiantha,Acacia meiantha,Acacia meiantha,Endangered,NSW,55608,1,NA,Plant,1,EN,1,NA,5/11/2018,YES,Insufficient info,"EN [B2 (a), (b) (iii) (v)]",Insufficient info,not eligible,Insufficient info,NA,NA,Acacia meiantha
Acacia menzelii,Acacia menzelii,Acacia menzelii,Vulnerable,SA,9218,1,Menzel's Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia menzelii
Acacia peuce,Acacia peuce,Acacia peuce,Vulnerable,"NT, Qld",8301,1,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia peuce
Acacia pharangites,Acacia pharangites,Acacia pharangites,Endangered,WA,20281,1,Wongan Gully Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pharangites
Acacia phasmoides,Acacia phasmoides,Acacia phasmoides,Vulnerable,"NSW, Vic",2784,1,Phantom Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia phasmoides
Acacia pickardii,Acacia pickardii,Acacia pickardii,Vulnerable,"NT, SA",17259,1,Birds Nest Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pickardii
Acacia pinguifolia,Acacia pinguifolia,Acacia pinguifolia,Endangered,SA,5319,1,Fat-leaved Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pinguifolia
Acacia porcata,Acacia porcata,Acacia porcata,Endangered,Qld,55115,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia porcata
Acacia praemorsa,Acacia praemorsa,Acacia praemorsa,Vulnerable,SA,55363,1,Senna Wattle,Plant,1,VU,1,NA,12/24/2009,YES,not eligible,VU,not eligible,not eligible,not eligible,NA,NA,Acacia praemorsa
Acacia praetermissa,Acacia praetermissa,Acacia praetermissa,Vulnerable,NT,14840,1,a shrub,Plant,1,VU,1,NA,8/18/2006,YES,Insufficient info,VU,Insufficient info,VU,Insufficient info,NA,NA,Acacia praetermissa
Acacia prismifolia,Acacia prismifolia,Acacia prismifolia,Extinct,WA,19955,1,Diels' Wattle,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Acacia prismifolia
Acacia pubescens,Acacia pubescens,Acacia pubescens,Vulnerable,NSW,18800,1,"Downy Wattle, Hairy Stemmed Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pubescens
Acacia pubifolia,Acacia pubifolia,Acacia pubifolia,Vulnerable,"Qld, NSW",19799,1,Velvet Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pubifolia
Acacia purpureopetala,Acacia purpureopetala,Acacia purpureopetala,Critically Endangered,Qld,61156,1,NA,Plant,1,CR,1,NA,1/24/2014,YES,not eligible,CR,EN,VU,not eligible,NA,NA,Acacia purpureopetala
Acacia pycnostachya,Acacia pycnostachya,Acacia pycnostachya,Vulnerable,NSW,13415,1,Bolivia Wattle,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pycnostachya
Acacia pygmaea,Acacia pygmaea,Acacia pygmaea,Endangered,WA,56768,1,Dwarf Rock Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia pygmaea
Acacia recurvata,Acacia recurvata,Acacia recurvata,Endangered,WA,64825,1,Recurved Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia recurvata
Acacia rhamphophylla,Acacia rhamphophylla,Acacia rhamphophylla,Endangered,WA,64659,1,Kundip Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia rhamphophylla
Acacia rhetinocarpa,Acacia rhetinocarpa,Acacia rhetinocarpa,Vulnerable,SA,11282,1,"Neat Wattle, Resin Wattle (SA)",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia rhetinocarpa
Acacia ruppii,Acacia ruppii,Acacia ruppii,Endangered,"Qld, NSW",7559,1,Rupp's Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia ruppii
Acacia sciophanes,Acacia sciophanes,Acacia sciophanes,Endangered,WA,17877,1,"Wundowlin Wattle, Ghost Wattle",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia sciophanes
Acacia spilleriana,Acacia spilleriana,Acacia spilleriana,Endangered,SA,34123,1,Spiller's Wattle,Plant,1,EN,1,NA,12/24/2009,YES,Insufficient info,EN,Insufficient info,Insufficient info,Insufficient info,NA,NA,Acacia spilleriana
Acacia splendens,Acacia splendens,Acacia splendens,Endangered,WA,81510,1,"Splendid Wattle, Dandaragan Wattle",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia splendens
Acacia subflexuosa subsp. capillata,Acacia subflexuosa subsp. capillata,Acacia subflexuosa subsp. capillata,Endangered,WA,64828,0,Hairy-stemmed Zig-Zag Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia subflexuosa subsp. capillata
Acacia terminalis ,Acacia terminalis [alternative possible names: Acacia alaticaulis (pro parte misapplied) | Acacia elata (misapplied)],Acacia terminalis subsp. terminalis MS,Endangered,"NSW, ACT (doubtfully naturalised), Vic, Tas",88882,0,Sunshine Wattle (Sydney region),Plant,1,EN,1,Acacia terminalis subsp. Eastern Sydney (G.P.Phillips 126),7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia terminalis
Acacia undoolyana,Acacia undoolyana,Acacia undoolyana,Vulnerable,NT,3073,1,"Undoolya Wattle, Sickle-leaf Wattle",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia undoolyana
Acacia unguicula,Acacia unguicula,Acacia unguicula,Critically Endangered,WA,55592,1,a shrub,Plant,1,CR,1,NA,8/18/2006,YES,CR,CR,CR,CR,CR,NA,NA,Acacia unguicula
Acacia vassalii,Acacia vassalii,Acacia vassalii,Endangered,WA,6144,1,Vassal's Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia vassalii
Acacia volubilis,Acacia volubilis,Acacia volubilis,Endangered,WA,6476,1,"Tangled Wattle, Tangle Wattle",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia volubilis
Acacia whibleyana,Acacia whibleyana,Acacia whibleyana,Endangered,SA,64497,1,Whibley Wattle,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acacia whibleyana
Acacia wilsonii,Acacia wilsonii,Acacia wilsonii,Endangered,WA,65228,1,Wilson's Wattle,Plant,1,EN,1,NA,5/11/2018,YES,Insufficient info,"EN [B1ab(iii,v)+B2ab(iii,v)]",EN [C2a(i)],VU,Insufficient info,NA,NA,Acacia wilsonii
Acacia woodmaniorum,Acacia woodmaniorum,Acacia woodmaniorum,Endangered,WA,85026,1,Woodman's Wattle,Plant,1,EN,1,NA,6/24/2019,YES,VU [A4ace],"EN [B1ab(i,ii,iii,iv,v)+B2ab(i,ii,iii,iv,v)]",not eligible,not eligible,Insufficient info,NA,NA,Acacia woodmaniorum
Acanthocladium dockeri,Acanthocladium dockeri,Acanthocladium dockeri,Critically Endangered,"SA, NSW (presumed extinct)",17632,1,"Spiny Everlasting, Spiny Daisy",Plant,1,CR,1,NA,11/27/2006,YES,Insufficient info,CR,Insufficient info,not eligible,Insufficient info,NA,NA,Acanthocladium dockeri
Achyranthes arborescens,Achyranthes arborescens,Achyranthes arborescens,Critically Endangered,NI,65879,1,"Chaff Tree, Soft-wood",Plant,1,CR,1,NA,11/25/2003,YES,not eligible,CR,CR,EN,Insufficient info,NA,NA,Achyranthes arborescens
Achyranthes margaretarum,Achyranthes margaretarum,Achyranthes margaretarum,Critically Endangered,NI,68426,1,Phillip Island Chaffy Tree,Plant,1,CR,1,NA,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,NA,NA,Achyranthes margaretarum
Acianthus ledwardii,Acianthus ledwardii,Acianthus ledwardii,Extinct,Qld,11200,1,NA,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Acianthus ledwardii
Acriopsis emarginata,Acriopsis emarginata,Acriopsis emarginata,Vulnerable,Qld,83928,1,Pale Chandelier Orchid,Plant,1,VU,1,Acriopsis javanica,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acriopsis emarginata
Acronychia littoralis,Acronychia littoralis,Acronychia littoralis,Endangered,"Qld, NSW",8582,1,Scented Acronychia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acronychia littoralis
Acrophyllum australe,Acrophyllum australe,Acrophyllum australe,Vulnerable,NSW,3983,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Acrophyllum australe
Actephila foetida,Actephila foetida,Actephila foetida,Vulnerable,Qld,12078,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Actephila foetida
Actinotus schwarzii,Actinotus schwarzii,Actinotus schwarzii,Vulnerable,NT,18659,1,Desert Flannel-flower,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Actinotus schwarzii
Adenanthos dobagii,Adenanthos dobagii,Adenanthos dobagii,Endangered,WA,21253,1,Fitzgerald Woollybush,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Adenanthos dobagii
Adenanthos ellipticus,Adenanthos ellipticus,Adenanthos ellipticus,Vulnerable,WA,4570,1,Oval-leaf Adenanthos,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Adenanthos ellipticus
Adenanthos eyrei,Adenanthos eyrei,Adenanthos eyrei,Endangered,WA,7763,1,Toolinna Adenanthos,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Adenanthos eyrei
Adenanthos pungens subsp. effusus,Adenanthos pungens subsp. effusus,Adenanthos pungens subsp. effusus,Endangered,WA,10742,0,Sprawling Spiky Adenanthos,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Adenanthos pungens subsp. effusus
Adenanthos pungens subsp. pungens,Adenanthos pungens subsp. pungens,Adenanthos pungens subsp. pungens,Vulnerable,WA,19429,0,Spiky Adenanthos,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Adenanthos pungens subsp. pungens
Adenanthos velutinus,Adenanthos velutinus,Adenanthos velutinus,Endangered,WA,21594,1,Velvet Woollybush,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Adenanthos velutinus
Alectryon ramiflorus,Alectryon ramiflorus,Alectryon ramiflorus,Endangered,Qld,6416,1,Isis Tamarind,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Alectryon ramiflorus
Allocasuarina defungens,Allocasuarina defungens,Allocasuarina defungens,Endangered,NSW,21924,1,Dwarf Heath Casuarina,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina defungens
Allocasuarina thalassoscopica,Allocasuarina thalassoscopica,Allocasuarina emuina,Endangered,"Qld, NSW",21926,1,"Emu Mountain Sheoak, Mt Emu She-oak",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina thalassoscopica
Allocasuarina fibrosa,Allocasuarina fibrosa,Allocasuarina fibrosa,Vulnerable,WA,17455,1,Woolly Sheoak,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina fibrosa
Allocasuarina glareicola,Allocasuarina glareicola,Allocasuarina glareicola,Endangered,NSW,21932,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina glareicola
Allocasuarina portuensis,Allocasuarina portuensis,Allocasuarina portuensis,Endangered,NSW,21937,1,Nielsen Park She-oak,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina portuensis
Allocasuarina robusta ,Allocasuarina robusta [alternative possible names: Allocasuarina mackliniana subsp. mackliniana (pro parte misapplied) | Allocasuarina mackliniana subsp. xerophila (pro parte misapplied)],Allocasuarina robusta,Endangered,SA,16377,1,Mount Compass Oak-bush,Plant,1,EN,1,NA,11/27/2006,YES,Insufficient info,EN,Insufficient info,Insufficient info,Insufficient info,NA,NA,Allocasuarina robusta
Allocasuarina simulans,Allocasuarina simulans,Allocasuarina simulans,Vulnerable,NSW,21935,1,Nabiac Casuarina,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina simulans
Allocasuarina thalassoscopica,Allocasuarina thalassoscopica,Allocasuarina thalassoscopica,Endangered,"Qld, NSW",21927,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina thalassoscopica
Allocasuarina tortiramula,Allocasuarina tortiramula,Allocasuarina tortiramula,Vulnerable,WA,22124,1,Twisted Sheoak,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Allocasuarina tortiramula
Alloxylon flammeum,Alloxylon flammeum,Alloxylon flammeum,Vulnerable,Qld,56400,1,"Red Silky Oak, Queensland Waratah, Tree Waratah",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Alloxylon flammeum
Almaleea cambagei,Almaleea cambagei,Almaleea cambagei,Endangered,NSW,56308,1,Torrington Pea,Plant,1,EN,1,NA,11/15/2023,YES,Insufficient info,"EN (B1ab(iii,v)+2ab(iii,v):)",Insufficient info,not eligible,Insufficient info,NA,NA,Almaleea cambagei
Ammobium craspedioides,Ammobium craspedioides,Ammobium craspedioides,Vulnerable,NSW,20758,1,Yass Daisy,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Ammobium craspedioides
Amperea xiphoclada var. pedicellata,Amperea xiphoclada var. pedicellata,Amperea xiphoclada var. pedicellata,Extinct,NSW,55225,0,NA,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Amperea xiphoclada var. pedicellata
Amphibromus fluitans,Amphibromus fluitans,Amphibromus fluitans,Vulnerable,"SA, NSW, Vic, Tas",19215,1,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Plant,1,VU,1,NA,7/16/2000,YES,Insufficient info,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",NA,Amphibromus fluitans
