taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Pimelea imbricata var. major,"sand or sandy clay. seasonally waterlogged depressions, watercourses.", sand or sandyclay seasonally waterlogged depressions watercourses ,,,,,,,wet,waterlogged,depressions watercourses,depressions watercourses,streambanks streams,watercourses watercourses,,,,,sand clay_sandy,sand sandyclay,,
Nicotiana rosulata subsp. ingulba,"sand or pebbly sandy loam. creeklines, scree slopes, sand dunes.", sand or pebbly sandy loam creeklines scree slopes sanddunes ,,,,,,,,,rocky slopes,scree slopes,sanddunes streambanks rocky,sanddunes creeklines scree,,,,,loam sand,loam sand sandy,,
Crotalaria eremaea subsp. strehlowii,"sand, loam. plain, red sand dunes.", sand loam plains redsanddunes ,,,,,,,,,plains,plains,plains,plains,red,reds,,,loam sand,loam sand,,
Acaena agnipila var. tenuispica,sandy soils., sandy soils ,,,,,,,,,,,,,,,,,sand,sandy,,
Evolvulus alsinoides var. decumbens,"sand, loam, clay. amongst boulders, near watercourses, plains.", sand loam clay amongst boulders near watercourses plainss ,,,,,,,,,plains watercourses,plainss watercourses,streambanks plains streams,watercourses plains watercourses,,,,,clay loam sand,clay loam sand,,
Paractaenum novae-hollandiae subsp. reversum,,,,,,,,,,,,,,,,,,,,,,
Choretrum glomeratum var. chrysanthum,"red or yellow sand, granitic soils. sandplains.", red or yellow sand granitic soils sandplainss ,,,,,,,,,,,sandplain,sandplains,red yellow,red yellow,granitic,granitic,sand,sand,,
Orthrosanthus laxus var. gramineus,"gravel, lateritic loam.", gravel lateritic loam ,,,,,,,,,,,,,,,lateritic,lateritic,gravel loam,gravel loam,,
Acacia browniana var. endlicheri,sandy lateritic soils., sandy lateritic soils ,,,,,,,,,,,,,,,lateritic,lateritic,sand,sandy,,
Vicia sativa subsp. nigra,"grey, yellow or brown sand, black sandy clay, limestone, quartzite. swampy damp areas, breakaways, valleys, road verges, croplands, wastelands.", grey yellow or brown sand black sandyclay limestone quartzite swampy damp areas breakaways valleys road verges croplands wastelands ,,,,,,,wet damp,swampy damp,breakaways valley,breakaways valleys,swamp disturbed,swampy wastelands,black brown grey yellow,black brown grey yellow,limestone quartzite,limestone quartzite,sand clay_sandy,sand sandyclay,,
Atriplex vesicaria subsp. appendiculata,"sandy clay, red sand, skeletal soils over limestone, clay. limestone ridges, saline dunes, flats.", sandyclay redsand skeletal soils over limestone clay limestone ridges saline dunes flats ,,,,,,,,,flats ridges,flats ridges,sanddunes,dunes,red,reds,limestone saline,limestone saline,sand_red clay clay_sandy skeletal,redsand clay sandyclay skeletal,,
Vigna radiata var. setulosa,"clay soils. basalt. tidal flats, undulating slopes, floodplains.", clay soils basalt tidalflats undulating slopes floodplainss ,,,,,,,,,slopes undulating,slopes undulating,tidal_flats floodplain,tidalflats floodplains,,,basaltic,basalt,clay,clay,,
Ptilotus gomphrenoides var. roseo-albus,clay., clay ,,,,,,,,,,,,,,,,,clay,clay,,
Decaisnina signata subsp. cardiophylla,,,,,,,,,,,,,,,,,,,,,,
Atriplex paludosa subsp. baudinii,"clay, sand. salt flats, salt lake margins.", clay sand salt flats salt lakemargins ,,,,,,,,,flats,flats,lake_margin,lakemargins,,,saline,salt,clay sand,clay sand,,
Labichea lanceolata subsp. brevifolia,variety of habitats., varietyofhabitats ,,,,,,,,,,,various,varietyofhabitats,,,,,,,,
Gonocarpus hexandrus subsp. serratus,sandy wet soils. creek banks & swamps., sandy wet soils creekbanks  swamps ,,,,,,,wet,swamps wet,streambanks,creekbanks,streambanks swamp,creekbanks swamps,,,,,sand,sandy,,
Abelmoschus moschatus subsp. biakensis,laterite., laterite ,,,,,,,,,,,,,,,lateritic,laterite,,,,
Romulea rosea var. australis,"white-grey sandy clay, brown-red sandy loam, black sandy clay, gravel, granite, limestone. hills, roadsides, weed of crops and pastures.", whitegrey sandyclay brownredsandy loam black sandyclay gravel granite limestone hills roadsidess weed of crops and pastures ,,,,,,,,,hills,hills,pasture roadside,pastures roadsidess,black,black,granitic limestone,granite limestone,gravel loam clay_sandy,gravel loam sandyclay,,
Patersonia umbrosa var. xanthina,"lateritic gravel, grey sand, sandy clay. winter-wet areas, swamps, hillsides.", lateritic gravel grey sand sandyclay winterwet areas swamps hillsides ,,,,,,,wet winterwet,swamps winterwet,hills,hills hillsides,swamp,swamps,grey,grey,lateritic,lateritic,gravel sand clay_sandy,gravel sand sandyclay,,
Conostylis aculeata subsp. bromelioides,"white or yellow sand, clayey loam. winter-wet situations.", white or yellow sand clayey loam winterwet situations ,,,,,,,winterwet,winterwet,,,,,white yellow,white yellow,,,clay loam sand,clayey loam sand,,
Chenopodium desertorum subsp. anidiophyllum,,,,,,,,,,,,,,,,,,,,,,
Rostellularia adscendens var. latifolia,"ironstone soils. near creeks, rocky hills.", ironstone soils nearcreeks rocky hills ,,,,,,,,,hills,hills,streambanks,nearcreeks,,,iron,irons,soil_rocky,rocky,,
Lophostemon grandiflorus subsp. riparius,"along watercourses, sandstone gorges, rocky sites.", along watercourses sandstone gorges rockysites ,,,,,,,,,gorges rocky watercourses,gorges rockysites watercourses,streambanks streams,watercourses watercourses,,,sandstone,sandstone,soil_rocky sand,rockysites rockys sands,,
Ficus virens var. sublanceolata,on sandstone or limestone., on sandstone or limestone ,,,,,,,,,,,,,,,limestone sandstone,limestone sandstone,sand,sands,,
Sanguisorba minor subsp. muricata,,,,,,,,,,,,,,,,,,,,,,
Ptilotus polystachyus var. longistachyus,"sandy soils, sandstone. rocky hills, plateaus.", sandy soils sandstone rocky hills plateaus ,,,,,,,,,hills plateaus,hills plateaus,,,,,sandstone,sandstone,soil_rocky sand,rocky sands sandy,,
Abelmoschus moschatus subsp. tuberosus,"basalt, silt. seasonally wet areas.", basalt silt seasonally wet areas ,,,,,,,wet,wet,,,,,,,basaltic,basalt,silt,silt,,
Hypoxis glabella var. leptantha,"clay, loam. claypans, gullies.", clay loam claypans gullies ,,,,,,,,,gullies,gullies,claypan,claypans,,,,,claypan clay loam,claypans clay claypans loam,,
Ptilotus calostachyus var. procerus,red sand., redsand ,,,,,,,,,,,,,red,reds,,,sand_red,redsand,,
Andersonia lehmanniana subsp. pubescens,"white, grey or yellow sand with laterite gravel. sandplains, hills.", white grey or yellow sand with laterite gravel sandplainss hills ,,,,,,,,,hills,hills,sandplain,sandplains,grey white yellow,grey white yellow,lateritic,laterite,gravel sand,gravel sand,,
Rostellularia adscendens var. pogonanthera,"red sand, rocky loam, clay. sandplains, rocky hills & gullies.", redsand rocky loam clay sandplainss rocky hills  gullies ,,,,,,,,,gullies hills,gullies hills,sandplain,sandplains,red,reds,,,sand_red clay loam soil_rocky,redsand clay loam rocky,,
Ptilotus sericostachyus subsp. roseus,,,,,,,,,,,,,,,,,,,,,,
Mesomelaena stygia subsp. deflexa,"white, grey or lateritic sand, clay, gravel.", white grey or lateritic sand clay gravel ,,,,,,,,,,,,,grey white,grey white,lateritic,lateritic,clay gravel sand,clay gravel sand,,
Dianella revoluta var. divaricata,"white or yellow sand, sandy clay, laterite, loam, clay.", white or yellow sand sandyclay laterite loam clay ,,,,,,,,,,,,,white yellow,white yellow,lateritic,laterite,clay loam sand clay_sandy,clay loam sand sandyclay,,
Eucalyptus erythronema var. marginata,"stony or gravelly soils, often over laterite.", stony or gravelly soils often over laterite ,,,,,,,,,,,,,,,lateritic,laterite,gravel stony,gravelly stony,,
Conostylis festucacea subsp. filifolia,"white or yellow sand. winter-wet depressions, sandplain.", white or yellow sand winterwet depressions sandplains ,,,,,,,winterwet,winterwet,depressions,depressions,sandplain,sandplains,white yellow,white yellow,,,sand,sand,,
Ranunculus pentandrus var. platycarpus,"clayey soils. claypans, swamps.", clayey soils claypans swamps ,,,,,,,wet,swamps,,,claypan swamp,claypans swamps,,,,,claypan clay,claypans clayey claypans,,
Dysphania rhadinostachya subsp. inflata,"stony sand or loam, clay, alluvium.", stony sand or loam clay alluvium ,,,,,,,,,,,,,,,alluvial,alluvium,clay loam sand stony,clay loam sand stony,,
Disphyma crassifolium subsp. clavellatum,"white sand, sandy loam, clay, clay loam. coastal limestone cliffs & dunes, samphire flats, saline areas inland.", white sand sandy loam clay clay loam coastal limestone cliffs  dunes samphire flats saline areas inland ,,,,,,,,,cliff coastal flats,cliffs coastal flats,sanddunes cliffs,dunes cliffs cliffs,white,white,limestone saline,limestone saline,clay loam sand,clay loam sand sandy,,
Atriplex paludosa subsp. moquiniana,"sand. salt lakes, sand dunes.", sand saltlakes sanddunes ,,,,,,,,,,,lakes_salt sanddunes,saltlakes sanddunes,,,,,sand,sand,,
Ptilotus fusiformis var. gracilis,"sandy & clayey, often stony soils.", sandy  clayey often stonysoils ,,,,,,,,,,,,,,,,,soil_rocky clay sand stony,stonysoils clayey sandy stonys,,
Ptilotus gomphrenoides var. conglomeratus,"clay, laterite.", clay laterite ,,,,,,,,,,,,,,,lateritic,laterite,clay,clay,,
Crassula colorata var. acuminata,"sandy & loamy soils, granite, ironstone. roadsides, sand rises, rock outcrops.", sandy  loamy soils granite ironstone roadsidess sand rises rock outcrops ,,,,,,,,,rocky_outcrop,outcrops,roadside,roadsidess,,,granitic iron,granite irons,loam sand,loamy sand sandy,,
Polycarpaea spirostylis subsp. glabra,,,,,,,,,,,,,,,,,,,,,,
Pandanus spiralis var. convexus,"sand, sandstone. creeks, beaches.", sand sandstone creeks beaches ,,,,,,,,,,,streams beach,creeks beaches,,,sandstone,sandstone,sand,sand,,
Dipteracanthus australasicus subsp. corynothecus,,,,,,,,,,,,,,,,,,,,,,
Epilobium billardiereanum subsp. cinereum,"loam over granite, black sand. moist areas.", loam over granite black sand moist areas ,,,,,,,moist,moist,,,,,black,black,granitic,granite,loam sand,loam sand,,
Ipomoea carnea subsp. fistulosa,,,,,,,,,,,,,,,,,,,,,,
Plantago coronopus subsp. commutata,"sandy soils, loam, often damp soils.", sandy soils loam often damp soils ,,,,,,,damp,damp,,,,,,,,,loam sand,loam sandy,,
Ptilotus drummondii var. minor,"red sandy or loamy, sometimes stony soils.", redsandy or loamy sometimes stonysoils ,,,,,,,,,,,,,red,reds,,,soil_rocky loam stony,stonysoils loamy stonys,,
Wigandia urens var. caracasana,sand. limestone slopes., sand limestone slopes ,,,,,,,,,slopes,slopes,,,,,limestone,limestone,sand,sand,,
Silene gallica var. quinquevulnera,sandy soils. disturbed areas., sandy soils disturbed areas ,,,,,,,,,,,disturbed,disturbed,,,,,sand,sandy,,
Pandanus darwinensis var. latifructus,grey silt. near water., greysilt near water ,,,,,,,wet,water,,,,,grey,greys,,,silt_grey,greysilt,,
Pimelea longiflora subsp. eyrei,sand. stony quartzite ridges., sand stony quartzite ridges ,,,,,,,,,ridges,ridges,,,,,quartzite,quartzite,sand stony,sand stony,,
Corynotheca micrantha var. acanthoclada,grey or orange sand., grey or orange sand ,,,,,,,,,,,,,grey orange,grey orange,,,sand,sand,,
Glischrocaryon aureum var. angustifolium,"grey, yellow or red sand, lateritic loam. undulating plains, sand dunes.", grey yellow or redsand lateritic loam undulating plainss sanddunes ,,,,,,,,,plains undulating,plainss undulating,sanddunes plains,sanddunes plains,grey red yellow,grey reds yellow,lateritic,lateritic,sand_red loam,redsand loam,,
Hypoxis occidentalis var. quadriloba,"black or grey sand, sandy clay, lateritic soils. winter-wet flats, granite outcrops, clay flats.", black or grey sand sandyclay lateritic soils winterwetflats granite outcrops clay flats ,,,,,,,,,flats inundated_intermittent flats rocky_outcrop,winterwetflats flats outcrops,,,black grey,black grey,granitic lateritic,granite lateritic,clay sand clay_sandy,clay sand sandyclay,,
Chamaescilla corymbosa var. paradoxa,"granite, sand.", granite sand ,,,,,,,,,,,,,,,granitic,granite,sand,sand,,
Brachyscome ciliaris var. lanuginosa,variety of soils., varietyofsoils ,,,,,,,,,,,,,,,,,various,varietyofsoils,,
Ptilotus polystachyus var. pullenii,sandstone., sandstone ,,,,,,,,,,,,,,,sandstone,sandstone,sand,sands,,
Ranunculus sessiliflorus var. pilulifer,,,,,,,,,,,,,,,,,,,,,,
Crotalaria dissitiflora subsp. rugosa,black soil. plain., black soil plains ,,,,,,,,,plains,plains,plains,plains,black,black,,,,,,
Ptilotus sessilifolius var. elderi,,,,,,,,,,,,,,,,,,,,,,
Acacia browniana var. intermedia,"shallow sandy & rocky soils, laterite. ridges, flats.", shallow sandy  rockysoils laterite ridges flats ,,,,,,,,,flats ridges,flats ridges,,,,,lateritic,laterite,soil_rocky sand,rockysoils rockys sandy,,
Gladiolus communis subsp. byzantinus,"roadsides, around old settlements.", roadsidess around old settlements ,,,,,,,,,,,roadside,roadsidess,,,,,,,,
Juncus kraussii subsp. australiensis,"white or grey sand, clay, alluvium. swamps, brackish estuaries, saline flats.", white or grey sand clay alluvium swamps brackish estuaries saline flats ,,,,,,,wet,swamps,flats,flats,swamp,swamps,grey white,grey white,alluvial brackish saline,alluvium brackish saline,clay sand,clay sand,,
Rhagodia baccata subsp. dioica,"sand, limestone. sand dunes, hills.", sand limestone sanddunes hills ,,,,,,,,,hills,hills,sanddunes,sanddunes,,,limestone,limestone,sand,sand,,
Halosarcia indica subsp. leiostachya,"coastal, inland salt lakes.", coastal inland saltlakes ,,,,,,,,,coastal,coastal,lakes_salt,saltlakes,,,,,,,,
Conostylis aculeata subsp. spinuligera,grey/white sand. winter-wet depressions., greywhite sand winterwet depressions ,,,,,,,winterwet,winterwet,depressions,depressions,,,,,,,sand,sand,,
Crotalaria novae-hollandiae subsp. lasiophylla,sand., sand ,,,,,,,,,,,,,,,,,sand,sand,,
Ptilotus gaudichaudii var. parviflorus,loamy & sandy soils., loamy  sandy soils ,,,,,,,,,,,,,,,,,loam sand,loamy sandy,,
Boronia ternata var. foliosa,sandy soils. undulating plains & rises., sandy soils undulating plainss  rises ,,,,,,,,,plains undulating,plainss undulating,plains,plains,,,,,sand,sandy,,
Kickxia elatine subsp. crinita,gravelly lateritic soils. weed of settled & cultivated areas., gravelly lateritic soils weed of settled  cultivated areas ,,,,,,,,,,,cultivated,cultivated,,,lateritic,lateritic,gravel,gravelly,,
Flueggea virosa subsp. melanthesoides,"alluvium, sandstone, limestone. floodplains, hillsides, dunes.", alluvium sandstone limestone floodplainss hillsides dunes ,,,,,,,,,hills,hills hillsides,sanddunes floodplain,dunes floodplains,,,alluvial limestone sandstone,alluvium limestone sandstone,sand,sands,,
Helianthus debilis subsp. cucumerifolius,,,,,,,,,,,,,,,,,,,,,,
Atriplex paludosa subsp. cordata,"sand. limestone cliffs, stable dunes.", sand limestone cliffs stable dunes ,,,,,,,,,cliff,cliffs,sanddunes cliffs,dunes cliffs cliffs,,,limestone,limestone,sand,sand,,
Cucumis melo subsp. agrestis,,,,,,,,,,,,,,,,,,,,,,
Atriplex lindleyi subsp. inflata,"sandy loam. edges of salt lakes, swamps.", sandy loam edges of saltlakes swamps ,,,,,,,wet,swamps,,,lakes_salt swamp,saltlakes swamps,,,,,loam sand,loam sandy,,
Ptilotus helipteroides var. minor,sandy loam. stony flats., sandy loam stony flats ,,,,,,,,,flats,flats,,,,,,,loam sand stony,loam sandy stony,,
Jasminum didymum subsp. lineare,"sandy soils. along stony watercourses, gorges.", sandy soils along stony watercourses gorges ,,,,,,,,,gorges watercourses,gorges watercourses,streambanks streams,watercourses watercourses,,,,,sand stony,sandy stony,,
Rostellularia adscendens var. clementii,"clay, alluvium. drainage lines, pools. basalt hillslopes.", clay alluvium drainage lines pools basalt hillslopes ,,,,,,,,,hills,hills,,,,,alluvial basaltic,alluvium basalt,clay,clay,,
Blyxa aubertii var. echinosperma,"sandstone, granite. still or slow-moving fresh waters.", sandstone granite still or slowmoving fresh waters ,,,,,,,wet,waters,,,,,,,granitic sandstone,granite sandstone,sand,sands,,
Euphorbia tannensis subsp. eremophila,stony or sandy soils., stony or sandy soils ,,,,,,,,,,,,,,,,,sand stony,sandy stony,,
Anigozanthos bicolor subsp. minor,sand. well-watered sites., sand wellwatered sites ,,,,,,,,,,,,,,,,,sand,sand,,
Pimelea spiculigera var. thesioides,"sand or clayey sand. granite outcrops, lateritic ridges.", sand or clayey sand granite outcrops lateritic ridges ,,,,,,,,,rocky_outcrop ridges,outcrops ridges,,,,,granitic lateritic,granite lateritic,clay sand,clayey sand,,
Conostylis aculeata subsp. preissii,"sand, gravelly loam.", sand gravelly loam ,,,,,,,,,,,,,,,,,gravel loam sand,gravelly loam sand,,
Syzygium eucalyptoides subsp. bleeseri,"alluvium, sand. along watercourses.", alluvium sand along watercourses ,,,,,,,,,watercourses,watercourses,streambanks streams,watercourses watercourses,,,alluvial,alluvium,sand,sand,,
Halosarcia indica subsp. bidens,"moderately saline areas, both coastal & inland.", moderately saline areas both coastal  inland ,,,,,,,,,coastal,coastal,,,,,saline,saline,,,,
Acacia lineolata subsp. multilineata,"yellow sand, rocky clay. sandplains.", yellow sand rocky clay sandplainss ,,,,,,,,,,,sandplain,sandplains,yellow,yellow,,,clay soil_rocky sand,clay rocky sand,,
Senna artemisioides subsp. ×coriacea,"sand, granite.", sand granite ,,,,,,,,,,,,,,,granitic,granite,sand,sand,,
Senna artemisioides subsp. helmsii,variety of habitats., varietyofhabitats ,,,,,,,,,,,various,varietyofhabitats,,,,,,,,
Senna artemisioides subsp. oligophylla,"red sandy or gravelly soils. stony areas, creeklines.", redsandy or gravelly soils stony areas creeklines ,,,,,,,,,,,streambanks,creeklines,red,reds,,,gravel stony,gravelly stony,,
Senna artemisioides subsp. ×sturtii,sandy or stony soils., sandy or stonysoils ,,,,,,,,,,,,,,,,,soil_rocky sand stony,stonysoils sandy stonys,,
Senna glutinosa subsp. chatelainiana,"red sandy, loamy, clayey, often stony soils, alluvium. breakaways, rocky hills, creek beds, sandplains.", redsandy loamy clayey often stonysoils alluvium breakaways rocky hills creek beds sandplainss ,,,,,,,,,breakaways hills,breakaways hills,streams sandplain,creek sandplains,red,reds,alluvial,alluvium,soil_rocky clay loam stony,stonysoils clayey loamy rocky stonys,,
Senna glutinosa subsp. ×luerssenii,stony clay or sandy soils., stony clay or sandy soils ,,,,,,,,,,,,,,,,,clay sand stony,clay sandy stony,,
Senna glutinosa subsp. pruinosa,red stony soils., red stonysoils ,,,,,,,,,,,,,red,red,,,soil_rocky stony,stonysoils stonys,,
Senna pleurocarpa var. angustifolia,"red sandy, loamy or clayey, often stony soils.", redsandy loamy or clayey often stonysoils ,,,,,,,,,,,,,red,reds,,,soil_rocky clay loam stony,stonysoils clayey loamy stonys,,
Senna surattensis subsp. sulfurea,"red soils over basalt. near-coastal areas, plains, creeklines.", red soils over basalt nearcoastal areas plainss creeklines ,,,,,,,,,plains,plainss,streambanks plains,creeklines plains,red,red,basaltic,basalt,,,,
Daviesia hakeoides subsp. subnuda,"gravelly lateritic soils, sand, granitic soils. hills, flats.", gravelly lateritic soils sand granitic soils hills flats ,,,,,,,,,flats hills,flats hills,,,,,granitic lateritic,granitic lateritic,gravel sand,gravelly sand,,
Verticordia acerosa var. preissii,"sandy gravel, white or yellow sand. sandplains, clay flats, damp depressions.", sandy gravel white or yellow sand sandplainss clay flats damp depressions ,,,,,,,damp,damp,depressions flats,depressions flats,sandplain,sandplains,white yellow,white yellow,,,clay gravel sand,clay gravel sand sandy,,
Verticordia densiflora var. cespitosa,"sandy or clay, often gravelly soils.", sandy or clay often gravelly soils ,,,,,,,,,,,,,,,,,clay gravel sand,clay gravelly sandy,,
Verticordia densiflora var. stelluligera,yellow or white sand. sandplains., yellow or white sand sandplainss ,,,,,,,,,,,sandplain,sandplains,white yellow,white yellow,,,sand,sand,,
Verticordia huegelii var. stylosa,"clay loam, sandy loam, sometimes gravelly. winter-wet areas, rocky hills.", clay loam sandy loam sometimes gravelly winterwet areas rocky hills ,,,,,,,winterwet,winterwet,hills,hills,,,,,,,clay gravel loam soil_rocky sand,clay gravelly loam rocky sandy,,
Verticordia insignis subsp. compta,"sandy, often gravelly soils. hills, sandplains.", sandy often gravelly soils hills sandplainss ,,,,,,,,,hills,hills,sandplain,sandplains,,,,,gravel sand,gravelly sandy,,
