Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Neophema chrysogaster,Neophema chrysogaster,Orange-bellied parrot,Birds,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,1,1,3,5,Low,Increase in fire frequency/intensity - assumes that and without environmental legislation and there would have been minimal attempt to prevent fires
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (african olive),Invasive species and diseases,Invasive weed,Ongoing,2,0,3,5,Low,African olive
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (common starling),Invasive species and diseases,Invasive bird,Ongoing,1,1,3,5,Low,Common starling
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (european honey bees),Invasive species and diseases,Invasive invertebrate,Ongoing,1,1,3,5,Low,European honey bee
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (guava),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Guava
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (lantana),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Lantana
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Wild tobacco
Ninox novaeseelandiae undulata,Ninox novaeseelandiae undulata,Norfolk island morepork,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (crimson rosella),Disrupted ecosystem and population processes,Problematic native species,Ongoing,2,0,3,5,Low,Crimson rosella
Ochrosia moorei,Ochrosia moorei,Southern ochrosia,Plants,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,1,1,3,5,Low,Roads and railroads
Ochrosia moorei,Ochrosia moorei,Southern ochrosia,Plants,EN,7,Natural system modifications,7.2,Dams and water management/use,7.2,Dams and water management/use,Changed surface and groundwater regimes,Dams and altered flow regimes,Short term,3,1,1,5,Low,Dams and water management/use
Ogyris subterrestris petrina,Ogyris subterrestris petrina,Arid bronze azure,Invertebrates,CR,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Short term,2,2,1,5,Low,Roads and railroads
Ogyris subterrestris petrina,Ogyris subterrestris petrina,Arid bronze azure,Invertebrates,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Short term,2,2,1,5,Low,Increase in fire frequency/intensity
Olax angulata,Olax angulata,Minnie waters olax,Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Unspecified species
Olearia flocktoniae,Olearia flocktoniae,Dorrigo daisy-bush,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,2,0,3,5,Low,Unspecified weeds
Oligosoma lichenigera,Oligosoma lichenigera,Lord howe island skink,Reptiles,VU,1,Residential and commercial development,1.3,Tourism and recreation areas,1.3,Tourism and recreation areas,Overexploitation and other direct harm from human activities,Human intrusion,Ongoing,2,0,3,5,Low,Tourism and recreation areas
Ophidiocephalus taeniatus,Ophidiocephalus taeniatus,Bronzeback snake-lizard,Reptiles,VU,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,2,0,3,5,Low,Mining and quarrying
Ophisternon candidum,Ophisternon candidum,Blind cave eel,Fish,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (guppies),Invasive species and diseases,Invasive fish,Ongoing,1,1,3,5,Low,Invasive non-native/alien species/diseases
Ophisternon candidum,Ophisternon candidum,Blind cave eel,Fish,VU,9,Pollution,9.2,Industrial and military effluents,9.2.2,Seepage from mining,Pollution,Seepage from mining,Ongoing,1,1,3,5,Low,Seepage from mining
Ophisternon candidum,Ophisternon candidum,Blind cave eel,Fish,VU,7,Natural system modifications,7.2,Dams and water management/use,7.2.2,Abstraction of surface water (commercial use),Changed surface and groundwater regimes,Alteration to surface water flows and infiltration,Ongoing,1,1,3,5,Low,Abstraction of surface water -commercial use
Ophisternon candidum,Ophisternon candidum,Blind cave eel,Fish,VU,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,1,1,3,5,Low,Mining and quarrying
Ophisternon candidum,Ophisternon candidum,Blind cave eel,Fish,VU,9,Pollution,9.3,Agricultural and forestry effluents,9.3.2,"Soil erosion, sedimentation","Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Soil erosion and sedimentation
Oreixenica ptunarra,Oreixenica ptunarra,"Ptunarra brown, ptunarra brown butterfly, ptunarra xenica",Invertebrates,EN,2,Agriculture and aquaculture,2.2,Wood and pulp plantations,2.2.2,Agro-industry plantations,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Agro-industry plantations
Oreixenica ptunarra,Oreixenica ptunarra,"Ptunarra brown, ptunarra brown butterfly, ptunarra xenica",Invertebrates,EN,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3.3,"Agro-industry grazing, ranching or farming","Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Agro-industry grazing and ranching or farming
Ornduffia calthifolia,Ornduffia calthifolia,Mountain villarsia,Plants,EN,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Long term,3,1,1,5,Low,Droughts
Owenia cepiodora,Owenia cepiodora,"Onionwood, bog onion, onion cedar",Plants,VU,5,Biological resource use,5.3,Logging and wood harvest,5.3.4,Unintentional effects: Large scale (species being assessed is not the target) [harvest],"Habitat loss, fragmentation and degradation",Forestry,Ongoing,1,1,3,5,Low,Logging impacts on habitat
Pachycephala rufogularis,Pachycephala rufogularis,Red-lored whistler,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,Ongoing,1,1,3,5,Low,Cats
Pachycephala rufogularis,Pachycephala rufogularis,Red-lored whistler,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rabbits),Invasive species and diseases,Invasive rabbit,Ongoing,1,1,3,5,Low,European rabbit
Pachycephala rufogularis,Pachycephala rufogularis,Red-lored whistler,Birds,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,1,1,3,5,Low,Suppression in fire frequency/intensity - there is evidence that the total exclusion of fire in parts of the rlw range -notably central nswcan cause habitat to change and bcome unsuitable for rlw this may differ from rlw populations in sa and vic
Papasula abbotti,Papasula abbotti,Abbott's booby,Birds,EN,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Long term,1,3,1,5,Low,Phosphate mining
Paragoodia crenulata,Paragoodia crenulata,NA,Plants,CR,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Long term,3,1,1,5,Low,Species occurs in a prospective mining area
Paralucia pyrodiscus lucida,Paralucia pyrodiscus lucida,Eltham copper butterfly,Invertebrates,EN,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3.3,"Agro-industry grazing, ranching or farming","Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Agro-industry grazing and ranching or farming
Paralucia pyrodiscus lucida,Paralucia pyrodiscus lucida,Eltham copper butterfly,Invertebrates,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Short term,2,2,1,5,Low,Increase in fire frequency/intensity
Paralucia spinifera,Paralucia spinifera,"Bathurst copper butterfly, purple copper butterfly, bathurst copper, bathurst copper wing, bathurst-lithgow copper, purple copper",Invertebrates,VU,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,1,1,3,5,Low,Roads and railroads
Paralucia spinifera,Paralucia spinifera,"Bathurst copper butterfly, purple copper butterfly, bathurst copper, bathurst copper wing, bathurst-lithgow copper, purple copper",Invertebrates,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Short term,2,2,1,5,Low,Increase in fire frequency/intensity
Pardalotus quadragintus,Pardalotus quadragintus,Forty-spotted pardalote,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (botfly),Invasive species and diseases,Invasive invertebrate,Ongoing,1,1,3,5,Low,Botfly passeromyia longicornis
Pardalotus quadragintus,Pardalotus quadragintus,Forty-spotted pardalote,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (striated pardalote),Disrupted ecosystem and population processes,Problematic native species,Ongoing,1,1,3,5,Low,Striated pardalote pardalotis striatus
Pardalotus quadragintus,Pardalotus quadragintus,Forty-spotted pardalote,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (laughing kookaburra),Disrupted ecosystem and population processes,Problematic native species,Ongoing,1,1,3,5,Low,Laughing kookaburra dacelo novaeguineae
Pardalotus quadragintus,Pardalotus quadragintus,Forty-spotted pardalote,Birds,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.3,Trend unknown/unrecorded,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,1,1,3,5,Low,Trend unknown/unrecorded - assumes that and without environmental legislation and fire control would not have been instituted
Parsonsia dorrigoensis,Parsonsia dorrigoensis,Milky silkpod,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (lantana),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Weeds -lantanaand but habitat is often good and no documented ongoing decline
Parvulastra vivipara,Parvulastra vivipara,Tasmanian live-bearing seastar,Invertebrates,VU,9,Pollution,9.1,Domestic and urban waste water,9.1,Domestic and urban waste water,Pollution,Effluent and wastewater,Ongoing,1,1,3,5,Low,Household sewage and urban waste water
Patersonia spirifolia,Patersonia spirifolia,Spiral-leaved patersonia,Plants,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,1,1,3,5,Low,Roads and railroads
Pedionomus torquatus,Pedionomus torquatus,Plains-wanderer,Birds,CR,9,Pollution,9.3,Agricultural and forestry effluents,9.3.3,Herbicides and pesticides,Pollution,Herbicides and pesticides,Ongoing,1,1,3,5,Low,Herbicides and pesticides
Perameles bougainville bougainville,Perameles bougainville bougainville,Western Barred Bandicoot (Shark Bay),Mammals,EN,7,Natural system modifications,7.1,Fire and fire suppresion,7.1.3,Trend unknown,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,2,0,3,5,Low,NA
Perameles gunnii gunnii,Perameles gunnii gunnii,Eastern barred bandicoot (tasmania),Mammals,VU,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,2,0,3,5,Low,Inappropriate fire regimes
Persoonia bargoensis,Persoonia bargoensis,Bargo geebung,Plants,VU,1,Residential and commercial development,1.1,Housing and urban areas,1.1,Housing and urban areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Short term,2,2,1,5,Low,Housing and urban areas
Persoonia mollis subsp. maxima,Persoonia mollis subsp. maxima,NA,Plants,EN,1,Residential and commercial development,1.1,Housing and urban areas,1.1,Housing and urban areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Short term,2,2,1,5,Low,Housing and urban areas
Persoonia pauciflora,Persoonia pauciflora,North rothbury persoonia,Plants,CR,1,Residential and commercial development,1.1,Housing and urban areas,1.1,Housing and urban areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Short term,2,2,1,5,Low,Housing and urban areas
Petrogale lateralis hacketti,Petrogale lateralis hacketti,Recherche rock-wallaby,Mammals,VU,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,1,1,3,5,Low,Inappropriate fire regimes
Petrogale lateralis hacketti,Petrogale lateralis hacketti,Recherche rock-wallaby,Mammals,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (disease),Invasive species and diseases,Disease,Ongoing,2,0,3,5,Low,Disease
Pezoporus flaviventris,Pezoporus wallicus flaviventris,Western ground parrot,Birds,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,Ongoing,2,0,3,5,Low,Foxes
Phaius australis,Phaius australis,Lesser swamp-orchid,Plants,EN,5,Biological resource use,5.1,Hunting and collecting terrestrial animals,5.1.1,Intentional use (species being assessed is the target),Overexploitation and other direct harm from human activities,Direct harvest,Ongoing,1,1,3,5,Low,Intentional use -species being assessed is the target
Phaius australis,Phaius australis,Lesser swamp-orchid,Plants,EN,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Livestock farming and ranching
Phaius bernaysii,Phaius bernaysii,NA,Plants,EN,11,Climate change and severe weather,11.1,Habitat shifting and alteration,11.1,Habitat shifting and alteration,Climate change and severe weather,Sea-level rise,Long term,3,1,1,5,Low,Sea-level rise potentially a big concern in future
Phascogale tapoatafa kimberleyensis,Phascogale tapoatafa kimberleyensis,Brush-tailed phascogale,Mammals,VU,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,0,2,3,5,Low,Habitat loss and fragmentation
Phascogale tapoatafa kimberleyensis,Phascogale tapoatafa kimberleyensis,Brush-tailed phascogale,Mammals,VU,12,Other options,12,Other options,12,Other options,Disrupted ecosystem and population processes,Genetic introgression/hybridisation,Ongoing,0,2,3,5,Low,Loss of genetic diversity
Phebalium daviesii,Phebalium daviesii,"Davies' waxflower, st helens waxflower",Plants,CR,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Short term,3,1,1,5,Low,Conservation covenant excludes stock from natural population
Philotheca basistyla,Philotheca basistyla,NA,Plants,EN,9,Pollution,9.3,Agricultural and forestry effluents,9.3.1,Nutrient loads,Pollution,Nutrient loads,Ongoing,1,1,3,5,Low,Nutrient loads
Philotheca basistyla,Philotheca basistyla,NA,Plants,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,1,1,3,5,Low,Roads and railroads
Phlegmariurus dalhousieanus,Phlegmariurus dalhousieanus,Bluetassel-fern,Plants,EN,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Short term,3,1,1,5,Low,Potential drying with climate change
Phoebetria fusca,Phoebetria fusca,Sooty albatross,Birds,VU,9,Pollution,9.2,Industrial and military effluents,9.2,Industrial and military effluents,Pollution,Effluent and wastewater,Ongoing,2,0,3,5,Low,Mercury
Phyllodes imperialis smithersi,Phyllodes imperialis smithersi,Pink underwing moth,Invertebrates,EN,9,Pollution,9.6,Agricultural and forestry effluents,9.6.1,Light pollution,Pollution,Light pollution,Ongoing,1,1,3,5,Low,Light pollution
Phyllodes imperialis smithersi,Phyllodes imperialis smithersi,Pink underwing moth,Invertebrates,EN,1,Residential and commercial development,1.1,Housing and urban areas,1.1,Housing and urban areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Ongoing,1,1,3,5,Low,Housing and urban areas
Picris evae,Picris evae,Hawkweed,Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Unspecified weeds
Pimelea pagophila,Pimelea pagophila,Grampians rice-flower,Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (phytophthora),Invasive species and diseases,Disease,Short term,3,1,1,5,Low,Highly susceptible to phytophthora; no infection known at present
Pimelea pagophila,Pimelea pagophila,Grampians rice-flower,Plants,VU,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Short term,3,1,1,5,Low,Roads and railroads
Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4),Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4),NA,Plants,EN,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,1,1,3,5,Low,Mining and quarrying
Pityrodia sp. marble bar (g.woodman and d.coultas gwdc opp 4),Pityrodia sp. marble bar (g.woodman and d.coultas gwdc opp 4),NA,Plants,EN,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,1,1,3,5,Low,Mining and quarrying
Platycercus caledonicus brownii,Platycercus caledonicus brownii,King island green rosella,Birds,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,1,1,3,5,Low,Increase in fire frequency/intensity
Platycercus caledonicus brownii,Platycercus caledonicus brownii,King island green rosella,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rats),Invasive species and diseases,Invasive rodent,Ongoing,1,1,3,5,Low,Black rat
Platycercus caledonicus brownii,Platycercus caledonicus brownii,King island green rosella,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,Ongoing,1,1,3,5,Low,Cats
Platycercus caledonicus brownii,Platycercus caledonicus brownii,King island green rosella,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (common starling),Invasive species and diseases,Invasive bird,Ongoing,1,1,3,5,Low,Common starling
Plectranthus habrophyllus,Plectranthus habrophyllus,NA,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Short term,3,1,1,5,Low,Increase in fire frequency/intensity
Plectranthus leiperi,Plectranthus leiperi,NA,Plants,VU,4,Transportation and service corridors,4.2,Utility and service lines,4.2,Utility and service lines,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,1,1,3,5,Low,Utility and service lines
Plectranthus nitidus,Plectranthus nitidus,"Nightcap plectranthus, silver plectranthus",Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (lantana),Invasive species and diseases,Invasive weed,Ongoing,2,0,3,5,Low,Weeds; lantana; no apparent declines
Plectranthus omissus,Plectranthus omissus,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,2,0,3,5,Low,Unspecified weeds
Plectranthus torrenticola,Plectranthus torrenticola,NA,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,1,1,3,5,Low,Weeds at one site
Poephila cincta cincta,Poephila cincta cincta,Southern black-throated finch,Birds,EN,2,Agriculture and aquaculture,2.1,Annual and perennial non-timber crops,2.1.3,Agro-industry farming,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Agro-industry farming
Polytelis alexandrae,Polytelis alexandrae,Princess parrot,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (camels),Invasive species and diseases,Invasive ungulate,Ongoing,1,1,3,5,Low,Camel
Polytelis anthopeplus monarchoides,Polytelis anthopeplus monarchoides,Eastern regent parrot,Birds,VU,5,Biological resource use,5.1,Hunting and collecting terrestrial animals,5.1.3,Persecution/control,Overexploitation and other direct harm from human activities,Direct harvest,Ongoing,1,1,3,5,Low,Persecution/control
Polytelis anthopeplus monarchoides,Polytelis anthopeplus monarchoides,Eastern regent parrot,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (little corella),Disrupted ecosystem and population processes,Problematic native species,Ongoing,1,1,3,5,Low,Little corella cacatua sanguinea
Polytelis anthopeplus monarchoides,Polytelis anthopeplus monarchoides,Eastern regent parrot,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (sulphur-crested cockatoo),Disrupted ecosystem and population processes,Problematic native species,Ongoing,1,1,3,5,Low,Sulphur-crested cockatoo cacatua galerita
Polytelis anthopeplus monarchoides,Polytelis anthopeplus monarchoides,Eastern regent parrot,Birds,VU,5,Biological resource use,5.3,Logging and wood harvest,5.3.4,Unintentional effects: Large scale (species being assessed is not the target) [harvest],"Habitat loss, fragmentation and degradation",Forestry,Ongoing,1,1,3,5,Low,Unintentional effects: large scale -species being assessed is not the target
Pomaderris brunnea,Pomaderris brunnea,Rufous pomaderris,Plants,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,2,0,3,5,Low,Weeds; no decline from monitoring data
Pomaderris brunnea,Pomaderris brunnea,Rufous pomaderris,Plants,VU,3,Energy production and mining,3.2,Mining and quarrying,3.2,Mining and quarrying,"Habitat loss, fragmentation and degradation",Energy production and mining,Ongoing,1,1,3,5,Low,Sand extraction -2/16 popns
Pomaderris halmaturina subsp. halmaturina,Pomaderris halmaturina subsp. halmaturina,Kangaroo island pomaderris,Plants,VU,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Livestock farming and ranching
Pomaderris halmaturina subsp. halmaturina,Pomaderris halmaturina subsp. halmaturina,Kangaroo island pomaderris,Plants,VU,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,1,1,3,5,Low,Roads and railroads
Pomaderris pallida,Pomaderris pallida,Pale pomaderris,Plants,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Short term,3,1,1,5,Low,Increase in fire frequency/intensity
Pomaderris parrisiae,Pomaderris parrisiae,Parris' pomaderris,Plants,VU,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Short term,3,1,1,5,Low,Increase in fire frequency/intensity
Pomaderris subplicata,Pomaderris subplicata,Concave pomaderris,Plants,VU,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Short term,2,2,1,5,Low,Roads and railroads
Pomaderris vacciniifolia,Pomaderris vacciniifolia,Round-leaf pomaderris,Plants,CR,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Livestock farming and ranching
Poranthera petalifera,Poranthera petalifera,Mountain poranthera,Plants,VU,11,Climate change and severe weather,11.1,Habitat shifting and alteration,11.1,Habitat shifting and alteration,Climate change and severe weather,Habitat shifting and alteration,Short term,3,1,1,5,Low,Habitat shifting and alteration
Potorous longipes,Potorous longipes,Long-footed potoroo ,Mammals,EN,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,Ongoing,2,0,3,5,Low,Inappropriate fire regimes
Prasophyllum atratum,Prasophyllum atratum,Three hummock leek-orchid,Plants,CR,4,Transportation and service corridors,4.2,Utility and service lines,4.2,Utility and service lines,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,Ongoing,1,1,3,5,Low,Airstrip maintenance
Prasophyllum correctum,Prasophyllum correctum,Gaping leek-orchid,Plants,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Short term,3,1,1,5,Low,Roads and railroads
Prasophyllum frenchii,Prasophyllum frenchii,"Maroon leek-orchid, slaty leek-orchid, stout leek-orchid, french's leek-orchid, swamp leek-orchid",Plants,EN,2,Agriculture and aquaculture,2.3,Livestock farming and ranching,2.3,Livestock farming and ranching,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,Ongoing,1,1,3,5,Low,Cattle and sheep
Prasophyllum frenchii,Prasophyllum frenchii,"Maroon leek-orchid, slaty leek-orchid, stout leek-orchid, french's leek-orchid, swamp leek-orchid",Plants,EN,7,Natural system modifications,7.2,Dams and water management/use,7.2,Dams and water management/use,Changed surface and groundwater regimes,Dams and altered flow regimes,Short term,2,2,1,5,Low,Ongoing alterations to hydrology
Prasophyllum innubum,Prasophyllum innubum,Brandy marys leek-orchid,Plants,CR,6,Human intrusions and disturbance,6.1,Recreational activities,6.1,Recreational activities,Overexploitation and other direct harm from human activities,Human intrusion,Ongoing,1,1,3,5,Low,Mineral fossickers -one site
