Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Stipiturus malachurus intermedius,Stipiturus malachurus intermedius,Fleurieu peninsula southern emu-wren,Birds,EN,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Long term,3,3,1,7,Medium,Droughts -increased frequency/length
Stipiturus malachurus parimeda,Stipiturus malachurus parimeda,Eyre peninsula southern emu-wren,Birds,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rats),Invasive species and diseases,Invasive rodent,Ongoing,3,1,3,7,Medium,Black rat
Stipiturus malachurus parimeda,Stipiturus malachurus parimeda,Eyre peninsula southern emu-wren,Birds,VU,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Long term,3,3,1,7,Medium,Droughts -increased frequency/length
Stipiturus mallee,Stipiturus mallee,Mallee emu-wren,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,Ongoing,3,1,3,7,Medium,Cats
Stipiturus mallee,Stipiturus mallee,Mallee emu-wren,Birds,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,Ongoing,3,1,3,7,Medium,Foxes
Stipiturus mallee,Stipiturus mallee,Mallee emu-wren,Birds,EN,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Long term,3,3,1,7,Medium,Droughts -increased frequency/length
Stonesiella selaginoides,Stonesiella selaginoides,Clubmoss bush-pea,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,1,3,7,Medium,Suppression in fire frequency/intensity
Stonesiella selaginoides,Stonesiella selaginoides,Clubmoss bush-pea,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Strepera fuliginosa colei,Strepera fuliginosa colei,King island black currawong,Birds,VU,11,Climate change and severe weather,11.2,Droughts,11.2,Droughts,Climate change and severe weather,Increased frequency/severity of droughts,Long term,3,3,1,7,Medium,Droughts -increased frequency/length
Stylidium applanatum,Stylidium applanatum,Flat-leaved triggerplant,Plants,CR,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,1,3,7,Medium,Suppression in fire frequency/intensity
