Orchid species,Myrtaceous host list (literature review),Myrtaceous host list (AVH data),Status,score,N records with specific hosts,% myrtaceous hosts,At least one host is rated and has rating wholly or partly in HS or ES,Orchid distribution wholly or substantially in myrtle rust zone,Threatened species listing status (jurisdiction: category),
Oxysepala schilleriana (syn. Bulbophyllum schillerianum*),,"Syzygium australe* (RT-MS), Syzygium sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,6,50%,No/DD,Yes,,
Oxysepala wadsworthii (syn. Bulbophyllum wadsworthii*),,Leptospermum wooroonooran* (DD),Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,4,25%,DD,Yes,,
Plectorrhiza purpurata*,Leptospermum polygalifolium* (1),"Backhousia myrtifolia* (RT-MS), Leptospermum polygalifolium* (DD)",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,6,33%,No/DD,Yes,,
Rhinerrhiza divitiflora*,Backhousia sciadophora* (RT) (2),,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,–,LR,No,Yes,,
Sarcochilus australis*,"Tristaniopsis laurina* (RT), Backhousia myrtifolia* (RT-MS) (1); Tristania spp. (2).","Backhousia myrtifolia* (RT-MS), Baeckia virgata (DD) (syn. Sannantha virgata), Callistemon sieberi* (HS), Leptospermum polygalifolium* (DD), Tristaniopsis laurina* (RT)",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,31,45%,Yes,Unclear,,
Sarcochilus dilatatus*,,"Backhousia myrtifolia* (RT-MS), Syzygium sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,7,29%,No/DD,Yes,,
Sarcochilus falcatus*,"Austromyrtus spp., Backhousia spp., Syzygium spp. Lophostemon suaveolens* (RT), Tristaniopsis laurina* (RT), Lophostemon confertus* (DD) (1); Backhousia sciadophora* (RT) (2)","Backhousia myrtifolia* (RT-MS), Backhousia sp. (DD)",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,23,13%,No/DD,Yes,,
Sarcochilus olivaceus*,Myrtles (2),,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,–,LR,,Yes,,
Sarcochilus parviflorus*,Myrtles (2),"Backhousia myrtifolia* (RT-MS), Syzygium sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,10,30%,DD/No,Yes,,
Sarcochilus spathulatus*,Myrtaceae (2),Syzygium smithii* (RT-MS),Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,4,25%,DD,Yes,,
Sarcochilus weinthalii*,,Acmena brachyandra (syn. Syzygium ingens*) (DD),Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,3,33,DD,Yes,EPBC Act: VU,
Schoenorchis micrantha*,,Neofabricia myrtifolia* (RT-MS),Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,6,17%,No,Yes,,
Serpenticaulis johnsonii (syn. Bulbophyllum johnsonii*),,Syzygium sp.,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,6,33%,DD,Yes,,
Sestochilos baileyi (syn. Bulbophyllum baileyi*),,"Backhousia hughesii* (MS), Lophostemon sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,17,41%,DD,Yes,,
Taeniophyllum baumei*,,"Austromyrtus sp., Melaleuca brassii (DD) (syn. Asteromyrtus brassii*), Tristaniopsis sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,8,50%,DD,Yes,,
Taeniophyllum muelleri*,,"Callistemon sp., Callistemon salignus* (RT), Callistemon viminalis* (MS-HS), Lophostemon laurina (RT) (syn. Tristaniopsis laurina*), Melaleuca sp., Melaleuca styphelioides* (DD), Syzygium australe* (RT-MS), Tristaniopsis sp.",Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,37,43%,Yes,Yes,,
Thelychiton adae (syn. Dendrobium adae*),,Xanthostemon graniticus* (DD),Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,11,18%,DD,Yes,,
Tropilis callitrophilis (syn. Dendrobium callitrophilum*),"Gossia spp., Rhodamnia spp., Rhodomyrtus spp. (1)",Austromyrtus sp.,Orchids which are Are recorded as having myrtaceous hosts (<50% records); With majority of distribution in myrtle rust zone,low,16,38%,DD,Yes,EPBC Act: VU,
