Scientific Name,Native,Susceptibility,Observation,References,original_source,Synonyms,accepted_name,reason,taxon_rank,accepted_or_suggested_name,notes
Corymbia citriodora variegata,Y,S*,NI,Pegg et al. 2014,Pegg_2014,Corymbia variegata,Corymbia citriodora,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Corymbia citriodora,
Corymbia ficifolia,Y,R-H,I,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Corymbia ficifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia ficifolia,
Corymbia ficifolia  x C. ptychocarpa,H,M,N,Pegg et al. 2014,Pegg_2014,NA,Corymbia ficifolia  x C. ptychocarpa,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Corymbia x [Corymbia ficifolia x C. ptychocarpa],add substitution
Corymbia gummifera,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Corymbia gummifera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia gummifera,
Corymbia henryi,Y,L-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Corymbia henryi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia henryi,
Corymbia intermedia,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Corymbia intermedia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia intermedia,
Corymbia maculata,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Corymbia maculata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia maculata,
Corymbia tessellaris,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Corymbia tessellaris,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia tessellaris,
Corymbia torelliana,Y,R-M,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Corymbia torelliana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Corymbia torelliana,
Cryptocarya laevigata,Y,S*,N,NSW BioAtlas: Myrtle Rust Records,NSW BioAtlas: Myrtle Rust Records,NA,Cryptocarya laevigata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Cryptocarya laevigata,
Darwinia citriodora,Y,M-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Darwinia citriodora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Darwinia citriodora,
Darwinia glaucophylla,Y,S*,I,Morin et al. 2012,Morin_2012,NA,Darwinia glaucophylla,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Darwinia glaucophylla,
Darwinia procera,Y,S*,I,Morin et al. 2012,Morin_2012,NA,Darwinia procera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Darwinia procera,
Decaspermum humile,Y,R-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Decaspermum humile,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Decaspermum humile,
Eucalyptus agglomerata,Y,L-H,NI,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Eucalyptus agglomerata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus agglomerata,
Eucalyptus ambigua,Y,R-H,I,Potts et al. 2016,Potts_2016,Eucalyptus nitida,Eucalyptus ambigua,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus ambigua,
Eucalyptus amygdalina,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus amygdalina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus amygdalina,
Eucalyptus andrewsii,Y,L-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus andrewsii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus andrewsii,
Eucalyptus archeri,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus archeri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus archeri,
Eucalyptus argophloia,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus argophloia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus argophloia,
Eucalyptus baileyana,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus baileyana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus baileyana,
Eucalyptus barberi,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus barberi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus barberi,
Eucalyptus baueriana,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus baueriana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus baueriana,
Eucalyptus bicolor,Y,S*,I,Sandhu and Park 2013,Sandhu_2013,Eucalyptus largiflorens,Eucalyptus largiflorens,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus largiflorens,
Eucalyptus bosistoana,Y,?,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus bosistoana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus bosistoana,
Eucalyptus brookeriana,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus brookeriana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus brookeriana,
Eucalyptus burgessiana,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus burgessiana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus burgessiana,
Eucalyptus caleyi,Y,?,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus caleyi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus caleyi,
Eucalyptus camaldulensis,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus camaldulensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus camaldulensis,
Eucalyptus camaldulensis simulata,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus camaldulensis subsp. simulata,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus camaldulensis subsp. simulata,
Eucalyptus camfieldii,Y,S*,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus camfieldii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus camfieldii,
Eucalyptus camphora,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus camphora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus camphora,
Eucalyptus carnea,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Eucalyptus carnea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus carnea,
Eucalyptus cephalocarpa,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus cephalocarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus cephalocarpa,
Eucalyptus cinerea,Y,M-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus cinerea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus cinerea,
Eucalyptus cladocalyx,Y,R,I,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Eucalyptus cladocalyx,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus cladocalyx,
Eucalyptus cloeziana,Y,M-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Eucalyptus cloeziana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus cloeziana,
Eucalyptus coccifera,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus coccifera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus coccifera,
Eucalyptus cordata cordata,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus cordata subsp. cordata,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus cordata subsp. cordata,
Eucalyptus cordata quadrangulata,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus cordata subsp. quadrangulosa,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus cordata subsp. quadrangulosa,
Eucalyptus cornuta,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus cornuta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus cornuta,
Eucalyptus crebra,Y,R-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus crebra,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus crebra,
Eucalyptus curtisii,Y,M-H,N,Pegg et al. 2014,Pegg_2014,NA,Eucalyptus curtisii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus curtisii,
Eucalyptus dalrympleana,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus dalrympleana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus dalrympleana,
Eucalyptus deanei,Y,H,NI,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus deanei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus deanei,
Eucalyptus deanei brunnea,Y,?,NI,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus deanei,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Eucalyptus deanei,
Eucalyptus delegatensis,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus delegatensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus delegatensis,
Eucalyptus diversicolor,Y,L-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus diversicolor,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus diversicolor,
Eucalyptus dunnii,Y,R-M,I,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Eucalyptus dunnii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus dunnii,
Eucalyptus elata,Y,H,NI,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus elata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus elata,
Eucalyptus fastigata,Y,M-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus fastigata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus fastigata,
Eucalyptus forrestiana,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus forrestiana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus forrestiana,
Eucalyptus gillii,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus gillii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus gillii,
Eucalyptus globoidea,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus globoidea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus globoidea,
Eucalyptus globulus,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus globulus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus globulus,
Eucalyptus globulus bicostata,Y,R-H,I,Morin et al. 2012; Potts et al. 2016,Morin_2012; Potts_2016,NA,Eucalyptus globulus subsp. bicostata,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus globulus subsp. bicostata,
Eucalyptus globulus globulus,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus globulus subsp. globulus,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus globulus subsp. globulus,
Eucalyptus gomphocephala,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus gomphocephala,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus gomphocephala,
Eucalyptus goniocalyx,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus goniocalyx,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus goniocalyx,
Eucalyptus grandis,Y,R-M,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Eucalyptus grandis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus grandis,
Eucalyptus grandis x camaldulensis,H,R,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus grandis x camaldulensis,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Eucalyptus x [Eucalyptus grandis x camaldulensis],add substitution
Eucalyptus guilfoylei,Y,M-H,I,Sandhu and Park 2013,Sandhu_2013,Eucalyptus guilfoyleii,Eucalyptus guilfoylei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus guilfoylei,
