family,scientific_name,taxon_name,mycorrhizal_type,veg_dominant
Restionaceae,Coleocarya gracilis S.T.Blake,Coleocarya gracilis,NM-AM,dominant
Restionaceae,Empodisma minus (Hook.f.) L.A.S.Johnson & D.F.Cutler,Empodisma minus,NM-AM,dominant
Restionaceae,Eurychorda complanata (R.Br.) B.G.Briggs & L.A.S.Johnson,Eurychorda complanata,NM-AM,
Restionaceae,Hypolaena fastigiata R.Br.,Hypolaena fastigiata,NM-AM,
Restionaceae,Leptocarpus tenax (Labill.) R.Br.,Leptocarpus tenax,NM,dominant
Restionaceae,Lepyrodia imitans B.G.Briggs & L.A.S.Johnson,Lepyrodia imitans,NM-AM,
Restionaceae,Lepyrodia scariosa R.Br.,Lepyrodia scariosa,NM-AM,
Restionaceae,Sporadanthus caudatus (L.A.S.Johnson & O.D.Evans) B.G.Briggs & L.A.S.Johnson,Sporadanthus caudatus,NM-AM,
Restionaceae,Sporadanthus interruptus (F.Muell.) B.G.Briggs & L.A.S.Johnson,Spordanthus interruptus,NM-AM,dominant
Rhamnaceae,Alphitonia excelsa (Fenzl) Benth.,Alphitonia excelsa,AM,
Rhamnaceae,Pomaderris argyrophylla N.A.Wakef.,Pomaderris argyrophylla,EcM,
Rosaceae,Rubus parvifolius L.,Rubus parvifolius,AM,
Rubiaceae,Cyclophyllum coprosmoides (F.Muell.) S.T.Reynolds & R.J.F.Hend.,Cyclophyllum coprosmoides,AM,
Rubiaceae,Durringtonia paludosa R.J.F.Hend. & Guymer,Durringtonia paludosa,AM,
Rubiaceae,Gynochthodes jasminoides (A.Cunn.) Razafim. & B.Bremer,Gynochthodes jasminoides,AM,
Rubiaceae,Pomax umbellata (Gaertn.) Sol. ex A.Rich.,Pomax umbellata,AM,
Rubiaceae,Psychotria loniceroides Sieber ex DC.,Psychotria loniceroides,AM,
Rutaceae,Acronychia imperforata F.Muell.,Acronychia imperforata,AM,
Rutaceae,Boronia falcifolia A.Cunn. ex Endl.,Boronia falcifolia,AM,
Rutaceae,Boronia keysii Domin,Boronia keysii,AM,
Rutaceae,Boronia rivularis C.T.White,Boronia rivularis,AM,
Rutaceae,Boronia rosmarinifolia A.Cunn. ex Endl.,Boronia rosmarinifolia,AM,
Rutaceae,Eriostemon australasius Pers.,Eriostemon australasius,AM,
Rutaceae,Phebalium woombye (F.M.Bailey) Domin,Phebalium woombye,AM,
Rutaceae,Philotheca difformis (A.Cunn. ex Endl.) Paul G.Wilson,Philotheca difformis,AM,
Rutaceae,Philotheca queenslandica (C.T.White) P.I.Forst.,Philotheca queenslandica,AM,
Rutaceae,Zieria laxiflora (Benth.) Domin,Zieria laxiflora,AM,
Rutaceae,Zieria minutiflora Domin,Zieria minutiflora,AM,
Rutaceae,Zieria smithii Jacks.,Zieria smithii,AM,
Santalaceae,Exocarpos cupressiformis Labill.,Exocarpos cupressiformis,NM-AM,
Santalaceae,Leptomeria acida R.Br.,Leptomeria acida,NM-AM,
Sapindaceae,Cupaniopsis anacardioides (A.Rich.) Radlk.,Cupaniopsis anacardioides,AM,
Sapindaceae,Dodonaea triquetra J.C.Wendl.,Dodonaea triquetra,AM,
Sapindaceae,Dodonaea viscosa Jacq.,Dodonaea viscosa,AM,
Scrophulariaceae,Eremophila debilis (Andrews) Chinnock,Eremophila debilis,AM,
Solanaceae,Duboisia myoporoides R.Br.,Duboisia myoporoides,AM,
Stackhousiaceae,Stackhousia nuda Lindl.,Stackhousia nuda,AM,
Stylidiaceae,Stylidium graminifolium Sw.,Stylidium graminifolium,AM,
Stylidiaceae,Stylidium ornatum S.T.Blake,Stylidium ornatum,AM,
Thymelaeaceae,Pimelea linifolia Sm.,Pimelea linifolia,AM,
Thymelaeaceae,Wikstroemia indica (L.) C.A.Mey.,Wikstroemia indica,AM,
Violaceae,Pigea monopetala (Schult.) Ging. ex DC.,Hybanthus monopetalus,AM,
Xanthorrhoeaceae,Xanthorrhoea fulva (A.T.Lee) D.J.Bedford,Xanthorrhoea fulva,AM,dominant
Xanthorrhoeaceae,Xanthorrhoea johnsonii A.T.Lee,Xanthorrhoea johnsonii,AM,dominant
Xanthorrhoeaceae,Xanthorrhoea latifolia (A.T.Lee) D.J.Bedford,Xanthorrhoea latifolia,AM,
Xyridaceae,Xyris complanata R.Br.,Xyris complanata,NM-AM,
Xyridaceae,Xyris juncea R.Br.,Xyris juncea,NM-AM,
