taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Prostanthera eurybioides," The Monarto mintbush is endemic to South Australia SA and has a restricted distribution in two disjunct localities in the southeast of SA in Monarto near Murray Bridge and in the Mt Monster area near Keith Map 1 It is found in the Kanmantoo bioregion a biodiversity hotspot Environment SA nd Given the specific habitat requirements of this species it is likely that there are few unknown subpopulations though some subpopulations on private property may remain undiscovered Pound et al 2010 As of 2010 it was estimated that the total population has approximately 2233 individuals consisting of 1216 naturally occurring plants and 1017 translocated plants Pound et al 2010 As of 2018 the total population was estimated at 2084 individuals consisting of 1250 naturally occurring plants and 834 translocated plants Moritz et al 2018 Translocations of the Monarto mintbush have occurred as the result of numerous projects since at least 1995 Jusaitis 2010 Pound et al 2010 Jusaitis 2018 Moritz et al 2018 The majority of these translocations have been either reinforcement supplemental or reintroduction translocations sensu IUCN SSC 2013 In order to be counted as part of the wild population for the purpose of listing assessments translocated plants must have survived for at least 5 years and have produced mature offspring or offspring that are likely to reach maturity IUCN SPC 2022 Many translocated Monarto mintbush plants have produced viable seed and seedlings especially at Mt Monster while some at Monarto have only flowered with no signs of natural recruitment Jusaitis 2010 However large quantities of viable seed were produced at Monarto in 2017 Moritz et al 2018 More recent translocations have notbeen included in population counts DEW 2021

Monarto area Moritz et al 2018 estimated that there are approximately 909 individuals within the general Monarto area including 682 translocated planted individuals Some Monarto sites have been supplemented with planted individuals reinforcement and others consist only of planted individuals reintroduction Moritz et al 2018 Supplementary plantings began in 1995 as part of a study focussing on the impact of fencing on the survival of seedlings Jusaitis 2010 In 2003 State Flora Murray Bridge planted approximately 1000 individuals at Rocky Gully Reserve however by 2005 only 452 of these remained Obst 2005 Pound et al 2010 Other sites included 130 individuals planted within the grounds of Monarto Zoo 67 in the southwestern

portion of a Heritage Agreement at Monarto Jusaitis  Smith 1999 and 196 that were translocated to Section 530 in the Hundred of Monarto see SA OSG 1979 Jusaitis et al 1998 Subsequent translocations from 2013 to 2015 resulted in 218 plants surviving after 2 years with a 52 survival rate and 70 of surviving individuals flowering Moritz et al 2018

The remnant subpopulation of Monarto mintbush at Monarto has remained relatively stable between 2004 and 2020 apart from one small property where numbers reduced dramatically over time DEW 2021 It is notable that these are very small remnants that were left with grazing and no active management other than weed control During this period the largest natural subpopulation saw a small reduction in numbers from 143 plants to 139 plants which was supplemented with a small amount of planting DEW 2021 Significant mortality of planted individuals was observed in Kinchina Conservation Park which dropped from 461 plants to 73 plants DEW 2021 However this is likely a result of poor planting location These plants were planted into an open area where they have been subject to high grazing pressure DEW 2021 This unfavourable environment is likely the cause of lack of recruitment DEW 2021

It is notable that these subpopulation figures Table 1 do notinclude other more recent plantings at Monarto some of which are reported to be doing very well DEW 2021 These sites have notbeen included in official subpopulation counts as no decision has been made as to at what age to count them for example which time since plantingsurvivalflowering is the correct time to add to databases DEW 2021

Table 1 Monarto mintbush subpopulation records at Monarto

Subpopulation nameSite numberNumber ofNatural or planted Date of last a plantssurvey Property 1153Both8122020 21Natural8122020 32Natural8122020 43Natural8122020 1139Both30112020Property 2 Heritage Agreement 322Planted1012016 24Both0012016Property 2 421Planted30112020 Property 311Natural1112013 Kinchina Conservation Park173Both17112020 228Both16032021 33Natural1012016 40Natural26022021 1162Planted1012016Monarto Zoo 267Planted17112020 137Planted1012016Maurice Road

Source DEW 2021 Note a Both = data source does notdifferentiate between remnant or planted

Mt Monster A February 2007 survey of the Mt Monster area found approximately 1175 individuals with subpopulations occurring within the Mt Monster Conservation Park and surrounding areas including Christmas Rocks Kongal Rocks and Monster Rock Johnson pers comm 2007 cited in

Pound et al 2010 Of this total Pound et al 2010 estimated that 1023 plants were naturally occurring and 152 individuals were planted The planted individuals are the survivors of 182 plants propagated from locally collected seed which were translocated during 1997 and 1998 to Christmas Rocks Kongal Rocks and the southern boundary of Mt Monster Conservation Park Jusaitis  Smith 1999 In 2018 the Mt Monster subpopulation was again estimated to consist of 1175 individuals including 152 which had been planted Moritz et al 2018

Map 1 Modelled distribution of the Monarto mintbush

Source Species distribution data Species of National Environmental Significance database Base map Geoscience Australia Caveat The information presented in this map has been provided by a range of groups and agencies While every effort has been made to ensure accuracy and completeness no guarantee is given nor responsibility taken by the Commonwealth for errors or omissions and the Commonwealth does notaccept responsibility in respect of any information or advice given in relation to or as a consequence of anything contained herein Species distribution mapping The species distribution mapping categories are indicative only and aim to capture a the specific habitat type or geographic feature that represents recent observed locations of the species known to occur or preferred habitat occurring in close proximity to these locations likely to occur and b the broad environmental envelope or geographic region that encompasses all areas that could provide habitat for the species may occur These presence categories are created using an extensive database of species observations records national and regionalscale environmental data environmental modelling techniques and documented scientific research

Cultural and community significance

The cultural customary and spiritual significance of species and the ecological communities they form are diverse and varied for Indigenous Australians and their stewardship of Country This section describes some examples of this significance but is notintended to be comprehensive or applicable to or speak for Indigenous Australians Such knowledge may be held by Indigenous Australians who are the custodians of this knowledge and have the rights to decide how this knowledge is shared and used

The known subpopulations of the Monarto mintbush are found on the land of the Bindjali and Ngarrindjeri cultural and dialectal groups AIATSIS 2022 ",,,,,,,,,,,,,,,,,,,,
Pterostylis x aenigma, altitude of 950 m above sea level Duncan 2008 The enigmatic greenhood occurs in moist flats along floodplainss of small streams in tall openforest on moistureretentive clay loam Duncan 2008 ,,,,,,,moist,moist,flats,flats,forest_open floodplain streams,openforest floodplains streams,,,,,clay loam,clay loam,wet,moistureretentive moistureretentive
Pultenaea sp. Genowlan Point (NSW 417813), clifftop escarpment ,,,,,,,,,escarpment,escarpment,clifftops escarpment,clifftop clifftop escarpment,,,,,,,,
Samadera sp. Moonee Creek (J.King s.n. Nov. 1949), in moist shrubby open eucalyptforest on slopes or riparian rainforest gullies and occasionally in dry openforest with a heathy understorey NSW OEH 2011 2020 Associated soils include metasediments et sclerophyllforest all dry Eucalypt forests ,,,,,,,dry moist,dry moist,gullies slopes,gullies slopes,forest_eucalyptus forest_open forest_sclerophyll rainforest riparian forest,eucalyptforest openforest sclerophyllforest rainforest sclerophyllforest rainforest riparian forests,,,,,,,,
Verticordia fimbrilepis subsp. fimbrilepis, grows in lowlying shallow grey sand and yellowishwhite sandy loam over gravel sometimes with clay It is found in low heath and scrubland as well as open Eucalyptus wandoowoodland George 2002 ,,,,,,,,,depressions,lowlying,woodland_wandoo heath scrubland,wandoowoodland heath scrubland,grey,grey,,,clay gravel loam sand,clay gravel loam sand sandy,,
Darwinia apiculata, open JarrahMarri Woodland on shallow gravelly soil over laterite or open heathland over sandy loams with granite boulders DEC 2009 I ,,,,,,,,,,,heath,heathland,,,granitic lateritic,granite laterite,gravel loam sand,gravelly loams sandy,,
Darwinia carnea, grows on an exposed lateritic gravel hilltop in dark yellow brown sandy loam soil with gravel over the lateritic duricrust Vegetation of the Narrogin populations consists of very low openwoodland ,,,,,,,,,,,woodland_open,openwoodland openwoodland,brown yellow,brown yellow,lateritic,lateritic,gravel loam sand,gravel loam sandy,,
Epacris exserta, land along a riverbanks ,,,,,,,,,,,streambanks,riverbanks riverbanks,,,,,,,,
Epacris virgata, undulating terrain ,,,,,,,,,undulating,undulating,,,,,,,,,,
Eriocaulon carsonii, spring complexes   endemic to discharge springs ,,,,,,,,,,,,,,,,,,,,
Hemiandra rutilans, habitat comprises low woodland   The soil type is deep grey sand ,,,,,,,,,,,woodland,woodland,grey,grey,,,sand,sand,,
Olearia macdonnellensis," largely confined to a single valley where it occurs in gullies and drainagelines at the base of rockyslopes which provide a sheltered microclimate and on breakaways shale outcrops and steep hillslopes
Cooke 1986 Mesic gullies and rockyslopes are refuges embedded within dominantly drier landscapes Soderquist  MacNally 2000 ",,,,,,,dry,drier,drainages slopes_rocky breakaways gullies hills rocky_outcrop valley,drainagelines rockyslopes breakaways gullies hills outcrops valley,outcrop rocky,outcrops breakaways rockys,,,shale,shale,soil_rocky,rockys,,
Acacia axillaris, watercourses or soaks H extends onto surrounding slopes such as boulder scree above riparian zones Simmons 1982 Barker and Johnson 1998 Johnson and Barker 1998 Lynch et al 1999 Slopes are gentle and disturbance by floods is usually frequent Lynch et al 1999 Most stands are on dolerite although the species also occurs on sedimentary rocks and alluvium Lynch et al 1999 ,,,,,,,,,rocky slopes watercourses,scree slopes watercourses,streambanks riparian rocky streams,watercourses riparian scree watercourses,,,alluvial dolerite,alluvium dolerite,,,,
Acacia deuteroneura, knoll of weatheredsandstone ,,,,,,,,,,,knoll,knoll,,,,,,,,
Acacia equisetifolia, grows on rocky sandstone slopes at cliffline in sandstone woodland ,,,,,,,,,escarpment slopes,cliffline slopes,rocky woodland,rocky woodland,,,sandstone,sandstone,sand soil_rocky,sands rocky,,
Acacia eremophiloides, grows on exposed rocky granite ridges in shallow sandy welldrained weakly acidic soils Pedley and Forster 1986 ,,,,,,,,,ridges,ridges,rocky,rocky,,,acidic granitic,acidic granite,sand soil_rocky,sandy rocky,draining,welldrained welldrained
Acacia grandifolia, grows on hilly terrain of varying aspect and slope ,,,,,,,,,hills slopes,hilly slope,,,,,,,,,,
Acacia lauta, on sandy soils in openwoodland Maslin 2005 ,,,,,,,,,,,woodland_open,openwoodland openwoodland,,,,,sand,sandy,,
Adenanthos velutinus, grows in peaty soils among rocks ,,,,,,,,,,,,,,,,,peat,peaty,,
Androcalva procumbens, occurs in sandy soils often in disturbed habitats such as road verges quarry boundaries gravel stockpiles and power line easements Ayers et al 1996 Gross  Mackay 1998 Harden 2000 DECC NSW 2005a R procumbens is often found in communities of Eucalyptus dealbataE sideroxylon woodland Melaleuca uncinata shrubland and mallee eucalypt with Calytrix tetragona understorey Ayers et al 1996 DECC NSW 2005a ,,,,,,,,,,,disturbed mallee shrubland woodland,disturbed mallee shrubland woodland,,,,,gravel sand,gravel sandy,,
Aponogeton prolifer, aquatic herb known only from creeks running through rainforestmargins occurs in narrow shallow and heavily shaded coastal streams Hellquist  Jacobs 1998 ,,,aquatic,aquatic,,,,,coastal,coastal,rainforest_margin aquatic streams,rainforestmargins aquatic creeks streams,,,,,,,,
Archidendron lovelliae, margins of subtropical lowland rainforest and wetsclerophyllforest on deep coastal sands ,,,,,,,wet,wets,coastal,coastal,forest_wet_sclerophyll rainforest,wetsclerophyllforest rainforest rainforest,,,,,sand,sands,,
Aristida annua, a occurs in eucalyptwoodland BRI collection records nd Simon 1984 1992 It is restricted to blackclay soils Simon 1984 basalt soils and possibly disturbed sites ,,,,,,,,,,,woodland_eucalypt disturbed,eucalyptwoodland disturbed,,,basaltic,basalt,clay_black,blackclay,,
Aristida granitica, grows in sandy soil derived from granite sand in eucalyptwoodland ,,,,,,,,,,,woodland_eucalypt,eucalyptwoodland,,,granitic,granite,sand,sand sandy,,
Asterolasia grandiflora, grows on lateritic loam in openwoodland of Drummonds Gum Eucalyptus drummondii Wandoo E wandoo and Marri Corymbia calophylla over heath dominated by Dwarf Sheoak Allocasuarina humilis Common Woollybush Adenanthos cygnorum Many headed Dryandra Banksia polycephala and Catkin Grevillea Grevillea synapheae Kelly et al 1990 ,,,,,,,,,,,woodland_open heath woodland_wandoo,openwoodland heath openwoodland wandoo,,,lateritic,lateritic,loam,loam,,
Astrotricha crassifolia, grows on dry ridgetops to 300 m altitude Benson  McDougall 1993 and is associated with very rich heath or drysclerophyllwoodland Harden 1992 Vegetation associations include typical sandstone genera such as Hakea Banksia and Xylomelum Benson  McDougall 1993 ,,,,,,,dry,dry,,,woodland_dry_sclerophyll heath,drysclerophyllwoodland heath,,,sandstone,sandstone,sand,sands,,
Atalaya brevialata, grows in woodland  in the overstorey with an open layer of perennial grasses  It usually occurs on sandy soils in footslopes often with a surface gravel layer sometimes grows in low woodland in more poorly drained situations but on more gravelly slight rises ,,,,,,,,,swales,rises,woodland,woodland,,,,,gravel sand,gravel gravelly sandy,,
Atriplex infrequens, associated with broad drainage tracts clay flats and possibly occasionally inundated habitats ,,,,,,,,,flats,flats,,,,,,,clay,clay,,
Austrostipa metatoris, grows in sandy mallee areas of the Murray Valley Habitat includes sandhills sand ridges undulating plainss and flat open mallee country with red to redbrown clayloam to sandyloam soils DECC NSW 2005a Associated species include the trees and shrubs Bimble Box Eucalyptus populnea Gum Coolibah E intertexta White Cypress Pine Callitris glaucophylla Belah Casuarina cristata Sweet Quandong Santalum acuminatum Sticky Hopbush Dodonaea viscosa Hakea ivoryi and the grasses Austrostipa drummondii and A eremophila Ayers et al 1996 DECC NSW 2005a ,,,,,,,,,flats plains ridges undulating,flat plainss ridges undulating,mallee plains sandhills shrubland,mallee plains sandhills shrubs,red,red,,,loam_sandy loam_clayey sand,sandyloam clayloam sandyloam sand sandy,,
Azorella macquariensis, in feldmark vegetation ,,,,,,,,,,,feldmark,feldmark,,,,,,,,
Banksia serratuloides subsp. perissa, grows in lateritic gravel and brown loam on ridge tops and slopes or in redbrown sand on lower areas This subspecies favours areas of low dense heath but can also be found in low openwoodland ,,,,,,,,,ridges slopes,ridge slopes,woodland_open heath,openwoodland heath openwoodland,brown,brown,lateritic,lateritic,gravel loam sand,gravel loam sand,,
Barbarea australis, nearriver margins creek beds and along flood channels in shallow alluvial silt on rock slabs rocky ledges or between large cobbles ,,,,,,,,,rock_ledge,ledges,streambanks streams rocky,nearriver creek rocky,,,alluvial,alluvial,silt soil_rocky,silt rocky,,
Beyeria lepidopetala, growing in varied habitats such as yellow sandyclay in a gully in low heath in turn situated in an area of open mallee woodland regenerating after fire and low regenerating heath on a limestone ridge above a gully The most northerly population grows in shallow sand over sandstone ,,,,,,,,,gullies ridges,gully ridge,heath mallee woodland,heath mallee woodland,yellow,yellow,limestone sandstone,limestone sandstone,clay_sandy sand,sandyclay sand,,
Boronia gunnii, grows in a riparian habitat occurring in the flood zone of rivers in rock crevices or in the shelter of boulders and on a substrate of Jurassic dolerite A ,,,,,,,,,,,crevices riparian streams,crevices riparian rivers,,,dolerite,dolerite,,,,
Bossiaea oligosperma, occurs in eucalyptwoodland including Grevillea aspleniifolia Benson  McDougall 1996 It grows on stony slopes or sandstone ridges in the Yerranderie area and on loamy soil in the Windellama area DECC 2005a ,,,,,,,,,ridges slopes,ridges slopes,woodland_eucalypt,eucalyptwoodland,,,sandstone,sandstone,loam sand stony,loamy sands stony,,
Bothriochloa bunyensis, on relatively fertile krasnozem darkbrown soils derived from basalt on upper slopes and hill crests at altitudes of 6001100 m in grassland or woodland with a grassy understorey Halford 1998 ,,,,,,,,,hills slopes,hill slopes,grassland woodland,grassland woodland,brown_dark,darkbrown,basaltic,basalt,fertile,fertile,,
Brachychiton sp. Ormeau (L.H.Bird AQ435851), grows in riparian rainforest It occurs near small streams in rocky gorges comprised of metasedimentary rocks among microphyll vineforest and on quaternary alluvium near larger streams in notophyll vineforest communities It seems to favour undisturbed rainforest ,,,,,,,,,gorges,gorges,rainforest riparian streams vine_thicket rocky,rainforest rainforest riparian streams vineforest rocky,,,alluvial,alluvium,soil_rocky,rocky,,
Brachyscias verecundus, endemic to winterwet clay over ironstone in open to tall shrubland Luu  English 2004 ,,,,,,,winterwet,winterwet winterwet,,,shrubland,shrubland,,,iron ironstone,irons ironstone,clay,clay,,
Brachyscome muelleri, on a steep south facing slope of a gorge Soils at the site are gravelly red to brown friable loams overlying bedrock and interspersed with rocky outcrops Jusaitis et al 1998 ,,,,,,,,,rocky_outcrop slopes,outcrops slope,outcrop rocky,outcrops rocky,brown red,brown red,,,gravel loam soil_rocky,gravelly loams rocky,,
Bulbophyllum gracillimum, occurs in rainforest at an altitude of 300400 m ,,,,,,,,,,,rainforest,rainforest rainforest,,,,,,,,
Bulbophyllum longiflorum, in rainforests usually in humid locations where there is plenty of air movement such as ridge tops slopes and alongstreambank Jones 1988 ,,,,,,,,,ridges slopes,ridge slopes,rainforest,rainforests rainforests,,,,,,,,
Burmannia sp. Bathurst Island (R.Fensham 1021)," springfed rainforest patches  recorded from wet rainforests growing in permanently wet habitat that has probably been disturbed by occasional floodwater Fensham 1993 and out of damp peat in raised areas Kerrigan et al 2007
 habit requires soils with significant amounts of organic matter ",,,,,,,moist wet,damp wet,,,rainforest disturbed,rainforest disturbed rainforest,,,,,peat,peat,,
Caladenia xantholeuca, occurs in Callitris glaucophylla woodland often on south facing slopes in heavily shaded areas where it grows on mossy rock ledges and redbrown loam soils Quarmby 2006 ,,,,,,,,,rock_ledge slopes,ledges slopes,woodland,woodland,,,,,loam,loam,,
Calytrix gurulmundensis, occurs on ridge tops in openscrubland with sparse stunted Eucalyptus spp Acacia spp and Casuarina in Triodiahummock grassland with scattered shrubs and growing on yellow lateritic sandyclay shallow red gravelly soil and sandstone Craven 1987 ,,,,,scattered,scattered,,,ridges,ridge,grassland shrubland,grassland shrubs,red yellow,red yellow,lateritic sandstone,lateritic sandstone,clay_sandy gravel sand,sandyclay gravelly sands,,
Dendrobium carronii, occurs at altitudes of 200600 m above sea level It is found in stunted openforest particularly adjacent to lowlyingareas that are subject to periodicinundation It is often found growing on Melaleuca viridiflora Jones 2006 and also on Xanthostemon crenulatus and Swamp Turpentine Lophostemon suaveolens in swampforests Lavarack  Cribb 1982 Lavarack  Gray 1985 Dockrill 1992 Lavarack et al 2000 Dendrobium carronii is locallycommon within its restricted range Jones 2006 ,,,,,common_locally,locallycommon,,,flats,lowlyingareas,forest_open inundated_intermittent swamp_forest,openforest periodicinundation swampforests,,,,,,,,
Chamelaucium sp. Cataby (G.J.Keighery 11009), does notappear to be site selective growing in brown loam sandyclay and lateritic gravel between laterite boulders on the slopes edge and base of breakaways Brown et al 1998 Patrick  Brown 2001 DEC 2008 This species occurs in dense low heath  under open low woodland ,,,,,,,,,breakaways slopes,breakaways slopes,heath rocky woodland,heath breakaways woodland,brown,brown,lateritic,laterite lateritic,clay_sandy gravel loam,sandyclay gravel loam,,
Chorizema varium, grow on low coastalheath in shallowsoil over limestone in association with other shrubs ,,,,,,,,,,,heath_coastal shrubland,coastalheath shrubs,,,limestone,limestone,soil_shallow,shallowsoil,,
Colobanthus curtisiae, vegetation types ranging from lowland Poa and Themeda grasslands to grassy and shrubby woodlandforests and rockplates It occurs on gentle slopes with elevations of between 160 m in lowlands areas and 1300 m in alpine areas Rainfall varies from 530 mm in the Midlands area to 1400 mm on Ben Lomond The species is most commonly found on soils derived from sandstone as well as clay loams derived from dolerite and basalt It can persist in remnant grasslands which may be grazed by stock TSU 2001 ,,,,,,,,,slopes,slopes,alpine grassland,alpine grasslands,,,basaltic dolerite sandstone,basalt dolerite sandstone,clay loam sand,clay loams sands,,
Ozothamnus eriocephalus, grows on rocky escarpments slopes and creek gullies in closed rainforestmargins and open eucalyptforest BRI collection records nd ,,,,,,,,,escarpment gullies slopes,escarpments gullies slopes,forest_eucalyptus rainforest_margin escarpment streams rocky,eucalyptforest rainforestmargins escarpments creek rocky,,,,,soil_rocky,rocky,,
Ozothamnus reflexifolius, occurs on a steep west to northwest facing dolerite slope with plants occurring in either Allocasuarina woodlands open heath or emerging from crevices of sheer dolerite slabs DPIWE 2004 ,,,,,,,,,slopes,slope,crevices heath woodland,crevices heath woodlands,,,dolerite,dolerite,,,,
Paragoodia crenulata, growing on stony red loam soil and occurs in association with Melaleuca paperbarks and Acacia species Durrell and Buehrig 2001 ,,,,,,,,,,,woodland_paperbark,paperbarks,red,red,,,loam stony,loam stony,,
Pelargonium sp. Striatellum (G.W.Carr 10345), occur in habitat usually located just above the high water level of irregularly inundated or ephemeral lakes During dry periods the species is known to colonise exposed lake beds ,,,,,,,dry wet,dry water,,,lakes,lakes,,,,,,,,
Persicaria elatior, grows on sandy alluvial soil in swampy areas and riparian herblands along watercourses and lake edges commonly grows in wetland areas at Couran Cove Island Resort and is found in waterholes under Livistona australis BRI nd Couran Cove Island Resort 2008 ,,,,,,,wet,swampy,watercourses,watercourses,streambanks herbfield riparian streams swamp waterholes,watercourses herblands riparian watercourses swampy waterholes,,,alluvial,alluvial,sand,sandy,,
Petrophile latericola, inhabits both tall and low heath on winterwetflats of redsandyclay over ironstone with ,,,,,,,,,flats inundated_intermittent,winterwetflats,heath,heath,red,reds,iron ironstone,irons ironstone,,,,
Phaius bernaysii, grow along the margins between openforestwoodland and closed sedgeland along the perimeter of a swamp often in a fairly shady environment in Melaleuca quinquenerviaEucalyptus robusta openforest in sandy or peaty soil ,,,,,,,wet,swamp,,,forest_open swamp,openforest swamp,,,,,peat sand,peaty sandy,,
Phebalium whitei, in heathland in granite soil cracks in granite rock among granite pavement and boulders along a creek and on or near a wet creekbank in shallowsoil BRI collection details nd ,,,,,,,wet,wet,streambanks,creekbank,streambanks heath streams,creekbank heathland creekbank creek,,,granitic,granite,soil_shallow pavement,shallowsoil pavement,,
Philotheca freyciana, scattered occurrence through the massive granite monolith known as The Hazards within the Freycinet National Park occurring from just above sea level to the higher elevations 10440 m   occurs exclusively on Devonian granite growing either in crevices or shallowsoils in the runnels within the massive granites ,,,,,scattered,scattered,,,,,crevices,crevices,,,granitic,granite,soil_shallow,shallowsoils,,
Philotheca wonganensis, grows in red soil over fractured or schisotose greenstone in dense shrubland 35 m tall with sparse ground cover and openwoodland with shrubland understorey ,,,,,,,,,,,woodland_open shrubland,openwoodland shrubland openwoodland,red,red,greenstone,greenstone,,,,
Phlegmariurus filiformis, in complex vineforest Chinnock 1998 ,,,,,,,,,,,vine_thicket,vineforest,,,,,,,,
Phlegmariurus delbrueckii, or rainforest trees growing above an altitude of 800 m Chinnock 1998 ,,,,,,,,,,,rainforest,rainforest rainforest,,,,,,,,
Pimelea leptospermoides, grows on stony hillsides and sandyclay in Eucalyptus fibrosa and Corymbia xanthope openwoodland BRI collection records nd Rye 1990 p 172 widespread on serpentine soils ,,,,,widespread,widespread,,,hills,hills hillsides,woodland_open,openwoodland openwoodland,,,,,clay_sandy stony,sandyclay stony,,
Pimelea spinescens subsp. pubiflora, s occur on level ground with a loamy soil type The Natimuk population occurs on a roadside reserve in a grassland dominated by spear grasses and wallaby grasses ,,,,,,,,,,,grassland roadside,grassland roadside,,,,,loam,loamy,,
Pimelea venosa, grows on granite outcrops among granite boulders Harden 1990 Rye 1990 NSW NPWS 1999 in skeletal NSW NPWS 1999 or black sandy soil Rye 1990 NSW NPWS 1999 The associated vegetation is openwoodland or openforest dominated by Eucalyptus spp ,,,,,,,,,rocky_outcrop,outcrops,forest_open woodland_open outcrop,openforest openwoodland outcrops openwoodland,black,black,granitic,granite,sand skeletal,sandy skeletal,,
Pityrodia augustensis, grows on rocky hillsides ,,,,,,,,,hills,hills hillsides,rocky,rocky,,,,,soil_rocky,rocky,,
Coleus gratus, inhabits rock outcrops of granite or basalt in either wet Eucalypt forest or vineforest Queensland Herbarium 2008 ,,,,,,,wet,wet,rocky_outcrop,outcrops,outcrop vine_thicket forest,outcrops vineforest forest,,,basaltic granitic,basalt granite,,,,
Coleus habrophyllus, occurs on rock outcrops of sandstone or chert in shaded situations in eucalyptwoodland often close to vineforest ,,,,,,,,,rocky_outcrop,outcrops,woodland_eucalypt outcrop vine_thicket,eucalyptwoodland outcrops vineforest,,,sandstone,sandstone,sand,sands,,
