Host name,New host record,Tribe,Disease susceptibility rating,Flower/fruit infection,Rust spore type
Gossia acmenoides,,Myrteae,HS,,2 3
Gossia bamagensis,×,Myrteae,RT,,2
Gossia bidwillii,,Myrteae,RT,,2
Gossia floribunda,,Myrteae,RT,,2
Gossia fragrantissima,,Myrteae,MS,,2
Gossia gonoclada,,Myrteae,HS,,2
Gossia hillii,,Myrteae,HS-ES,,2 3
Gossia inophloia,,Myrteae,ES,,2 3
Gossia lewisensis,×,Myrteae,MS-HS,,2
Gossia macilwraithensis,,Myrteae,MS,,2 3
Gossia myrsinocarpa,×,Myrteae,MS-HS,×,2
Gossia punctata,,Myrteae,MS,,2 3
Homoranthus melanostictus,×,Chamelaucieae,MS,,2
Homoranthus papillatus,×,Chamelaucieae,MS,,2
Homoranthus virgatus,×,Chamelaucieae,MS,×,2
Hypocalymma angustifolium,×,Chamelaucieae,RT,,2
Lenwebbia lasioclada,,Myrteae,RT,,2
Lenwebbia prominens,,Myrteae,HS,×,2 3
Lenwebbia sp. Blackall Range,,Myrteae,RT,,2
Leptospermum liversidgei,×,Leptospermeae,MS,,2
Leptospermum luehmannii,,Leptospermeae,RT,,2
Leptospermum madidum,×,Leptospermeae,MS,,2
Leptospermum petersonii,,Leptospermeae,RT,,2 3
Leptospermum semibaccatum d,×,Leptospermeae,RT,,2
Leptospermum trinervium,,Leptospermeae,MS,,2
Lindsayomyrtus racemoides,,Lindsayomyrteae,RT,,2 3
Lophostemon suaveolens,×,Lophostemoneae,RT,,2
Melaleuca fluviatilis,,Melaleucaeae,HS,,2
Melaleuca formosa,×,Melaleucaeae,RT,,2
Melaleuca leucadendra,,Melaleucaeae,RT-HS,×,2
Melaleuca linariifolia,,Melaleucaeae,RT,,2
Melaleuca nervosa,×,Melaleucaeae,HS,,2
Melaleuca nesophila,,Melaleucaeae,RT,,2
Melaleuca nodosa,,Melaleucaeae,HS-ES,,2
Melaleuca pachyphylla,,Melaleucaeae,RT,,2
Melaleuca paludicola,×,Melaleucaeae,HS,,2
Melaleuca polandii,,Melaleucaeae,HS,,2
Melaleuca quinquenervia,,Melaleucaeae,RT-ES,×,2 3
Melaleuca salicina,×,Melaleucaeae,RT,,2 3
Melaleuca saligna,,Melaleucaeae,MS,,2
Melaleuca viminalis,,Melaleucaeae,MS-HS,,2 3
Melaleuca viridiflora,×,Melaleucaeae,HS,,2 3
Metrosideros collina,,Metrosidereae,RT,,2 3
Metrosideros collina × villosa,×,Metrosidereae,RT,,2
Metrosideros kermadecensis,,Metrosidereae,RT,,2
Metrosideros thomasii,×,Metrosidereae,RT,,2 3
Mitrantia bilocularis,×,Kanieae,MS,,2
Myrciaria cauliflora,,Myrteae,RT,,2
Myrtus communis,,Myrteae,MS-HS,×,2 3
Pilidiostigma glabrum,,Myrteae,RT-MS,×,2 3
Pilidiostigma tetramerum,×,Myrteae,MS,,2 3
Rhodamnia acuminata,×,Myrteae,RT,,2
Rhodamnia angustifolia,,Myrteae,ES,×,2
Rhodamnia arenaria,,Myrteae,MS,×,2 3
Rhodamnia argentea,,Myrteae,MS-HS,,2
Rhodamnia australis,×,Myrteae,HS,×,2
Rhodamnia blairiana,×,Myrteae,RT-MS,,2
Rhodamnia costata,,Myrteae,HS,,2
Rhodamnia dumicola,,Myrteae,HS,,2
Rhodamnia glabrescens,,Myrteae,MS,,2
Rhodamnia maideniana,,Myrteae,ES,×,2 3
Rhodamnia pauciovulata,,Myrteae,MS,,2 3
Rhodamnia rubescens,,Myrteae,HS-ES,×,2 3
Rhodamnia sessiliflora,,Myrteae,MS-ES,×,2 3
Rhodamnia spongiosa,,Myrteae,HS,×,2 3
Rhodomyrtus canescens,×,Myrteae,HS,×,2 3
Rhodomyrtus effusa,×,Myrteae,MS,,2
Rhodomyrtus macrocarpa,×,Myrteae,MS,,2 3
Rhodomyrtus pervagata,×,Myrteae,MS-HS,×,2 3
Rhodomyrtus psidioides,,Myrteae,ES,×,2 3
Rhodomyrtus sericea,×,Myrteae,MS,,2
Rhodomyrtus tomentosa,,Myrteae,MS-HS,×,2
Rhodomyrtus trineura subsp. capensis,,Myrteae,MS,,2 3
Ristantia waterhousei,,Kanieae,RT,,2
Sphaerantia discolor,×,Kanieae,MS,,2
Stockwellia quadrifida,,Eucalypteae,HS,,2
Syzygium angophoroides,×,Syzygieae,MS,,2
Syzygium apodophyllum,×,Syzygieae,RT,,2
Syzygium aqueum,×,Syzygieae,RT,,2
Syzygium argyropedicum,,Syzygieae,RT,,2
Syzygium armstrongii,,Syzygieae,RT,,2 3
Syzygium australe,,Syzygieae,RT-MS,×,2 3
Syzygium bamagense,,Syzygieae,MS,,2 3
Syzygium banksii,×,Syzygieae,MS,,2
Syzygium boonjee,×,Syzygieae,RT,,2
Syzygium canicortex,,Syzygieae,RT,,2 3
Syzygium cormiflorum,,Syzygieae,RT,,2 3
Syzygium corynanthum,,Syzygieae,RT,,2
Syzygium cryptophlebium,×,Syzygieae,MS,,2
Syzygium cumini,,Syzygieae,MS,,2
Syzygium dansiei,×,Syzygieae,RT,,2
Syzygium endophloium,×,Syzygieae,RT,,2
Syzygium erythrocalyx,×,Syzygieae,RT,,2
Syzygium eucalyptoides,,Syzygieae,HS,,2
Syzygium eucalyptoides subsp. eucalyptoides,×,Syzygieae,MS,,2 3
Syzygium forte subsp. forte,×,Syzygieae,RT,,2
Syzygium forte subsp. potamophilum,×,Syzygieae,RT,,2 3
Syzygium jambos,,Syzygieae,ES,×,2 3
Syzygium kuranda,×,Syzygieae,MS,,2
Syzygium luehmannii,,Syzygieae,MS,,2 3
Syzygium luehmannii × S. wilsonii,,Syzygieae,RT,,2 3
Syzygium macilwraithianum,×,Syzygieae,RT,,2
Syzygium minutiflorum,×,Syzygieae,RT,,2
Syzygium moorei,,Syzygieae,RT,,2
Syzygium nervosum,×,Syzygieae,HS,×,2
Syzygium oleosum,,Syzygieae,HS,,2
Syzygium paniculatum,,Syzygieae,RT,,2
Syzygium pseudofastigiatum,,Syzygieae,RT,,2
Syzygium puberulum,,Syzygieae,MS,,2 3
Syzygium rubrimolle,,Syzygieae,RT,,2
Syzygium suborbiculare,×,Syzygieae,MS,,2
Syzygium tierneyanum,,Syzygieae,RT,,2
Syzygium wilsonii,,Syzygieae,RT,,2
Syzygium xerampelinum,,Syzygieae,MS,,2
Thryptomene saxicola,×,Chamelaucieae,RT-MS,×,2 3
Tristania neriifolia,,Tristanieae,MS,,2
Tristaniopsis exiliflora,,Kanieae,HS,,
Tristaniopsis laurina,,Kanieae,RT,,2
Uromyrtus tenella,,Myrteae,RT,,2
Waterhousea floribunda,,Syzygieae,RT,,2
Waterhousea hedraiophylla,,Syzygieae,RT,,2
Waterhousea mulgraveana,,Syzygieae,RT,,2 3
Waterhousea unipunctata,×,Syzygieae,MS,,2
Xanthostemon chrysanthus,,Xanthostemoneae,RT-MS,,2
Xanthostemon oppositifolius,,Xanthostemoneae,HS,,2
Xanthostemon youngii,,Xanthostemoneae,MS,×,2 3
