s/no,soil.age,species,nfixtype,pNP.umol/g(fresh)/h,pNP.umol/g(dry)/h,leaf.d15N[‰],leaf.N.mg.g,leaf.P.mg.g,leaf.N:P,cooccuring.ref.sp.used,cooccuring.ref.avg.15N,ndfa.net.B=-1.4,ndfa.aft.redesig
437,BL,Jacksonia floribunda,legume,62.55161556,225.4218598,0.427647032,14.3573081,0.328073976,43.76241077,Melaleuca leuropoma,-0.659606724,-1.023211636,0
433,BL,Jacksonia floribunda,legume,63.58801762,257.2369711,,,0.342007352,,Melaleuca leuropoma,-0.659606724,,
435,BL,Jacksonia floribunda,legume,64.50972046,264.2566862,-0.928987523,15.80641952,0.352700604,44.81540247,Melaleuca leuropoma,-0.659606724,0.478587546,0.478587546
439,BL,Jacksonia floribunda,legume,27.06802508,82.55747648,,,0.296554701,,Melaleuca leuropoma,-0.659606724,,
441,BL,Jacksonia floribunda,legume,53.26201615,176.967344,0.030449733,13.81979738,0.293231029,47.12938268,Melaleuca leuropoma,-0.659606724,-0.583512841,0
443,BL,Jacksonia floribunda,legume,41.23076745,111.0828929,,,0.290943513,,Melaleuca leuropoma,-0.659606724,,
445,BL,Jacksonia floribunda,legume,32.71004152,143.9241827,,,,,Melaleuca leuropoma,-0.659606724,,
447,BL,Jacksonia floribunda,legume,36.13533288,144.5413315,,,0.241524257,,Melaleuca leuropoma,-0.659606724,,
449,BL,Jacksonia floribunda,legume,76.66069302,311.7534849,0.583590909,12.88420121,0.2535765,50.80991815,Melaleuca leuropoma,-0.659606724,-1.195842051,0
243,BL,Jacksonia hakeoides,legume,78.33465727,334.1994889,-0.375453861,14.57576263,1.024031288,14.23370829,Melaleuca leuropoma,-0.659606724,-0.134176148,0
115,BL,Jacksonia hakeoides,legume,44.41707718,141.9947507,,,0.515022406,,Melaleuca leuropoma,-0.659606724,,
117,BL,Jacksonia hakeoides,legume,24.19047619,86.92676249,,,1.323265365,,Melaleuca leuropoma,-0.659606724,,
255,BL,Jacksonia hakeoides,legume,56.42826976,237.4004877,-0.035243986,13.26437567,0.634305231,20.91166054,Melaleuca leuropoma,-0.659606724,-0.510789665,0
113,BL,Jacksonia hakeoides,legume,75.71428571,231.1046512,0.903141628,14.11678669,0.636523792,22.17794035,Melaleuca leuropoma,-0.659606724,-1.549585811,0
251,BL,Jacksonia hakeoides,legume,25.06133165,80.81908726,-0.043063678,15.23705471,0.653600476,23.31249023,Melaleuca leuropoma,-0.659606724,-0.502133239,0
245,BL,Jacksonia hakeoides,legume,17.09720258,86.73398387,,,0.612188941,,Melaleuca leuropoma,-0.659606724,,
249,BL,Jacksonia hakeoides,legume,40.53376589,195.6429767,,,0.422476808,,Melaleuca leuropoma,-0.659606724,,
247,BL,Jacksonia hakeoides,legume,29.41544913,142.8404526,-0.391580811,15.84816239,0.509098244,31.12987047,Melaleuca leuropoma,-0.659606724,-0.116323558,0
301,BL,Melaleuca leuropoma,non,8.674166928,26.62969247,-1.311391708,5.190062395,0.293292078,17.69588333,Melaleuca leuropoma,-0.659606724,,
295,BL,Melaleuca leuropoma,non,19.24200089,91.78044624,-1.539904796,4.40019701,0.215304475,20.43709036,Melaleuca leuropoma,-0.659606724,,
293,BL,Melaleuca leuropoma,non,7.696212477,22.37602516,-0.76333532,4.64850131,0.222839745,20.86028823,Melaleuca leuropoma,-0.659606724,,
299,BL,Melaleuca leuropoma,non,22.88133101,102.4892952,-1.222826481,6.446098807,0.269131064,23.95152277,Melaleuca leuropoma,-0.659606724,,
297,BL,Melaleuca leuropoma,non,38.59665566,117.9342256,1.539424685,6.428787216,0.251877874,25.52342972,Melaleuca leuropoma,-0.659606724,,
303,BL,Melaleuca leuropoma,non,11.85851711,30.70508895,,,0.239597176,,,,,
305,BL,Melaleuca leuropoma,non,18.60127999,44.95777642,,,0.254883171,,,,,
307,BL,Melaleuca leuropoma,non,16.94387948,46.21058041,,,0.243442747,,,,,
309,BL,Melaleuca leuropoma,non,7.098905915,11.80808113,,,0.33843993,,,,,
215,QM,Acacia lasiocarpa,legume,7.425861614,29.32099865,-1.614924759,16.73232937,1.127922338,14.83464668,Melaleuca systena,-3.559193794,0.900460644,0.900460644
211,QM,Acacia lasiocarpa,legume,12.25709997,42.84221464,-2.201954149,11.5700597,0.776327398,14.90358286,Melaleuca systena,-3.559193794,0.628586303,0.628586303
207,QM,Acacia lasiocarpa,legume,17.56488509,61.5188527,-2.90502058,12.52982188,0.734444958,17.06025992,Melaleuca systena,-3.559193794,0.302971051,0.302971051
135,QM,Acacia lasiocarpa,legume,16.75889328,44.4910808,,,0.644281901,,Melaleuca systena,-3.559193794,,
131,QM,Acacia lasiocarpa,legume,14.86222222,35.21853607,-2.037225599,17.10250217,0.79026929,21.64135996,Melaleuca systena,-3.559193794,0.704877996,0.704877996
203,QM,Acacia lasiocarpa,legume,31.80567016,112.4758473,,,0.689314723,,Melaleuca systena,-3.559193794,,
205,QM,Acacia lasiocarpa,legume,11.14755614,48.08051371,,,0.621844365,,Melaleuca systena,-3.559193794,,
209,QM,Acacia lasiocarpa,legume,49.93144931,199.9171055,,,1.133687724,,Melaleuca systena,-3.559193794,,
133,QM,Acacia lasiocarpa,legume,3.271111111,13.00123653,-2.051652402,16.21864151,0.720459499,22.51152429,Melaleuca systena,-3.559193794,0.698196427,0.698196427
213,QM,Acacia lasiocarpa,legume,21.38258447,96.1270169,,,0.726911188,,Melaleuca systena,-3.559193794,,
217,QM,Acacia lasiocarpa,legume,20.80443547,98.07805293,,,1.246162406,,Melaleuca systena,-3.559193794,,
3,QM,Acacia rostellifera,legume,10.73099415,41.34628926,,,0.834191582,,Melaleuca systena,-3.559193794,,
13,QM,Acacia rostellifera,legume,6.782945736,27.36818588,,,1.651231148,,Melaleuca systena,-3.559193794,,
23,QM,Acacia rostellifera,legume,27.65432099,97.85932722,-2.135905728,14.31538407,1.500791567,9.538555776,Melaleuca systena,-3.559193794,0.659175693,0.659175693
15,QM,Acacia rostellifera,legume,2.681388013,16.47286822,-2.707787115,12.665,1.203601162,10.52258871,Melaleuca systena,-3.559193794,0.394316935,0.394316935
171,QM,Acacia rostellifera,legume,22.05314474,71.18143748,-1.675100877,14.52179044,1.257203794,11.55086431,Melaleuca systena,-3.559193794,0.872590928,0.872590928
167,QM,Acacia rostellifera,legume,20.05364208,87.58121233,-1.493773418,14.14405729,1.077421308,13.12769405,Melaleuca systena,-3.559193794,0.956570171,0.956570171
25,QM,Acacia rostellifera,legume,10.91617934,26.64763264,-0.852239809,17.5305283,1.284432942,13.64845741,Melaleuca systena,-3.559193794,1.253687368,1
165,QM,Acacia rostellifera,legume,29.58011102,164.4173684,,,1.123622223,,Melaleuca systena,-3.559193794,,
169,QM,Acacia rostellifera,legume,26.71236015,133.5618008,,,1.344974404,,Melaleuca systena,-3.559193794,,
173,QM,Acacia rostellifera,legume,10.7910184,40.54613422,,,1.592528945,,,,,
1,QM,Acanthocarpus preissii,non,9.944044764,51.96324144,-2.902880577,9.469633998,1.776363732,5.330909333,,,,
11,QM,Acanthocarpus preissii,non,7.979407979,61.14398422,,,1.602588692,,,,,
17,QM,Acanthocarpus preissii,non,2.855245684,15.99702381,,,1.596137797,,,,,
7,QM,Acanthocarpus preissii,non,3.64298725,8.00080008,-3.316028214,10.29257513,1.766588546,5.826243555,,,,
31,QM,Acanthocarpus preissii,non,7.302767451,30.03737683,,,1.253110464,,,,,
5,QM,Acanthocarpus preissii,non,7.472332891,29.30555556,-1.353006472,14.5037158,1.084599529,13.37241573,,,,
395,QM,Acanthocarpus preissii,non,7.225387725,23.1627262,,,1.220020953,,,,,
397,QM,Acanthocarpus preissii,non,3.323394051,6.606341115,,,0.885357788,,,,,
399,QM,Acanthocarpus preissii,non,2.510642652,5.063993684,,,1.334068223,,,,,
401,QM,Acanthocarpus preissii,non,15.3021336,101.3178812,,,1.930092821,,,,,
9,QM,Allocasuarina lehmanniana ,actino,4.372759857,8.593062159,,,0.749479644,,Melaleuca systena,-3.559193794,,
19,QM,Allocasuarina lehmanniana ,actino,1.923076923,7.339449541,,,1.016042968,,Melaleuca systena,-3.559193794,,
29,QM,Allocasuarina lehmanniana ,actino,4.870624049,13.391923,,,0.544680673,,Melaleuca systena,-3.559193794,,
155,QM,Allocasuarina lehmanniana ,actino,6.706959429,18.11195412,-4.286098129,5.631831579,0.83413725,6.751684545,Melaleuca systena,-3.559193794,-0.336655439,0
27,QM,Allocasuarina lehmanniana ,actino,4.3069874,10.09125067,-3.504771872,5.234395956,0.717121973,7.299171066,Melaleuca systena,-3.559193794,0.025204742,0.025204742
159,QM,Allocasuarina lehmanniana ,actino,8.656064644,19.54074295,-2.280771573,8.929368881,0.989256626,9.026342252,Melaleuca systena,-3.559193794,0.592083131,0.592083131
163,QM,Allocasuarina lehmanniana ,actino,8.879891935,27.47849296,-2.168289933,5.483004299,0.411224881,13.33334765,Melaleuca systena,-3.559193794,0.644177408,0.644177408
161,QM,Allocasuarina lehmanniana ,actino,9.550781105,32.74553522,-1.7454259,12.48200693,0.673309633,18.53828657,Melaleuca systena,-3.559193794,0.840020891,0.840020891
157,QM,Allocasuarina lehmanniana ,actino,4.001824461,11.96255838,,,1.027056476,,Melaleuca systena,-3.559193794,,
139,QM,Conostylis candicans,non,6.756206756,22.64048009,-0.722107863,12.55632911,1.1626426,10.79981854,,,,
191,QM,Conostylis candicans,non,5.079077744,12.81046252,0.307722624,12.59226582,0.909609104,13.84360135,,,,
189,QM,Conostylis candicans,non,4.023234049,11.84465373,-0.931643531,11.59613055,0.827606799,14.01164244,,,,
137,QM,Conostylis candicans,non,10.76667942,46.74087611,0.627130677,16.67056838,1.112510575,14.98463813,,,,
141,QM,Conostylis candicans,non,5.1048639,18.83127572,-0.273702417,14.12133333,0.791210453,17.84775881,,,,
193,QM,Conostylis candicans,non,2.688113345,6.278436304,,,1.256290172,,,,,
195,QM,Conostylis candicans,non,1.795125534,3.452825189,,,1.367985939,,,,,
197,QM,Conostylis candicans,non,2.372268636,4.997496996,,,1.060821873,,,,,
199,QM,Conostylis candicans,non,10.60257836,66.39733476,,,0.827137633,,,,,
201,QM,Conostylis candicans,non,4.480721544,18.89193111,,,1.260175703,,,,,
127,QM,Melaleuca systena,non,12.04453441,25.73529412,-4.583583426,5.764982332,3.361286741,1.715111734,Melaleuca systena,-3.559193794,,
125,QM,Melaleuca systena,non,1.741803279,4.851598174,-3.111352498,5.88335074,2.363370018,2.489390445,Melaleuca systena,-3.559193794,,
175,QM,Melaleuca systena,non,3.413227406,12.21305475,-4.323907311,7.023024172,1.302650249,5.391335224,Melaleuca systena,-3.559193794,,
177,QM,Melaleuca systena,non,16.0915881,48.23794144,-2.730022688,8.819888594,1.382943893,6.377618527,Melaleuca systena,-3.559193794,,
129,QM,Melaleuca systena,non,1.121794872,1.601684056,-3.047103049,8.887237333,0.92567933,9.600773232,Melaleuca systena,-3.559193794,,
179,QM,Melaleuca systena,non,9.934988915,38.14326101,,,4.749375858,,,,,
181,QM,Melaleuca systena,non,10.92076054,34.83346033,,,1.492832573,,,,,
183,QM,Melaleuca systena,non,7.102808194,13.32585144,,,2.930350251,,,,,
185,QM,Melaleuca systena,non,7.342931988,23.63242479,,,2.32307237,,,,,
187,QM,Melaleuca systena,non,36.82740826,120.0300714,,,0.756229243,,,,,
35,SW,Acacia rostellifera,legume,8.170940171,19.15639715,,,0.58042196,,Hibbertia hypericoides,-1.002156214,,
41,SW,Acacia rostellifera,legume,6.613333333,38.0952381,,,0.37147239,,Hibbertia hypericoides,-1.002156214,,
43,SW,Acacia rostellifera,legume,16.46346736,52.88888889,,,0.246488156,,Hibbertia hypericoides,-1.002156214,,
311,SW,Acacia rostellifera,legume,21.65652813,89.41521085,,,0.449819226,,Hibbertia hypericoides,-1.002156214,,
315,SW,Acacia rostellifera,legume,22.49875547,49.69604621,,,0.648868976,,Hibbertia hypericoides,-1.002156214,,
39,SW,Acacia rostellifera,legume,10.55555556,33.86809269,-0.795988288,13.41272968,0.459987638,29.15889161,Hibbertia hypericoides,-1.002156214,-0.518213262,0
37,SW,Acacia rostellifera,legume,2.999542753,10.10941593,-1.263250442,13.57815319,0.464172216,29.252404,Hibbertia hypericoides,-1.002156214,0.656273234,0.656273234
313,SW,Acacia rostellifera,legume,12.90196988,38.72803995,-0.679875849,12.98748022,0.420521364,30.88423403,Hibbertia hypericoides,-1.002156214,-0.81006761,0
33,SW,Acacia rostellifera,legume,21.97530864,56.16407483,-1.093040186,13.25300521,0.362451338,36.56492285,Hibbertia hypericoides,-1.002156214,0.228441351,0.228441351
53,SW,Acacia rostellifera,legume,23.40501792,62.88672204,-2.035674894,11.911313,0.321960662,36.99617502,Hibbertia hypericoides,-1.002156214,2.597800233,1
101,SW,Acacia spathulifolia,legume,5.620155039,12.7528584,,,0.361714225,,Melaleuca systena,-1.550575892,,
103,SW,Acacia spathulifolia,legume,12.00680272,36.63345787,,,0.197108972,,Melaleuca systena,-1.550575892,,
367,SW,Acacia spathulifolia,legume,12.294067,52.34893045,-0.16665668,11.73826056,0.399644722,29.37173923,Melaleuca systena,-1.550575892,3.448278776,1
373,SW,Acacia spathulifolia,legume,12.87959535,41.65857819,-0.792041884,10.13564071,0.336167228,30.15059133,Melaleuca systena,-1.550575892,2.206842351,1
369,SW,Acacia spathulifolia,legume,18.9410947,64.03893924,,,0.25512841,,Melaleuca systena,-1.550575892,,
371,SW,Acacia spathulifolia,legume,29.19251546,132.6932521,,,0.145820883,,Melaleuca systena,-1.550575892,,
99,SW,Acacia spathulifolia,legume,10.23809524,27.91301525,-1.489925514,11.15948705,0.331965869,33.61636871,Melaleuca systena,-1.550575892,0.821491126,0.821491126
105,SW,Acacia spathulifolia,legume,34.9789916,133.6276083,-1.082060882,13.94017848,0.386485674,36.0690691,Melaleuca systena,-1.550575892,1.631132939,1
97,SW,Acacia spathulifolia,legume,8.226950355,27.0018622,-0.725222165,13.50711979,0.359247979,37.5983181,Melaleuca systena,-1.550575892,2.339484493,1
377,SW,Allocasuarina humilis,actino,5.397862237,13.2681266,-3.325866239,7.31252513,1.083877717,6.74663296,Hibbertia hypericoides,-1.002156214,5.840759883,1
387,SW,Allocasuarina humilis,actino,2.223947767,5.389321276,-2.542357556,4.74903523,0.491421671,9.663870176,Hibbertia hypericoides,-1.002156214,3.871372122,1
381,SW,Allocasuarina humilis,actino,2.332248453,6.195034955,-1.895792213,7.500980903,0.683541084,10.97370894,Hibbertia hypericoides,-1.002156214,2.246198208,1
375,SW,Allocasuarina humilis,actino,2.814059874,7.467891756,-2.968901497,9.041323729,0.784451402,11.52566457,Hibbertia hypericoides,-1.002156214,4.943511379,1
391,SW,Allocasuarina humilis,actino,4.013093261,7.296533201,-1.715191186,7.735418278,0.36149757,21.39825802,Hibbertia hypericoides,-1.002156214,1.792248609,1
379,SW,Allocasuarina humilis,actino,8.944380573,27.82696178,,,0.522847084,,Hibbertia hypericoides,-1.002156214,,
383,SW,Allocasuarina humilis,actino,2.642756077,6.440049532,,,0.627693775,,Hibbertia hypericoides,-1.002156214,,
385,SW,Allocasuarina humilis,actino,5.253458986,14.32185441,,,0.626448286,,Hibbertia hypericoides,-1.002156214,,
389,SW,Allocasuarina humilis,actino,3.169479036,8.340734306,,,0.647168482,,Hibbertia hypericoides,-1.002156214,,
393,SW,Allocasuarina humilis,actino,6.035227834,18.68229763,,,,,Hibbertia hypericoides,-1.002156214,,
73,SW,Banksia leptophylla,non,12.05545509,38.40245776,0.744356124,4.665698113,0.405185344,11.51497255,,,,
67,SW,Banksia leptophylla,non,17.97235023,93.05099911,1.110758744,4.495669836,0.373262291,12.0442647,,,,
65,SW,Banksia leptophylla,non,3.267292318,8.235861042,1.947026918,4.745924731,0.383386342,12.37896141,,,,
69,SW,Banksia leptophylla,non,3.211092866,18.29902267,1.694280236,3.927941953,0.287593121,13.65798298,,,,
75,SW,Banksia leptophylla,non,3.123809524,4.588439371,-0.118448759,3.524898577,0.25208263,13.98310775,,,,
83,SW,Banksia leptophylla,non,2.879291251,8.875234682,,,0.291203911,,,,,
77,SW,Banksia leptophylla,non,9.238909239,20.56997871,1.004761809,5.098426497,0.318901865,15.98744647,,,,
81,SW,Banksia leptophylla,non,13.82249398,93.48370927,1.508454773,6.583008361,0.395273236,16.65432354,,,,
71,SW,Banksia leptophylla,non,19.95464853,89.47635994,1.972773925,7.082955224,0.380513749,18.61419001,,,,
79,SW,Banksia leptophylla,non,4.724990772,15.56893511,0.847659754,9.192368915,0.420303589,21.87078378,,,,
353,SW,Conostylis candicans,non,11.07691736,39.5100237,0.963833889,15.1541555,0.737304777,20.55344814,,,,
351,SW,Conostylis candicans,non,15.77573675,83.22632772,0.945100486,9.862084761,0.377367878,26.13387449,,,,
355,SW,Conostylis candicans,non,1.90768969,4.063464587,,,0.442918568,,,,,
357,SW,Conostylis candicans,non,1.482831971,2.683652953,,,1.025267975,,,,,
347,SW,Conostylis candicans,non,12.75998715,74.83947521,1.066991024,12.06287533,0.328419171,36.7301193,,,,
349,SW,Conostylis candicans,non,3.420163107,7.159807672,1.252789086,11.39510612,0.293392124,38.83916843,,,,
85,SW,Gompholobium tomentosum,legume,35.55555556,355.5555556,,,0.433953179,,Melaleuca systena,-1.550575892,,
87,SW,Gompholobium tomentosum,legume,15.67676768,60.2952603,,,0.440801761,,Melaleuca systena,-1.550575892,,
91,SW,Gompholobium tomentosum,legume,20.80378251,80.14571949,,,0.47035616,,Melaleuca systena,-1.550575892,,
95,SW,Gompholobium tomentosum,legume,18.5620915,185.620915,,,0.683368234,,Melaleuca systena,-1.550575892,,
341,SW,Gompholobium tomentosum,legume,23.82361583,112.3755464,-0.235081907,19.51234177,0.770928118,25.310196,Melaleuca systena,-1.550575892,3.312449581,1
343,SW,Gompholobium tomentosum,legume,27.29031312,204.6773484,-0.760532181,20.42597516,0.730221711,27.97229232,Melaleuca systena,-1.550575892,2.269391469,1
89,SW,Gompholobium tomentosum,legume,14.39153439,30.6118273,-0.370302453,19.34035274,0.672387631,28.763695,Melaleuca systena,-1.550575892,3.044026679,1
339,SW,Gompholobium tomentosum,legume,4.513764087,11.49732362,,,0.248934577,,Melaleuca systena,-1.550575892,,
345,SW,Gompholobium tomentosum,legume,9.604338761,24.44740776,,,0.505600475,,Melaleuca systena,-1.550575892,,
57,SW,Hibbertia hypericoides,non,6.495726496,17.45621591,-1.317081458,11.06513089,0.552263325,20.03596906,Hibbertia hypericoides,-1.002156214,,
61,SW,Hibbertia hypericoides,non,8.530947054,60.24223275,-0.795657685,9.289285714,0.430395153,21.58315597,Hibbertia hypericoides,-1.002156214,,
59,SW,Hibbertia hypericoides,non,10.39964866,32.64405845,-0.696140752,8.314035305,0.368934,22.53529169,Hibbertia hypericoides,-1.002156214,,
63,SW,Hibbertia hypericoides,non,25.79177603,70.51788064,-1.115874592,11.28311037,0.446170191,25.28880368,Hibbertia hypericoides,-1.002156214,,
55,SW,Hibbertia hypericoides,non,8.647717485,23.0486685,-1.086026581,9.807883838,0.38165229,25.69848025,Hibbertia hypericoides,-1.002156214,,
329,SW,Hibbertia hypericoides,non,8.345470737,28.89547955,,,0.582737595,,,,,
331,SW,Hibbertia hypericoides,non,8.969267982,27.52793883,,,0.475704634,,,,,
333,SW,Hibbertia hypericoides,non,6.491067773,20.20804118,,,0.612394482,,,,,
335,SW,Hibbertia hypericoides,non,6.763627514,14.28620993,,,0.607250591,,,,,
337,SW,Hibbertia hypericoides,non,9.642233638,49.77901106,,,,,,,,
421,SW,Labichea cassioides,legume,12.99495535,46.84775569,-0.095904257,11.93850876,0.773915622,15.42611161,Hibbertia hypericoides,-1.002156214,-2.277909041,0
413,SW,Labichea cassioides,legume,12.4607716,34.26712191,-0.311957626,8.542325342,0.523353256,16.3222933,Hibbertia hypericoides,-1.002156214,-1.73484823,0
427,SW,Labichea cassioides,legume,70.78619826,222.4709088,0.073704297,13.10672776,0.714706419,18.33861766,Hibbertia hypericoides,-1.002156214,-2.704228516,0
425,SW,Labichea cassioides,legume,9.991424252,37.8260421,0.697271102,12.58202067,0.637635602,19.73230577,Hibbertia hypericoides,-1.002156214,-4.271594469,0
419,SW,Labichea cassioides,legume,16.41438392,45.09892613,0.029294583,13.26493107,0.635429861,20.87552362,Hibbertia hypericoides,-1.002156214,-2.592602507,0
415,SW,Labichea cassioides,legume,11.70733851,32.20233698,,,0.39281351,,Hibbertia hypericoides,-1.002156214,,
417,SW,Labichea cassioides,legume,3.710397228,12.35184456,,,0.418835327,,Hibbertia hypericoides,-1.002156214,,
423,SW,Labichea cassioides,legume,20.86296899,57.72763264,,,0.844564668,,Hibbertia hypericoides,-1.002156214,,
429,SW,Labichea cassioides,legume,3.183936667,10.71191458,,,0.697215995,,Hibbertia hypericoides,-1.002156214,,
431,SW,Labichea cassioides,legume,12.8574944,39.47184161,,,0.627600848,,Hibbertia hypericoides,-1.002156214,,
47,SW,Melaleuca systena,non,7.37704918,22.3880597,-1.889079343,6.536782063,0.377007079,17.33861889,Melaleuca systena,-1.550575892,,
51,SW,Melaleuca systena,non,6.910569106,18.5387132,-2.003948979,5.208448798,0.291467775,17.86972436,Melaleuca systena,-1.550575892,,
49,SW,Melaleuca systena,non,7.311028501,23.24665091,-2.315912884,7.923748072,0.406551524,19.4901448,Melaleuca systena,-1.550575892,,
45,SW,Melaleuca systena,non,3.728070175,7.958801498,-1.406096185,7.968291367,0.347186419,22.95104569,Melaleuca systena,-1.550575892,,
317,SW,Melaleuca systena,non,3.626630023,10.76921826,-0.137842069,9.125205082,0.37890072,24.08336696,Melaleuca systena,-1.550575892,,
319,SW,Melaleuca systena,non,3.999996742,11.47726338,,,0.283896711,,,,,
321,SW,Melaleuca systena,non,8.007183062,23.853927,,,0.471862008,,,,,
323,SW,Melaleuca systena,non,1.970226849,6.07731665,,,0.394684622,,,,,
