vial,stage,sp,rep,repeat,nm,ecto,hyp,ves,arb,total,total.am,arbuscles%,hyphae%,vesicles%,AM%,EM%
27,QM,Acantocarpus preissii,2,1,148,5,0,0,0,153,0,0,0,0,0,3.267973856
28,QM,Acantocarpus preissii,3,1,135,6,5,5,0,151,10,0,3.311258278,3.311258278,6.622516556,3.973509934
87,QM,Acantocarpus preissii,3,1,131,12,1,1,0,145,2,0,0.689655172,0.689655172,1.379310345,8.275862069
89,QM,Acantocarpus preissii,3,1,78,22,13,7,8,128,28,6.25,10.15625,5.46875,21.875,17.1875
29,QM,Acantocarpus preissii,4,1,167,1,2,2,0,172,4,0,1.162790698,1.162790698,2.325581395,0.581395349
85,QM,Acantocarpus preissii,5,1,108,5,2,1,2,118,5,1.694915254,1.694915254,0.847457627,4.237288136,4.237288136
30,QM,Acantocarpus preissii,6,1,104,6,0,0,0,110,0,0,0,0,0,5.454545455
31,QM,Acantocarpus preissii,7,1,151,3,0,0,0,154,0,0,0,0,0,1.948051948
32,QM,Acantocarpus preissii,8,1,130,0,0,0,0,130,0,0,0,0,0,0
33,QM,Acantocarpus preissii,9,1,150,0,0,0,0,150,0,0,0,0,0,0
34,QM,Acantocarpus preissii,10,1,149,1,0,0,0,150,0,0,0,0,0,0.666666667
35,QM,Acantocarpus preissii,11,1,150,0,0,0,0,150,0,0,0,0,0,0
1,QM,Acacia rostellifera,1,1,141,0,5,5,0,151,10,0,3.311258278,3.311258278,6.622516556,0
82,QM,Acacia rostellifera,2,1,95,33,11,9,4,152,24,2.631578947,7.236842105,5.921052632,15.78947368,21.71052632
83,QM,Acacia rostellifera,3,1,125,17,5,5,1,153,11,0.653594771,3.267973856,3.267973856,7.189542484,11.11111111
90,QM,Acacia rostellifera,4,1,109,27,8,8,2,154,18,1.298701299,5.194805195,5.194805195,11.68831169,17.53246753
84,QM,Acacia rostellifera,5,1,112,28,5,5,1,151,11,0.662251656,3.311258278,3.311258278,7.284768212,18.54304636
41,QM,Acacia rostellifera,6,1,126,3,11,11,1,152,23,0.657894737,7.236842105,7.236842105,15.13157895,1.973684211
42,QM,Acacia rostellifera,7,1,110,13,15,15,4,157,34,2.547770701,9.554140127,9.554140127,21.65605096,8.280254777
43,QM,Acacia rostellifera,9,1,120,24,11,14,4,173,29,2.312138728,6.358381503,8.092485549,16.76300578,13.87283237
