taxon_name,trait_name,trait_value,source,,,
Cephalomanesobscurum,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Cycas armstrongii,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Cycas armstrongii,fruiting_time,Aug-Nov,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Dendromyza reinwardtiana,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Dendromyza reinwardtiana,fruiting_time,"Jan, Sep, Nov",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Elaeocarpus miegei,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Elaeocarpus miegei,fruiting_time,Nov,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Endiandra limnophila,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Endiandra limnophila,flowering_time,Dec,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Freycinetia excelsa,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Freycinetia excelsa,fruiting_time,Feb,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Freycinetia percostata,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Freycinetia percostata,fruiting_time,Nov,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Garcinia warrenii ,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Garcinia warrenii ,flowering_time,Aug-Nov,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Hoya australis subsp. oramicola,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Hoya australis subsp. oramicola,flowering_time,"Mar, Jul",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Hoya australis subsp. oramicola,fruiting_time,"Jun, Jul, Oct, Nov",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Luisia teretifolia,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Luisia teretifolia,flowering_time,"Feb, Nov, Dec",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Luisia teretifolia,fruiting_time,Nov,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Mapania macrocephala,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Mapania macrocephala,fruiting_time,"Feb, Jun, Nov",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Mitrella tiwiensis,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Mitrella tiwiensis,fruiting_time,"Jun, Sep, Dec",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Tarennoidea wallichii,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Tarennoidea wallichii,flowering_time,Oct,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Tarennoidea wallichii,fruiting_time,"Jul, Oct",Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Thrixspermum congestum,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Thrixspermum congestum,flowering_time,Feb,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Typhonium jonesii,foliage_time,Dec,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Typhonium jonesii,flowering_time,Dec,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Typhonium jonesii,fruiting_time,Mar,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Typhonium mirabile,foliage_time,Oct-Dec,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Typhonium mirabile,flowering_time,Oct,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Typhonium mirabile,fruiting_time,Dec,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Xylopia monosperma,foliage_time,all_year,Liddle_2008,,"Liddle, D.T., Gibbons, A. and Taylor, R. (2008). Recovery plan for the threatened plants of the Tiwi Islands in the Darwin. Northern Territory Department of Natural Resources, Environment and the Arts, Northern Territory of Australia 2008 - 2013.",
Burmannia sp. Bathurst Island (R.Fensham 1021),plant_height,12 cm,NT_Threatened_species_profile_2021,maximum,,
Burmannia sp. Bathurst Island (R.Fensham 1021),leaf_type,leafless,NT_Threatened_species_profile_2021,,,
Burmannia sp. Bathurst Island (R.Fensham 1021),photosynthetic_xx,saprophyte,NT_Threatened_species_profile_2021,,,
Burmannia sp. Bathurst Island (R.Fensham 1021),storage_organ,tuber,NT_Threatened_species_profile_2021,,,
Burmannia sp. Bathurst Island (R.Fensham 1021),life_history,perennial,NT_Threatened_species_profile_2021,,,
Macrozamia macdonnellii,pollinator_system,thirps,Mound_2001,,"Mound, L.A., and Terry, I. 2001. Thrips pollination of the central Australian cycad, Macrozamia macdonnellii (Cycadales). International Journal of Plant Sciences 162, 147-154.",
Macrozamia macdonnellii,dispersal mechanisms,rock wallaby,Mound_2001,,"Mound, L.A., and Terry, I. 2001. Thrips pollination of the central Australian cycad, Macrozamia macdonnellii (Cycadales). International Journal of Plant Sciences 162, 147-154.",
Macrozamia macdonnellii,recruitment_cues,flood; exceptional_rain,Mound_2001,,"Mound, L.A., and Terry, I. 2001. Thrips pollination of the central Australian cycad, Macrozamia macdonnellii (Cycadales). International Journal of Plant Sciences 162, 147-154.",
Macrozamia macdonnellii,sex_type,dioecious,NT_Threatened_species_profile_2021,,,
Macrozamia macdonnellii,plant_height,2 m,NT_Threatened_species_profile_2021,maximum,,
Macrozamia macdonnellii,plant_height,4 m,NT_Threatened_species_profile_2021,extreme_max,,
Macrozamia macdonnellii,seed_colour,red,NT_Threatened_species_profile_2021,,,
Macrozamia macdonnellii,growth_habit,erect procumbent,NT_Threatened_species_profile_2021,,,
Macrozamia macdonnellii,fruiting_time,all_year,NT_Threatened_species_profile_2021,,,
Macrozamia macdonnellii,resprouting_capacity,resprouts,NT_Threatened_species_profile_2021,,,
Macrozamia macdonnellii,seed_longevity,ephermal (prone to desiccation),NT_Threatened_species_profile_2021,,,
Atalaya brevialata,flower_colour,creamy white,"Cowie and Stuckey, 2012",,"Cowie, I.D. & Stuckey, B. (2012). Atalaya brevialata (Sapindaceae), a new species from the Northern Territory, Australia. Nuytsia 22(6): 363–370.",
Atalaya brevialata,flower_width,8 mm,"Cowie and Stuckey, 2012",maximum,"Cowie, I.D. & Stuckey, B. (2012). Atalaya brevialata (Sapindaceae), a new species from the Northern Territory, Australia. Nuytsia 22(6): 363–370.",
Atalaya brevialata,inflorescence_type,panicle corymb,"Cowie and Stuckey, 2012",,"Cowie, I.D. & Stuckey, B. (2012). Atalaya brevialata (Sapindaceae), a new species from the Northern Territory, Australia. Nuytsia 22(6): 363–370.",
Atalaya brevialata,reproductive_maturity,2--3,Threatened Species Scientific Committee 2013,,Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act) (s266B) Approved Conservation Advice for Atalaya brevialata (a shrub) - 2013,
Atalaya brevialata,seed_dispersal_ability,retricted,Threatened Species Scientific Committee 2013,,Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act) (s266B) Approved Conservation Advice for Atalaya brevialata (a shrub) - 2013,
Atalaya brevialata,flowering_time,"Oct, Nov","Cowie and Stuckey, 2012",,"Cowie, I.D. & Stuckey, B. (2012). Atalaya brevialata (Sapindaceae), a new species from the Northern Territory, Australia. Nuytsia 22(6): 363–370.",
Atalaya brevialata,fruiting_time,Nov,"Cowie and Stuckey, 2012",,"Cowie, I.D. & Stuckey, B. (2012). Atalaya brevialata (Sapindaceae), a new species from the Northern Territory, Australia. Nuytsia 22(6): 363–370.",
Toechima sp. East Alligator (J.Russell-Smith 8418),plant_height,5 m,NT_Threatened_species_profile_2021,maximum,,
Toechima sp. East Alligator (J.Russell-Smith 8418),growth_habit,multi-stemmed erect,NT_Threatened_species_profile_2021,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),plant_height,15 m,NT_Threatened_species_profile_2021,extreme_max,,
Toechima sp. East Alligator (J.Russell-Smith 8418),bark_texture,smooth,NT_Threatened_species_profile_2021,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),bark_colour,light grey-brown,NT_Threatened_species_profile_2021,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),dispersal_appendage,aril,NT_Threatened_species_profile_2021,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),fruit_color,red,NT_Threatened_species_profile_2021,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),dispersers,birds,NT_Threatened_species_profile_2021,,,
Toechima sp. East Alligator (J.Russell-Smith 8418),bud_bank_location,rhizome,NT_Threatened_species_profile_2021,,,
Clausena excavata,leaflet_count,10--30,NT_Threatened_species_profile_2021,range,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,leaflet_length,3 cm,NT_Threatened_species_profile_2021,minimum,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,leaflet_length,6 cm,NT_Threatened_species_profile_2021,maximum,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,leaflet_width,1.5 cm,NT_Threatened_species_profile_2021,mean,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,leaf_aroma,aniseed sarsaparilla,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,leaf_hairiness,finel_hairy,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,flower_colour,green cream,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,inflorescence_type,compound,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,fruit_fleshiness,fleshy,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,fruiting_time,Dec,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,flowering_time,Nov,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Clausena excavata,bud_bank_location,basal_buds bud-bearing_root,NT_Threatened_species_profile_2021,,,https://nt.gov.au/__data/assets/pdf_file/0004/208426/clausena-excavata.pdf
Tarennoidea wallichii,bark_texture,smooth,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,bark_colour,grey,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,leaf_arrangement,opposite,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,leaf_lumXX,glossy,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,flower_colour,white,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,fruit_shape,ovoiv subglobose,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,flowering_time,Oct,NT_Threatened_species_profile_2021,,,
Tarennoidea wallichii,fruiting_time,"Jul, Oct",NT_Threatened_species_profile_2021,,,
Clematis decipiens,leaflet_count,12--15,NT_Threatened_species_profile_2021,,,
Clematis decipiens,flower_colour,green cream_white,NT_Threatened_species_profile_2021,,,
Clematis decipiens,inflorescence_type,panicle,NT_Threatened_species_profile_2021,,,
Clematis decipiens,awn_length,1.5 cm,NT_Threatened_species_profile_2021,minimum,,
Clematis decipiens,awn_length,3.5 cm,NT_Threatened_species_profile_2021,maximum,,
Hibiscus cravenii,flowering_time,"Jun, Jul, Oct, Dec",NT_Threatened_species_profile_2021,,,
Hibiscus cravenii,fruiting_time,"Jun, Oct, Dec",NT_Threatened_species_profile_2021,,,
Hibiscus cravenii,stem_hairiness,dense_hairs,NT_Threatened_species_profile_2021,,,
Hibiscus cravenii,stem_hair_type,stellate,NT_Threatened_species_profile_2021,,,
Hibiscus cravenii,post_fire_recruitment,post_fire_recruitment,NT_Threatened_species_profile_2021,,,
Hibiscus cravenii,resprouting_capacity,resprouts,NT_Threatened_species_profile_2021,,,
Eremophila prostrata,flowering_time,"Jan-Apr, Aug-Dec",NT_Threatened_species_profile_2021,,,
Eremophila prostrata,fruiting_time,"Jan-Apr, Aug-Dec",NT_Threatened_species_profile_2021,,,
Eremophila prostrata,flower_colour,purple cream_white,NT_Threatened_species_profile_2021,,,
Eremophila prostrata,lifespan,2--10,NT_Threatened_species_profile_2021,years,,
Eremophila prostrata,resprouting_capacity_non_fire_disturbance,resprouts_after_drought,NT_Threatened_species_profile_2021,,,
Eremophila prostrata,germination_cue,fire flooding mechanical_effects,NT_Threatened_species_profile_2021,,,
Eremophila prostrata,seedbank_longevity_class,persistent,NT_Threatened_species_profile_2021,,,
Helicteres macrothrix,flowering_time,"Jan, Sep-Nov",NT_Threatened_species_profile_2021,,,
Helicteres macrothrix,fruiting_time,"Jan, Mar, Oct-Nov",NT_Threatened_species_profile_2021,,,
Helicteres macrothrix,flower_colour,pink purple,NT_Threatened_species_profile_2021,,,
Helicteres macrothrix,fruit_colour,green,NT_Threatened_species_profile_2021,,,
Helicteres macrothrix,fruit_hairiness,wooly_hairy,NT_Threatened_species_profile_2021,,,
Prostanthera schultzii,leaf_width,4 mm,NT_Threatened_species_profile_2021,minimum,,
Prostanthera schultzii,leaf_width,8 mm,NT_Threatened_species_profile_2021,maximum,,
Prostanthera schultzii,flower_perianth_symmetry,zygomorphic,NT_Threatened_species_profile_2021,,,
Prostanthera schultzii,flower_colour,cream_white,NT_Threatened_species_profile_2021,,,
Prostanthera schultzii,flowering_time,"Apr, Jul, Sep-Nov",NT_Threatened_species_profile_2021,,,
Prostanthera schultzii,fruiting_time,"May, Sep-Nov",NT_Threatened_species_profile_2021,,,
Prostanthera schultzii,resprouting_capacity_proportion_individuals,0.65,NT_Threatened_species_profile_2021,,,
Prostanthera schultzii,resprouting_capacity,resprouts,NT_Threatened_species_profile_2021,,,
Acacia pickardii,flowering_time,Aug-Nov,NT_Threatened_species_profile_2021,,,
Acacia pickardii,vegetative_reproduction_ability,vegetative,NT_Threatened_species_profile_2021,,,
Acacia pickardii,bud_bank_location,bud-bearing_root,NT_Threatened_species_profile_2021,,,
Acacia pickardii,gall_type,thirps,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,leaf_shape,elliptic,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,leaf_length,3 mm,NT_Threatened_species_profile_2021,minimum,,
Hibiscus brennanii,leaf_length,9 mm,NT_Threatened_species_profile_2021,maximum,,
Hibiscus brennanii,leaf_width,2 mm,NT_Threatened_species_profile_2021,minimum,,
Hibiscus brennanii,leaf_width,5 mm,NT_Threatened_species_profile_2021,maximum,,
Hibiscus brennanii,leaf_surface_hairiness_adaxial,appressed_pubescent,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,leaf_surface_hairiness_abaxial,ciliolate_scaly,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,flower_colour,yellow,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,flowering_time,Mar-May,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,fruiting_time,Mar-May,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,inflorescence_type,solitary_flowers,NT_Threatened_species_profile_2021,,,
Hibiscus brennanii,resprouting_capacity,fire_killed,NT_Threatened_species_profile_2021,,,
Elaeocarpus miegei,petal_length,5 mm,NT_Threatened_species_profile_2021,mean,,
Ricinocarpos gloria-medii,flowering_time,May-Oct,NT_Threatened_species_profile_2021,,,
Ricinocarpos gloria-medii,fruiting_time,Jul-Oct,NT_Threatened_species_profile_2021,,,
Ricinocarpos gloria-medii,leaf_surface_hairiness_adaxial,stellate_hairs,NT_Threatened_species_profile_2021,,,
Ricinocarpos gloria-medii,leaf_surface_hairiness_abaxial,stellate_hairs,NT_Threatened_species_profile_2021,,,
Ricinocarpos gloria-medii,leaf_colour,grey_green,NT_Threatened_species_profile_2021,,,
Ricinocarpos gloria-medii,flower_colour,white_cream,NT_Threatened_species_profile_2021,,,
