Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe reposnse,Habitat suitability,Risk,Expert change / reason for change,suggested_name,accepted_name,family,taxon_distribution
ERICACEAE,Sprengelia incarnata,"n,s,t,v",,,"McDougall & Summerell (2003), Podger (1989), Podger & Brown (1989), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,,"Rudman (pers. comm.), Weste (2001)",Suitable,Low,,Sprengelia incarnata [alternative possible names: Sprengelia montana (pro parte misapplied) | Sprengelia propinqua (pro parte misapplied)],Sprengelia incarnata,Ericaceae,"SA, Qld, NSW, Vic, Tas"
ERICACEAE,Sprengelia propinqua,t,,,,,,Rudman (pers. comm.),Suitable,Moderate,,Sprengelia propinqua,Sprengelia propinqua,Ericaceae,Tas
ERICACEAE,Stenanthera conostephioides,"s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Stenanthera conostephioides,Stenanthera conostephioides,Ericaceae,"SA, Vic"
ERICACEAE,Stenanthera pinifolia,"n,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),,Suitable,Low,,Stenanthera pinifolia,Stenanthera pinifolia,Ericaceae,"NSW, Vic, Tas"
ERICACEAE,Styphelia adscendens,"n,s,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,,Styphelia adscendens,Styphelia adscendens,Ericaceae,"SA (native and naturalised), NSW, Vic, Tas"
ERICACEAE,Styphelia concinna,w,,,DBCA (2021),,,,Suitable,Low,,Styphelia concinna,Styphelia concinna,Ericaceae,WA
ERICACEAE,Styphelia conostephioides,w,,,"DBCA (2021), Shearer & Dillon (1995), Shearer & Dillon (1996)",,,,Suitable,Low,,Styphelia conostephioides,Styphelia conostephioides,Ericaceae,WA
ERICACEAE,Styphelia cymbiformis,w,,,,,,Wills (1993),Suitable,Low,,Styphelia cymbiformis,Styphelia cymbiformis,Ericaceae,WA
ERICACEAE,Styphelia discolor,w,,,"Edmiston (1989), Gardner & Rokich (1987), DBCA (2021)",,Edmiston (1989),,Suitable,Low,,Styphelia discolor,Styphelia discolor,Ericaceae,WA
ERICACEAE,Styphelia ericoides,"n,q,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Taylor (1974), Weste (2001)",,,"Rudman (pers. comm.), Weste (2001)",Suitable,Low,,Styphelia ericoides,Styphelia ericoides,Ericaceae,"SA, Qld, NSW, Vic, Tas"
ERICACEAE,Styphelia erubescens,w,,,"Edmiston (1989), Gardner & Rokich (1987)",,,"Edmiston (1989), McDougall (1997), Wills (1993)",Suitable,Low,,Styphelia erubescens,Styphelia erubescens,Ericaceae,WA
ERICACEAE,Styphelia esquamata,"n,t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,,Styphelia esquamata,Styphelia esquamata,Ericaceae,"NSW, Vic, Tas"
ERICACEAE,Styphelia exilis,w,,CE,,,,Barrett & Rathbone (2018),Suitable,Very high,,Styphelia exilis,,Ericaceae,
ERICACEAE,Styphelia flavescens,w,,V,DBCA (2021),,Hart (1983),Barrett & Rathbone (2018),Suitable,Moderate,,Styphelia flavescens,Styphelia flavescens,Ericaceae,WA
ERICACEAE,Styphelia humifusa,"a,n,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",Groves et al. (2009),VNPS (1995),,Suitable,Low,,Styphelia humifusa [alternative possible names: Styphelia prostrata (pro parte misapplied)],Styphelia humifusa,Ericaceae,"SA, NSW, ACT, Vic, Tas"
ERICACEAE,Styphelia microcalyx,w,,,Shearer & Dillon (1995),,,,Suitable,Low,,Styphelia microcalyx,Styphelia microcalyx,Ericaceae,WA
ERICACEAE,Styphelia nitens,w,,,"DBCA (2021), Shearer & Dillon (1995)",,"McDougall (1997), Wills (1993), Shearer & Dillon (1996)",Shearer & Dillon (1995),Suitable,Low,,Styphelia nitens,Styphelia nitens,Ericaceae,WA
ERICACEAE,Styphelia pallida,w,,,DBCA (2021),"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,,Styphelia pallida,Styphelia pallida,Ericaceae,WA
ERICACEAE,Styphelia pendula,w,,,,Wills (1993),,,Suitable,Low,,Styphelia pendula,Styphelia pendula,Ericaceae,WA
ERICACEAE,Styphelia propinqua,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1995), DBCA (2021)",,"Edmiston (1989), Hill (1990), Shearer & Dillon (1996)",,Suitable,Low,,Styphelia propinqua,Styphelia propinqua,Ericaceae,WA
ERICACEAE,Styphelia psilopus,w,,CE,,,,Barrett (pers. comm.),Suitable,Very high,,Styphelia psilopus,Styphelia psilopus,Ericaceae,WA
ERICACEAE,Styphelia sp. Nannup (R.D. Royce 3978),w,,E,DBCA (2021),,,,Suitable,High,,Styphelia sp. Nannup (R.D.Royce 3978),Styphelia sp. Nannup (R.D.Royce 3978),Ericaceae,WA
ERICACEAE,Styphelia tenuiflora,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996), DBCA (2021)",,Shearer & Dillon (1996),McDougall (1997),Suitable,Low,,Styphelia tenuiflora,Styphelia tenuiflora,Ericaceae,WA
ERICACEAE,Styphelia xerophylla,w,,,"Hill (1990), DBCA (2021)",,"Hill (1990), Tynan et al. (1998)",,Suitable,Low,,Styphelia xerophylla,Styphelia xerophylla,Ericaceae,WA
ERICACEAE,Trochocarpa disticha,t,,E,Podger et al. (1990),,,,Suitable,Moderate,"Grows in wet forest / rainforest understorey, often on dolerite - habitat generally unfavourable to disease from Pc; changed to moderate",Trochocarpa disticha,Trochocarpa disticha,Ericaceae,Tas
ERICACEAE,Trochocarpa gunnii,t,,,Podger et al. (1990),,,,Suitable,Low,,Trochocarpa gunnii,Trochocarpa gunnii,Ericaceae,Tas
ERICACEAE,Woollsia pungens,"n,q",,,Fraser (1956),,,,Suitable,Low,,Woollsia pungens,Woollsia pungens,Ericaceae,"Qld, NSW"
ESCALLONIACEAE,Anopterus glandulosus,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,,Anopterus glandulosus,Anopterus glandulosus,Escalloniaceae,Tas
ESCALLONIACEAE,Polyosma alangiacea,q,,,,Worboys et al. (2003),,,Suitable,Low,,Polyosma alangiacea,Polyosma alangiacea,Escalloniaceae,Qld
EUPHORBIACEAE,Amperea ericoides,w,,,"Podger (1968), Shivas (1989)",,,,Suitable,Low,,Amperea ericoides,Amperea ericoides,Euphorbiaceae,WA
EUPHORBIACEAE,Amperea xiphoclada,"n,q,s,t,v",,,"McDougall (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,"McDougall (pers. comm.), Rudman (pers. comm.), VNPS (1995)",,Suitable,Low,,Amperea xiphoclada,Amperea xiphoclada,Euphorbiaceae,"SA, Qld, NSW, Vic, Tas"
EUPHORBIACEAE,Hylandia dockrillii,q,,,,Worboys et al. (2003),,,Suitable,Low,,Hylandia dockrillii,Hylandia dockrillii,Euphorbiaceae,Qld
EUPHORBIACEAE,Macaranga subdentata,q,,,,Worboys et al. (2003),,,Suitable,Low,,Macaranga subdentata,Macaranga subdentata,Euphorbiaceae,Qld
EUPHORBIACEAE,Mallotus polyadenos,q,,,,,Worboys et al. (2003),,Suitable,Low,,Mallotus polyadenos,Mallotus polyadenos,Euphorbiaceae,Qld
EUPHORBIACEAE,Monotaxis occidentalis,w,,,,,,McDougall (pers. comm.),Suitable,Low,,Monotaxis occidentalis,Monotaxis occidentalis,Euphorbiaceae,WA
EUPHORBIACEAE,Ricinocarpos glaucus,w,,,Taylor (1974),,,,Suitable,Low,,Ricinocarpos glaucus,Ricinocarpos glaucus,Euphorbiaceae,WA
EUPHORBIACEAE,Ricinocarpos pinifolius,"n,q,t,v",,,Podger et al. (1990),,,,Suitable,Low,,Ricinocarpos pinifolius,Ricinocarpos pinifolius,Euphorbiaceae,"Qld, NSW, Vic, Tas"
FABACEAE,Acacia acinacea,"n,s,v",,,Weste (2001),Roleybushcare (2022),Weste (2001),,Suitable,Low,,Acacia acinacea,Acacia acinacea,Fabaceae,"SA, NSW, Vic"
FABACEAE,Acacia aculeatissima,"n,v",,,Cahill (pers. comm.),,,,Suitable,Low,,Acacia aculeatissima,Acacia aculeatissima,Fabaceae,"NSW, Vic"
FABACEAE,Acacia acuminata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia acuminata [alternative possible names: Acacia lasiocalyx (pro parte misapplied) | Acacia yorkrakinensis subsp. acrita (pro parte misapplied)],Acacia acuminata,Fabaceae,WA
FABACEAE,Acacia aestivalis,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,,Acacia aestivalis,Acacia aestivalis,Fabaceae,WA
FABACEAE,Acacia alata,w,,,,Groves et al. (2009),,,Suitable,Low,,Acacia alata,Acacia alata,Fabaceae,WA
FABACEAE,Acacia aphylla,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia aphylla,Acacia aphylla,Fabaceae,WA
FABACEAE,Acacia aprica,w,E,,,,,Shearer & Crane (unpub. data),Unsuitable,Low,,Acacia aprica,Acacia aprica,Fabaceae,WA
FABACEAE,Acacia aristulata,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia aristulata,Acacia aristulata,Fabaceae,WA
FABACEAE,Acacia assimilis subsp. atroviridis,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,,Acacia assimilis subsp. atroviridis,Acacia assimilis subsp. atroviridis,Fabaceae,WA
FABACEAE,Acacia ataxiphylla subsp. magna,w,E,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,,Acacia ataxiphylla subsp. magna,Acacia ataxiphylla subsp. magna,Fabaceae,WA
FABACEAE,Acacia auratiflora,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia auratiflora,Acacia auratiflora,Fabaceae,WA
FABACEAE,Acacia awestoniana,w,V,,,"Barrett et al. (2008), Shearer & Crane (unpub. data)",,,Suitable,Low,,Acacia awestoniana,Acacia awestoniana,Fabaceae,WA
FABACEAE,Acacia axillaris,t,,V,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,,Acacia axillaris,Acacia axillaris,Fabaceae,Tas
FABACEAE,Acacia baileyana,n,,,,Roleybushcare (2022),,,Suitable,Low,,Acacia baileyana,Acacia baileyana,Fabaceae,"WA (naturalised), SA (naturalised), Qld (naturalised), NSW (native and naturalised), ACT (naturalised), Vic (naturalised), Tas (naturalised)"
FABACEAE,Acacia barbinervis,w,,,Shearer & Dillon (1996),"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,,Acacia barbinervis,Acacia barbinervis,Fabaceae,WA
FABACEAE,Acacia baxteri,w,,,,"Tynan et al. (2001), Barrett (pers. comm.)",,,Suitable,Low,,Acacia baxteri,Acacia baxteri,Fabaceae,WA
FABACEAE,Acacia blakelyi,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,,Acacia blakelyi,Acacia blakelyi,Fabaceae,WA
FABACEAE,Acacia brachypoda,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia brachypoda,Acacia brachypoda,Fabaceae,WA
FABACEAE,Acacia browniana,w,,,Shearer & Dillon (1996),"Shearer & Dillon (1996), Wills (1993), Shearer & Crane (unpub. data)",,,Suitable,Low,,Acacia browniana,Acacia browniana,Fabaceae,WA
FABACEAE,Acacia buxifolia subsp. buxifolia,"a,n,q,v",,,Taylor (1974),,,,Half unsuitable,Low,,Acacia buxifolia subsp. buxifolia,Acacia buxifolia subsp. buxifolia,Fabaceae,"Qld, NSW, ACT, Vic"
FABACEAE,Acacia campylophylla,w,,E,Shearer & Dillon (1996),,Shearer & Dillon (1996),,Unsuitable,Low,,Acacia campylophylla,Acacia campylophylla,Fabaceae,WA
FABACEAE,Acacia carens,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia carens,Acacia carens,Fabaceae,WA
FABACEAE,Acacia chapmanii subsp australis,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,,Acacia chapmanii subsp. australis,Acacia chapmanii subsp. australis,Fabaceae,WA
FABACEAE,Acacia chapmanii subsp. chapmanii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia chapmanii subsp. chapmanii,Acacia chapmanii subsp. chapmanii,Fabaceae,WA
FABACEAE,Acacia clydonophora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia clydonophora,Acacia clydonophora,Fabaceae,WA
FABACEAE,Acacia cochlocarpa subsp. cochlocarpa,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia cochlocarpa subsp. cochlocarpa,Acacia cochlocarpa subsp. cochlocarpa,Fabaceae,WA
FABACEAE,Acacia cognata,"n,v",,,,McDougall (pers. comm.),,,Suitable,Low,,Acacia cognata,Acacia cognata,Fabaceae,"NSW, Vic (native and naturalised)"
FABACEAE,Acacia congesta subsp. cliftoniana,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia congesta subsp. cliftoniana,Acacia congesta subsp. cliftoniana,Fabaceae,WA
FABACEAE,Acacia congesta subsp. wonganensis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia congesta subsp. wonganensis,Acacia congesta subsp. wonganensis,Fabaceae,WA
FABACEAE,Acacia crassiuscula,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia crassiuscula [alternative possible names: Acacia hamiltoniana (pro parte misapplied) | Acacia uncifolia (misapplied)],Acacia crassiuscula,Fabaceae,WA
FABACEAE,Acacia cuneifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia cuneifolia,Acacia cuneifolia,Fabaceae,WA
FABACEAE,Acacia cyclops,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Acacia cyclops,Acacia cyclops,Fabaceae,"WA, SA (native and naturalised), Vic (naturalised)"
FABACEAE,Acacia dealbata,"a,n,t,v",,,Pratt & Heather (1973),"Rudman (pers. comm.), Roleybushcare (2022)",,,Suitable,Low,,Acacia dealbata,Acacia dealbata,Fabaceae,"WA (naturalised), SA (naturalised), NSW, NI (doubtfully naturalised), ACT, Vic, Tas"
FABACEAE,Acacia declinata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia declinata,Acacia declinata,Fabaceae,WA
FABACEAE,Acacia deficiens,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,,Acacia deficiens,Acacia deficiens,Fabaceae,WA
FABACEAE,Acacia dictyoneura,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia dictyoneura,Acacia dictyoneura,Fabaceae,WA
FABACEAE,Acacia drummondii,w,,,"Shearer & Dillon (1996), DBCA (2021)","Shearer & Dillon (1996), Barrett (pers. comm.)",,,Suitable,Low,,Acacia drummondii,Acacia drummondii,Fabaceae,WA
FABACEAE,Acacia enterocarpa,"s,v",E,,Kueh (2011),Kueh (2011),,,Suitable,Low,,Acacia enterocarpa,Acacia enterocarpa,Fabaceae,"SA, Vic"
FABACEAE,Acacia erinacea,"s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia erinacea,Acacia erinacea,Fabaceae,"WA, SA"
FABACEAE,Acacia extensa,w,,,DBCA (2021),Shearer & Dillon (1996),,,Suitable,Low,,Acacia extensa,Acacia extensa,Fabaceae,"WA, Vic (naturalised)"
FABACEAE,Acacia fimbriata,"n,q",,,,Roleybushcare (2022),,,Suitable,Low,,Acacia fimbriata [alternative possible names: Acacia pubicosta (pro parte misapplied)],Acacia fimbriata,Fabaceae,"SA (naturalised), Qld, NSW, ACT (doubtfully naturalised), Vic (doubtfully naturalised)"
FABACEAE,Acacia flabellifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia flabellifolia,Acacia flabellifolia,Fabaceae,WA
FABACEAE,Acacia floribunda,"n,q,v",,,,Groves et al. (2009),,,Suitable,Low,,Acacia floribunda,Acacia floribunda,Fabaceae,"WA (naturalised), SA (naturalised), Qld, NSW, ACT (doubtfully naturalised), Vic (native and naturalised), Tas (naturalised)"
FABACEAE,Acacia genistifolia,"a,n,s,t,v",,,"Pratt & Heather (1973), Taylor (1974)",,,,Half unsuitable,Low,,Acacia genistifolia,Acacia genistifolia,Fabaceae,"SA, NSW, ACT, Vic, Tas"
FABACEAE,Acacia glaucoptera,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia glaucoptera,Acacia glaucoptera,Fabaceae,WA
FABACEAE,Acacia grisea,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia grisea,Acacia grisea,Fabaceae,WA
FABACEAE,Acacia heterochroa subsp. robertii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia heterochroa subsp. robertii,Acacia heterochroa subsp. robertii,Fabaceae,WA
FABACEAE,Acacia heteroclita subsp. valida,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia heteroclita subsp. valida,Acacia heteroclita subsp. valida,Fabaceae,WA
FABACEAE,Acacia horridula,w,,V,Taylor (1974),,,,Suitable,Moderate,,Acacia horridula [alternative possible names: Acacia pycnocephala (pro parte taxonomic synonym) | Acacia semitrullata (pro parte misapplied)],Acacia horridula,Fabaceae,WA
FABACEAE,Acacia howittii,v,,,,Roleybushcare (2022),,,Suitable,Low,,Acacia howittii,Acacia howittii,Fabaceae,"SA (doubtfully naturalised), ACT (doubtfully naturalised), Vic (native and naturalised)"
FABACEAE,Acacia huegelii,w,,,Shivas (1989),,,,Suitable,Low,,Acacia huegelii,Acacia huegelii,Fabaceae,WA
FABACEAE,Acacia insolita,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia insolita,Acacia insolita,Fabaceae,WA
FABACEAE,Acacia lasiocarpa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,WA
FABACEAE,Acacia lateriticola,w,,,,Shearer & Dillon (1996),McDougall (1997),,Suitable,Low,,Acacia lateriticola,Acacia lateriticola,Fabaceae,WA
FABACEAE,Acacia leiophylla,s,,,Kueh (2011),,Kueh (2011),,Suitable,Low,,Acacia leiophylla [alternative possible names: Acacia pycnantha (pro parte misapplied) | Acacia brumalis (misapplied)],Acacia leiophylla,Fabaceae,SA
FABACEAE,Acacia leptalea,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia leptalea,Acacia leptalea,Fabaceae,WA
FABACEAE,Acacia lineolata subsp. lineolata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia lineolata subsp. lineolata,Acacia lineolata subsp. lineolata,Fabaceae,WA
FABACEAE,Acacia lobulata,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia lobulata,Acacia lobulata,Fabaceae,WA
FABACEAE,Acacia longifolia,"n,q,s,t,v",,,Robertson (1970),Roleybushcare (2022),,,Suitable,Low,,Acacia longifolia,Acacia longifolia,Fabaceae,"WA (naturalised), SA (native and naturalised), Qld, NSW, NI (doubtfully naturalised), ACT (formerly naturalised), Vic (native and naturalised), Tas"
FABACEAE,Acacia mearnsii,"a,n,s,t,v",,,Weste (2001),"Weste (2001), Roleybushcare (2022)",,,Suitable,Low,,Acacia mearnsii,Acacia mearnsii,Fabaceae,"WA (naturalised), SA (native and naturalised), NSW (native and naturalised), ACT, Vic, Tas"
FABACEAE,Acacia megacephala,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia megacephala,Acacia megacephala,Fabaceae,WA
FABACEAE,Acacia melanoxylon,"a,n,q,s,t,v",,,"Kueh (2011), Podger et al. (1990), Robertson (1970), Weste (2001)",Rudman (pers. comm.),Kueh (2011),,Suitable,Low,,Acacia melanoxylon,Acacia melanoxylon,Fabaceae,"WA (naturalised), SA, Qld, NSW, ACT, Vic, Tas"
FABACEAE,Acacia mitchelli,"n,s,v",,,"Cahill (pers. comm.), Weste (2001)",Groves et al. (2009),VNPS (1995),Weste (2001),Suitable,Low,,Acacia mitchellii,Acacia mitchellii,Fabaceae,"SA, NSW, Vic"
FABACEAE,Acacia mucronata,"n,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)",Groves et al. (2009),VNPS (1995),Weste (2001),Suitable,Low,,Acacia mucronata,Acacia mucronata,Fabaceae,"NSW, Vic, Tas"
FABACEAE,Acacia multispicata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia multispicata [alternative possible names: Acacia sessilispica (pro parte taxonomic synonym)],Acacia multispicata,Fabaceae,WA
FABACEAE,Acacia mutabilis subsp. incurva,"nt,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia mutabilis subsp. incurva,Acacia mutabilis subsp. incurva,Fabaceae,"WA, NT"
FABACEAE,Acacia myrtifolia,"n,q,s,t,v,w",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)",,"Tynan et al. (1998), VNPS (1995), Velzeboer (pers. comm.)","Weste (2001), Wills (1993)",Suitable,Low,,Acacia myrtifolia,Acacia myrtifolia,Fabaceae,"WA, SA, Qld, NSW, Vic, Tas"
FABACEAE,Acacia nervosa,w,,,,"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,,Acacia nervosa,Acacia nervosa,Fabaceae,WA
FABACEAE,Acacia nigripilosa subsp. latifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia nigripilosa subsp. latifolia,Acacia nigripilosa subsp. latifolia,Fabaceae,WA
FABACEAE,Acacia nodiflora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia nodiflora,Acacia nodiflora,Fabaceae,WA
FABACEAE,Acacia obovata,w,,,,McDougall (1997),,,Suitable,Low,,Acacia obovata,Acacia obovata,Fabaceae,WA
FABACEAE,Acacia oxycedrus,"n,s,v",,,"Cahill (pers. comm.), Weste (2001)",Groves et al. (2009),VNPS (1995),Weste (2001),Suitable,Low,,Acacia oxycedrus,Acacia oxycedrus,Fabaceae,"SA, NSW, Vic"
FABACEAE,Acacia papulosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia papulosa,Acacia papulosa,Fabaceae,WA
FABACEAE,Acacia paradoxa,"a,n,q,s,v",,,Kueh (2011),,"Kueh (2011), Velzeboer (pers. comm.)",,Suitable,Low,,Acacia paradoxa,Acacia paradoxa,Fabaceae,"WA (naturalised), SA, Qld, NSW, ACT, Vic, Tas (naturalised)"
FABACEAE,Acacia pataczekii,t,,V,Barker & Wardlaw (1995),,Barker & Wardlaw (1995),,Suitable,Low,,Acacia pataczekii,Acacia pataczekii,Fabaceae,Tas
FABACEAE,Acacia phaeocalyx,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,,Acacia phaeocalyx,Acacia phaeocalyx,Fabaceae,WA
FABACEAE,Acacia pharangites,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia pharangites,Acacia pharangites,Fabaceae,WA
FABACEAE,Acacia pinguifolia,s,E,,Kueh (2011),Kueh (2011),,,Suitable,Low,,Acacia pinguifolia,Acacia pinguifolia,Fabaceae,SA
FABACEAE,Acacia plicata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia plicata,Acacia plicata,Fabaceae,WA
FABACEAE,Acacia pravissima,"a,n,v",,,Robertson (1970),,,,Suitable,Low,,Acacia pravissima,Acacia pravissima,Fabaceae,"NSW, ACT, Vic (native and naturalised), Tas (naturalised)"
FABACEAE,Acacia preissiana,w,,,,Shearer & Dillon (1996),,,Suitable,Low,,Acacia preissiana,Acacia preissiana,Fabaceae,WA
FABACEAE,Acacia pulchella,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1996), Taylor (1974), DBCA (2021)",Gardner & Rokich (1987),Wills (1993),,Suitable,Low,,Acacia pulchella,Acacia pulchella,Fabaceae,"WA, NSW (naturalised)"
FABACEAE,Acacia pycnantha,"a,n,s,v",,,DBCA (2021),Roleybushcare (2022),,,Suitable,Low,,Acacia pycnantha,Acacia pycnantha,Fabaceae,"WA (naturalised), SA, NSW (native and naturalised), ACT, Vic, Tas (naturalised)"
FABACEAE,Acacia pygmaea,w,E,,,Shearer & Crane (unpub. data),,,Unsuitable,Low,,Acacia pygmaea,Acacia pygmaea,Fabaceae,WA
FABACEAE,Acacia recurvata,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia recurvata,Acacia recurvata,Fabaceae,WA
FABACEAE,Acacia retinodes,s,,,,Roleybushcare (2022),,,Suitable,Low,,Acacia retinodes [alternative possible names: Acacia provincialis (pro parte misapplied) | Acacia uncifolia (pro parte misapplied) | Acacia anceps (misapplied)],Acacia retinodes,Fabaceae,SA (native and naturalised)
FABACEAE,Acacia rhodophloia,"nt,s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia rhodophloia,Acacia rhodophloia,Fabaceae,"WA, NT, SA"
FABACEAE,Acacia rossei,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia rossei,Acacia rossei,Fabaceae,WA
FABACEAE,Acacia saligna,w,,,DBCA (2021),Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia saligna [alternative possible names: Acacia cupularis (pro parte taxonomic synonym)],Acacia saligna,Fabaceae,"WA, SA (naturalised), Qld (naturalised), NSW (naturalised), Vic (naturalised)"
FABACEAE,Acacia sciophanes,w,E,,,,,Shearer & Crane (unpub. data),Unsuitable,Low,,Acacia sciophanes,Acacia sciophanes,Fabaceae,WA
FABACEAE,Acacia semitrullata,w,,,,Groves et al. (2009),,,Suitable,Low,,Acacia semitrullata,Acacia semitrullata,Fabaceae,WA
FABACEAE,Acacia siculiformis,"a,n.t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,,Acacia siculiformis,Acacia siculiformis,Fabaceae,"NSW, ACT, Vic, Tas"
FABACEAE,Acacia splendens,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia splendens,Acacia splendens,Fabaceae,WA
FABACEAE,Acacia spooneri,s,,,Kueh (2011),,Kueh (2011),,Unsuitable,Low,,Acacia spooneri,Acacia spooneri,Fabaceae,SA
FABACEAE,Acacia stenoptera,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996)",,,,Suitable,Low,,Acacia stenoptera,Acacia stenoptera,Fabaceae,WA
FABACEAE,Acacia suaveolens,"n,q,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)","Howard et al. (2004), Groves et al. (2009)","Rudman (pers. comm.), VNPS (1995)",,Suitable,Low,,Acacia suaveolens,Acacia suaveolens,Fabaceae,"SA, Qld, NSW, Vic, Tas"
FABACEAE,Acacia subracemosa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia subracemosa,Acacia subracemosa,Fabaceae,WA
FABACEAE,Acacia telmica,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia telmica,Acacia telmica,Fabaceae,WA
FABACEAE,Acacia terminalis Eastern Sydney (G.P.Phillips 126),"n,t,v",E,,,"Wan et al. (2019), Roleybushcare (2022)",,,Suitable,Low,,Acacia terminalis [alternative possible names: Acacia alaticaulis (pro parte misapplied) | Acacia elata (misapplied)],Acacia terminalis,Fabaceae,"NSW, ACT (doubtfully naturalised), Vic, Tas"
FABACEAE,Acacia trulliformis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Acacia trulliformis,Acacia trulliformis,Fabaceae,WA
FABACEAE,Acacia ulicifolia,"a,n,q,t,v",,,"Podger et al. (1990), Weste (2001)",,,,Suitable,Low,,Acacia ulicifolia,Acacia ulicifolia,Fabaceae,"Qld, NSW, ACT, Vic, Tas"
